scope,name,eligible_n,t10_reach_n,t10_reach_rate,hybrid_valid_n,censored_n,t10_ceiling_exits,structural_ceiling_exits,open_gap_exits,time_exits,preservation_rate,mean_exit_ext,median_exit_ext,mean_delta_fixed,median_delta_fixed,median_peak_ext,median_capture,median_giveback,median_ratchets,median_hold_min,activation_close_above_rate
PARTITION,external,147,96,0.6530612244897959,96,0,44,13,36,3,0.625,0.1699219847776674,0.09999999999999823,0.06992198477766738,-1.7763568394002505e-15,0.5238609131107397,0.18996987090317208,0.42308325605201336,0.0,5.0,0.3645833333333333
PARTITION,development,233,172,0.7381974248927039,172,0,66,19,76,11,0.5406976744186046,0.10794179384888737,0.0999999999999929,0.007941793848887373,-7.105427357601002e-15,0.5170108851086825,0.13669498306893813,0.4291907668632239,0.0,5.0,0.45930232558139533
PARTITION,reference_validation,133,98,0.7368421052631579,98,0,46,11,37,4,0.6224489795918368,0.16692935500443487,0.09999999999999551,0.06692935500443487,-4.496403249731884e-15,0.42303646213814233,0.20705232955192301,0.3389253464208022,0.0,5.0,0.37755102040816324
POOL,POOLED_OOS,280,194,0.6928571428571428,194,0,90,24,73,7,0.6237113402061856,0.16841024396438498,0.09999999999999705,0.06841024396438498,-2.9559688030644793e-15,0.47432948675722175,0.19270726803514637,0.3850630603695163,0.0,5.0,0.3711340206185567
POOL,POOLED_MAJOR,513,366,0.7134502923976608,366,0,156,43,149,18,0.5846994535519126,0.13999337669699266,0.09999999999999577,0.039993376696992655,-4.232725281383409e-15,0.5032166413983,0.16943034684457295,0.3976920902136245,0.0,5.0,0.412568306010929
CLOCK,00-04,80,62,0.775,62,0,30,8,23,1,0.6290322580645161,0.09552990896516633,0.09999999999999705,-0.004470091034833671,-2.9559688030644793e-15,0.49610175816012525,0.15915977847103593,0.37011040792388983,0.0,5.0,0.3709677419354839
CLOCK,04-08,86,57,0.6627906976744186,57,0,15,8,31,3,0.42105263157894735,0.16998728242591682,0.08354192740926071,0.06998728242591681,-0.016458072590739295,0.30393912264995526,0.24054758800522233,0.23225460396924869,0.0,5.0,0.5789473684210527
CLOCK,08-12,84,64,0.7619047619047619,64,0,25,10,22,7,0.640625,0.2580708900939114,0.09999999999999779,0.15807089009391137,-2.220446049250313e-15,0.576185814540422,0.21140852774405913,0.4160420358325808,0.0,5.0,0.359375
CLOCK,12-16,114,91,0.7982456140350878,91,0,45,8,33,5,0.6373626373626373,0.10422593546041446,0.09999999999999847,0.004225935460414441,-1.5404344466674047e-15,0.7317620650954185,0.10850691405567113,0.5566887941267,0.0,5.0,0.3516483516483517
CLOCK,16-20,84,52,0.6190476190476191,52,0,23,3,24,2,0.5384615384615384,0.09072012540989859,0.0999999999999939,-0.009279874590101416,-6.106226635438361e-15,0.47416721196257605,0.14925954078423315,0.37962167100816263,0.0,5.0,0.46153846153846156
CLOCK,20-00,65,40,0.6153846153846154,40,0,18,6,16,0,0.6,0.1226725700689744,0.09999999999999498,0.022672570068974374,-5.023759186428833e-15,0.4751450867463427,0.20007525502288634,0.38793885684640617,0.0,5.0,0.4
