rule,partition,candidate_n,coverage,weekly_wr,pf,exp,n
D1|VAH_BREAK_LONG,development,434,0.9871794871794872,0.5324675324675324,1.138888888888903,0.0006493506493507113,154
D1|VAH_BREAK_LONG,external,321,0.9902912621359223,0.5294117647058824,1.1250000000000144,0.0005882352941177085,102
D1|VAH_BREAK_LONG,reference_validation,227,0.9753086419753086,0.4050632911392405,0.6808510638297957,-0.0018987341772151297,79
D1|VAH_BREAK_LONG,august,7,1.0,0.0,0.0,-0.009999999999999952,2
D1|VAL_BREAK_SHORT,development,411,0.9551282051282052,0.4228187919463087,0.7325581395348852,-0.0015436241610738137,149
D1|VAL_BREAK_SHORT,external,266,0.9805825242718447,0.3564356435643564,0.5538461538461535,-0.00287128712871286,101
D1|VAL_BREAK_SHORT,reference_validation,225,0.9876543209876543,0.425,0.7391304347826089,-0.0014999999999999918,80
D1|VAL_BREAK_SHORT,august,6,1.0,1.0,999.0,0.009999999999999955,2
H1|VAH_BREAK_LONG,development,4334,1.0,0.4551282051282051,0.8352941176470697,-0.000897435897435837,156
H1|VAH_BREAK_LONG,external,2839,1.0,0.4368932038834951,0.7758620689655262,-0.0012621359223300413,103
H1|VAH_BREAK_LONG,reference_validation,2213,1.0,0.48148148148148145,0.9285714285714394,-0.0003703703703703123,81
H1|VAH_BREAK_LONG,august,42,1.0,0.5,1.0000000000000115,5.724587470723463e-17,2
H1|VAL_BREAK_SHORT,development,4209,1.0,0.4358974358974359,0.7727272727272726,-0.0012820512820512781,156
H1|VAL_BREAK_SHORT,external,2754,1.0,0.4368932038834951,0.775862068965518,-0.0012621359223300877,103
H1|VAL_BREAK_SHORT,reference_validation,2288,1.0,0.43209876543209874,0.760869565217391,-0.0013580246913580197,81
H1|VAL_BREAK_SHORT,august,59,1.0,1.0,999.0,0.009999999999999955,2
H4|VAH_BREAK_LONG,development,2060,1.0,0.44871794871794873,0.8139534883721028,-0.001025641025640971,156
H4|VAH_BREAK_LONG,external,1374,1.0,0.3883495145631068,0.6349206349206419,-0.002233009708737816,103
H4|VAH_BREAK_LONG,reference_validation,1086,1.0,0.4691358024691358,0.8837209302325684,-0.0006172839506172263,81
H4|VAH_BREAK_LONG,august,27,1.0,0.5,1.0000000000000115,5.724587470723463e-17,2
H4|VAL_BREAK_SHORT,development,1730,1.0,0.4423076923076923,0.7931034482758625,-0.0011538461538461492,156
H4|VAL_BREAK_SHORT,external,1132,1.0,0.3786407766990291,0.6093750000000006,-0.002427184466019403,103
H4|VAL_BREAK_SHORT,reference_validation,950,1.0,0.41975308641975306,0.7234042553191489,-0.0016049382716049308,81
H4|VAL_BREAK_SHORT,august,23,1.0,1.0,999.0,0.009999999999999955,2
W1|VAH_BREAK_LONG,development,82,0.5256410256410257,0.5975609756097561,1.4848484848485037,0.001951219512195186,82
W1|VAH_BREAK_LONG,external,64,0.6213592233009708,0.5625,1.2857142857143014,0.0012500000000000616,64
W1|VAH_BREAK_LONG,reference_validation,47,0.5802469135802469,0.5106382978723404,1.0434782608695767,0.0002127659574468633,47
W1|VAH_BREAK_LONG,august,2,1.0,0.0,0.0,-0.009999999999999952,2
W1|VAL_BREAK_SHORT,development,83,0.532051282051282,0.3614457831325301,0.5660377358490573,-0.0027710843373493807,83
W1|VAL_BREAK_SHORT,external,51,0.49514563106796117,0.45098039215686275,0.8214285714285705,-0.0009803921568627457,51
W1|VAL_BREAK_SHORT,reference_validation,44,0.5432098765432098,0.4772727272727273,0.9130434782608703,-0.0004545454545454485,44
W1|VAL_BREAK_SHORT,august,2,1.0,0.0,0.0,-0.009999999999999952,2
