partition,variant,n,wr,pf,expectancy,net,max_dd,max_loss_streak,positive_week_rate,wr_5bps,pf_5bps,expectancy_5bps,net_5bps,max_dd_5bps,max_loss_streak_5bps,positive_week_rate_5bps,guard_exits,parent_winners_guarded,parent_winner_guard_rate,parent_winners_flipped_nonpositive,winner_pnl_delta,loss_pnl_delta,delta_net,delta_net_5bps
development,A56_M0_L25,601,0.3910149750415973,1.2665044523895048,0.5328010500609588,320.21343108663626,121.20493474361552,10,0.5923566878980892,0.3876871880199667,1.1314166176216311,0.2828010500609586,169.96343108663615,149.20493474361552,10,0.5414012738853503,52,9,0.036885245901639344,9,-116.37861761820662,97.6814278226133,-18.69718979559331,-18.697189795593314
development,BASELINE,601,0.4059900166389351,1.2780237033255166,0.5639111828323288,338.9106208822296,148.06095812456638,10,0.5796178343949044,0.40266222961730447,1.1441769326833608,0.31391118283232855,188.66062088222947,168.56095812456653,10,0.535031847133758,0,0,0.0,0,0.0,0.0,0.0,0.0
external,A56_M0_L25,281,0.39501779359430605,1.4590455690373152,1.2843932552796782,360.9145047335896,134.91033456555974,10,0.6323529411764706,0.3914590747330961,1.3506678616363443,1.0343932552796782,290.6645047335896,149.41033456555974,10,0.6029411764705882,19,4,0.034782608695652174,4,-129.85599874201426,70.94821108017562,-58.90778766183865,-58.90778766183865
external,BASELINE,281,0.4092526690391459,1.5465971940535803,1.494029510304015,419.82229239542824,130.72341119413184,10,0.6470588235294118,0.40569395017793597,1.4317170296866153,1.2440295103040147,349.5722923954281,145.22341119413184,10,0.6323529411764706,0,0,0.0,0,0.0,0.0,0.0,0.0
reference_validation,A56_M0_L25,337,0.42729970326409494,1.4918950759709557,0.6973392574438204,235.00332975856747,79.18827283201635,14,0.6385542168674698,0.42433234421364985,1.2864982515058008,0.4473392574438203,150.75332975856745,92.18827283201635,14,0.5903614457831325,35,6,0.04,6,-66.32029771254523,37.99414779868633,-28.32614991385889,-28.326149913858902
reference_validation,BASELINE,337,0.44510385756676557,1.5654565040642079,0.7813931147549744,263.3294796724264,64.8471694764039,14,0.6506024096385542,0.4391691394658754,1.3492422229172052,0.5313931147549742,179.07947967242632,77.8471694764039,14,0.6144578313253012,0,0,0.0,0,0.0,0.0,0.0,0.0
