event_ts,session,session_wib,original_side,manip_side,acc_high,acc_low,manip_open,manip_high,manip_low,manip_close,fvg,near,far,manip_extreme,opp_boundary,near_first,far_first,manip_extreme_first,opp_first,near_touched,far_touched,manip_extreme_revisited,opp_reached,both_far_opp,both_order,path_signature,failure_close,failure_offset,failure_retest_evaluable,failure_retest,entry_ts,entry,sl,tp,valid,risk,reward,net_rr,rr_ok,outcome,pnl
2020-01-03 00:00:00+00:00,ASIA_OPEN,07:00,LONG,LOW_SWEEP,7160.0,6922.0,6962.34,6962.8,6863.44,6947.35,True,7198.0,6962.8,6863.44,7160.0,,,,3.0,False,False,False,True,False,,+3:OPP_BOUNDARY,False,,False,False,2020-01-03 12:00:00+00:00,7338.4,6962.8,7160.0,False,,,,False,,
2020-01-07 13:00:00+00:00,NEW_YORK_OPEN,20:00,LONG,LOW_SWEEP,7969.0,7826.18,7872.85,7949.0,7733.0,7916.28,True,7952.0,7949.0,7733.0,7969.0,7.0,7.0,,3.0,True,True,False,True,True,OPP_FIRST,"+3:OPP_BOUNDARY -> +7:SAME_BAR{FAR,NEAR}",False,,False,False,2020-01-08 01:00:00+00:00,8435.34,7949.0,7969.0,False,,,,False,,
2020-01-10 07:00:00+00:00,LONDON_OPEN,14:00,LONG,LOW_SWEEP,8006.83,7718.05,7745.39,7785.0,7670.0,7770.98,True,7912.95,7785.0,7670.0,8006.83,,,,3.0,False,False,False,True,False,,+3:OPP_BOUNDARY,False,,False,False,2020-01-10 19:00:00+00:00,8026.36,7785.0,8006.83,False,,,,False,,
2020-02-10 00:00:00+00:00,ASIA_OPEN,07:00,SHORT,HIGH_SWEEP,10182.59,10026.0,10167.37,10213.56,10080.0,10107.01,True,9997.0,10080.0,10213.56,10026.0,,,,3.0,False,False,False,True,False,,+3:OPP_BOUNDARY,False,,False,False,2020-02-10 12:00:00+00:00,9826.75,10080.0,10026.0,False,,,,False,,
2020-03-30 00:00:00+00:00,ASIA_OPEN,07:00,LONG,LOW_SWEEP,6163.0,5857.6,5876.27,6017.8,5850.0,6001.46,True,6230.25,6017.8,5850.0,6163.0,,,,3.0,False,False,False,True,False,,+3:OPP_BOUNDARY,False,,False,False,2020-03-30 12:00:00+00:00,6351.24,6017.8,6163.0,False,,,,False,,
2020-04-16 00:00:00+00:00,ASIA_OPEN,07:00,LONG,LOW_SWEEP,6779.53,6602.59,6616.88,6663.0,6465.33,6645.85,True,6864.59,6663.0,6465.33,6779.53,,,,3.0,False,False,False,True,False,,+3:OPP_BOUNDARY,False,,False,False,2020-04-16 12:00:00+00:00,7019.97,6663.0,6779.53,False,,,,False,,
2020-05-24 07:00:00+00:00,LONDON_OPEN,14:00,SHORT,HIGH_SWEEP,9293.0,9111.0,9270.75,9294.44,9235.0,9261.28,True,9088.0,9235.0,9294.44,9111.0,3.0,,,3.0,True,False,False,True,False,,"+3:SAME_BAR{NEAR,OPP_BOUNDARY}",False,,False,False,2020-05-24 19:00:00+00:00,8938.35,9235.0,9111.0,False,,,,False,,
2020-06-04 07:00:00+00:00,LONDON_OPEN,14:00,LONG,LOW_SWEEP,9694.75,9509.3,9642.11,9660.0,9500.05,9542.43,True,9720.0,9660.0,9500.05,9694.75,6.0,6.0,,3.0,True,True,False,True,True,OPP_FIRST,"+3:OPP_BOUNDARY -> +6:SAME_BAR{FAR,NEAR}",False,,False,False,2020-06-04 19:00:00+00:00,9762.42,9660.0,9694.75,False,,,,False,,
2020-06-07 13:00:00+00:00,NEW_YORK_OPEN,20:00,LONG,LOW_SWEEP,9715.26,9468.0,9508.99,9534.0,9373.0,9486.67,True,9692.27,9534.0,9373.0,9715.26,4.0,,,3.0,True,False,False,True,False,,+3:OPP_BOUNDARY -> +4:NEAR,False,,False,False,2020-06-08 01:00:00+00:00,9759.28,9534.0,9715.26,False,,,,False,,
2020-08-31 07:00:00+00:00,LONDON_OPEN,14:00,LONG,LOW_SWEEP,11730.0,11594.38,11678.0,11679.9,11575.78,11615.09,True,11702.01,11679.9,11575.78,11730.0,3.0,3.0,4.0,3.0,True,True,True,True,True,SAME_BAR,"+3:SAME_BAR{FAR,NEAR,OPP_BOUNDARY} -> +4:MANIP_EXTREME",True,3.0,True,True,2020-08-31 19:00:00+00:00,11723.17,11679.9,11730.0,True,0.00369098119365329,0.0005826069228715379,-0.17672826059360514,False,SL,-2.5954905968266453
2020-09-01 00:00:00+00:00,ASIA_OPEN,07:00,LONG,LOW_SWEEP,11784.21,11621.14,11658.11,11710.0,11531.34,11698.75,True,11852.04,11710.0,11531.34,11784.21,3.0,8.0,8.0,3.0,True,True,True,True,True,OPP_FIRST,"+3:SAME_BAR{NEAR,OPP_BOUNDARY} -> +8:SAME_BAR{FAR,MANIP_EXTREME}",True,8.0,True,False,2020-09-01 12:00:00+00:00,11884.99,11710.0,11784.21,False,,,,False,,
2020-09-12 13:00:00+00:00,NEW_YORK_OPEN,20:00,LONG,LOW_SWEEP,10380.76,10303.53,10318.79,10380.0,10271.0,10370.99,True,10405.0,10380.0,10271.0,10380.76,3.0,5.0,6.0,3.0,True,True,True,True,True,OPP_FIRST,"+3:SAME_BAR{NEAR,OPP_BOUNDARY} -> +5:FAR -> +6:MANIP_EXTREME",True,5.0,True,True,2020-09-13 01:00:00+00:00,10427.91,10380.0,10380.76,False,,,,False,,
