partition,timeframe,armed_cycles,entry_cycles,no_trade_rate,n,wr,pf,mean_ret,median_ret,median_winner,median_loser,median_mfe,median_mae,p10_mae,median_cross_to_signal,median_red_before_signal,median_hold_minutes,mean_gross_usd,fee_wr,fee_pf,mean_fee_usd,max_losing_streak,mae_le_0p5,mae_le_1p0,mae_le_1p5,mae_le_1p8,exit_close_below_ema50,exit_bear_cross,exit_combined_reversal,exit_partition_force_close
external,5m,2182,1956,0.10357470210815767,1956,0.25715746421267893,0.9698541816839075,-8.361523100260232e-05,-0.0018023671368407324,0.004857560628518387,-0.002748858207728966,0.003674772101478596,-0.003095070783255549,-0.008355548031999671,1.0,0.0,70.0,-0.04180761550130117,0.21625766871165644,0.7389976335793386,-0.4418076155013011,14,0.261758691206544,0.06748466257668712,0.0270961145194274,0.014826175869120654,0.9964212678936605,0.0,0.0035787321063394683,0.0
development,5m,3423,3060,0.10604732690622265,3060,0.2496732026143791,1.0704232201239194,0.00013214140789122729,-0.0012108444203646762,0.003025912494595717,-0.0017878333688101655,0.0021870957779049904,-0.0019388394687721022,-0.005800210892597446,2.0,1.0,65.0,0.06607070394561367,0.19673202614379084,0.7328036713052126,-0.3339292960543863,28,0.12941176470588237,0.028104575163398694,0.01045751633986928,0.0058823529411764705,0.9931372549019608,0.0,0.006862745098039216,0.0
reference_validation,5m,1703,1534,0.0992366412213741,1534,0.2692307692307692,0.9585971322309179,-6.981602259305183e-05,-0.0011040649041351713,0.0029511533589148264,-0.0017705683512917458,0.0021215489828478873,-0.001776451793245204,-0.005232191608851599,1.0,0.0,70.0,-0.03490801129652592,0.2046936114732725,0.6215007136712671,-0.4349080112965259,17,0.11147327249022164,0.01564537157757497,0.003259452411994785,0.000651890482398957,0.9934810951760105,0.0,0.005867014341590613,0.000651890482398957
august,5m,56,54,0.0357142857142857,54,0.35185185185185186,1.9967992850153655,0.001011950358372556,-0.0005819801503222366,0.001162746429273831,-0.0012888904239052312,0.002132484598667772,-0.0009458746805331986,-0.0034445414973619747,1.5,0.5,90.0,0.5059751791862781,0.24074074074074073,1.1319124567784953,0.10597517918627809,6,0.037037037037037035,0.0,0.0,0.0,1.0,0.0,0.0,0.0
external,15m,690,629,0.08840579710144925,629,0.2702702702702703,1.2810398696383525,0.001413078202466933,-0.003251632183517761,0.014906475117783535,-0.004974568372893229,0.007099108369504004,-0.005512969173509297,-0.014632242005062057,2.0,1.0,225.0,0.7065391012334664,0.2543720190779014,1.1091423662198272,0.30653910123346645,12,0.5548489666136724,0.2591414944356121,0.09538950715421304,0.06677265500794913,0.9968203497615262,0.0,0.003179650238473768,0.0
development,15m,1044,933,0.10632183908045978,933,0.25187566988210075,1.034789772097477,0.00012752264916614296,-0.0021035318265385516,0.007786843916747221,-0.0032532385189746327,0.004351145038167914,-0.0038194083023024294,-0.011692438223804991,1.0,0.0,210.0,0.06376132458307154,0.22615219721329047,0.8426405564337575,-0.33623867541692853,15,0.37727759914255093,0.12754555198285103,0.0632368703108253,0.03751339764201501,0.9903536977491961,0.0,0.00964630225080386,0.0
reference_validation,15m,539,484,0.10204081632653061,484,0.29132231404958675,1.0743335443229922,0.00022512984350328788,-0.002190618116686416,0.00502865750427306,-0.0033264842085991564,0.004606080320382788,-0.003337066534133737,-0.009506841181211955,1.0,0.0,210.0,0.11256492175164394,0.2665289256198347,0.8405954453433996,-0.287435078248356,15,0.32644628099173556,0.09090909090909091,0.028925619834710745,0.014462809917355372,0.9979338842975206,0.0,0.002066115702479339,0.0
august,15m,24,21,0.125,21,0.3333333333333333,4.400801526210578,0.004772345468376634,-0.0009244705949055243,0.0005645287752862327,-0.0022047120180163082,0.003082277687194157,-0.0011691748627404852,-0.004207945499463572,1.0,0.0,270.0,2.3861727341883174,0.14285714285714285,2.958485834066822,1.9861727341883173,5,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.047619047619047616
external,1h,144,135,0.0625,135,0.362962962962963,2.0323999481967756,0.00869101164798268,-0.005543871242399079,0.02968928969485507,-0.012316534614440988,0.021085713117045213,-0.012060739969320333,-0.027893047822616344,1.0,0.0,1260.0,4.345505823991341,0.35555555555555557,1.8832965254945058,3.9455058239913394,10,0.8296296296296296,0.6148148148148148,0.37037037037037035,0.2962962962962963,0.9851851851851852,0.0,0.014814814814814815,0.0
development,1h,254,230,0.09448818897637801,230,0.2565217391304348,1.227114360901215,0.0018811681867706427,-0.006066589788072674,0.01763237688535302,-0.009087009291035453,0.009680876076112788,-0.010281818142092225,-0.024186495814610385,1.5,0.5,840.0,0.9405840933853212,0.24347826086956523,1.1216985630365217,0.5405840933853213,10,0.7782608695652173,0.5173913043478261,0.32608695652173914,0.23478260869565218,0.9956521739130435,0.0,0.004347826086956522,0.0
