entry_f,entry,target_ext,target,stop_f,stop,robust_clock_count,robust_clocks,robust_major_median_wr,robust_major_median_pf,robust_major_median_exp,robust_major_median_max_ls,robust_major_median_n,btc_wr_gap_pp,btc_pf_gap,btc_exp_gap,btc_quality_diagnostic_pass,supported
0.85,F85,0.1,E10,0.2,F20,2,"09:00,10:00",0.7634158926728586,1.2945272257334168,0.3305159803130576,3.0,57.0,4.41178926728586,-0.9286657742665834,-0.9294840196869424,False,True
0.85,F85,0.1,E10,0.15,F15,2,"09:00,10:00",0.7839678984695782,1.3931261925168714,0.49401500450085034,3.0,57.0,6.466989846957816,-0.8300668074831288,-0.7659849954991497,False,True
0.85,F85,0.15,E15,0.2,F20,1,09:00,0.7352941176470589,1.3006555857809388,0.6998280505675727,3.0,66.0,1.5996117647058883,-0.9225374142190614,-0.5601719494324273,False,False
0.85,F85,0.15,E15,0.15,F15,1,09:00,0.7352941176470589,1.460905741781247,0.9583366748765858,3.0,66.0,1.5996117647058883,-0.7622872582187532,-0.3016633251234142,False,False
0.85,F85,0.2,E20,0.2,F20,3,"09:00,10:00,16:00",0.6818181818181818,1.2143309503429875,0.465863182191684,4.0,62.0,-3.7479818181818225,-1.0088620496570126,-0.794136817808316,False,True
0.85,F85,0.2,E20,0.15,F15,3,"09:00,10:00,16:00",0.696078431372549,1.2935437615436898,0.5909953122637389,4.0,62.0,-2.3219568627451004,-0.9296492384563104,-0.6690046877362611,False,True
0.85,F85,0.25,E25,0.2,F20,3,"05:00,09:00,16:00",0.6231884057971014,1.2106419166851958,0.45784481174037606,4.0,62.0,-9.610959420289856,-1.0125510833148044,-0.802155188259624,False,True
0.85,F85,0.25,E25,0.15,F15,4,"05:00,09:00,10:00,16:00",0.6541889483065954,1.2426723603012855,0.5056478039011765,4.0,55.0,-6.5109051693404645,-0.9805206396987147,-0.7543521960988235,False,True
0.85,F85,0.3,E30,0.2,F20,2,"05:00,09:00",0.6412080961416824,1.3249811217059497,0.6099280768025783,3.5,53.0,-7.80899038583176,-0.8982118782940505,-0.6500719231974217,False,True
0.85,F85,0.3,E30,0.15,F15,3,"05:00,09:00,16:00",0.609375,1.3430000910710462,0.5702024361551955,4.0,62.0,-10.9923,-0.880192908928954,-0.6897975638448045,False,True
0.85,F85,0.35,E35,0.2,F20,4,"05:00,09:00,10:00,16:00",0.6090353260869565,1.2333319115786852,0.5170071581964208,4.0,55.0,-11.026267391304344,-0.989861088421315,-0.7429928418035792,False,True
0.85,F85,0.35,E35,0.15,F15,4,"05:00,09:00,10:00,16:00",0.6111391129032258,1.3461547343501254,0.643710427084883,4.0,55.0,-10.815888709677424,-0.8770382656498747,-0.616289572915117,False,True
0.85,F85,0.4,E40,0.2,F20,3,"05:00,09:00,16:00",0.59375,1.3554488652884873,0.6612690644320546,4.0,62.0,-12.5548,-0.8677441347115129,-0.5987309355679454,False,True
0.85,F85,0.4,E40,0.15,F15,3,"05:00,10:00,16:00",0.59375,1.3607623417497012,0.6612690644320546,4.0,48.0,-12.5548,-0.862430658250299,-0.5987309355679454,False,True
0.8,F80,0.1,E10,0.2,F20,2,"09:00,10:00",0.7421142369991475,1.4294947253294779,0.5392452971083547,3.0,51.0,2.2816236999147477,-0.7936982746705223,-0.7207547028916453,False,True
0.8,F80,0.1,E10,0.15,F15,2,"09:00,10:00",0.7687553282182438,1.4666901606780591,0.6692020149738653,3.0,51.0,4.945732821824378,-0.7565028393219411,-0.5907979850261347,False,True
0.8,F80,0.15,E15,0.2,F20,2,"05:00,09:00",0.6785714285714286,1.3897335689597927,0.5591563418642755,3.5,46.0,-4.072657142857139,-0.8334594310402075,-0.7008436581357245,False,True
0.8,F80,0.15,E15,0.15,F15,2,"05:00,09:00",0.6785714285714286,1.3898235397960057,0.6986544430783667,3.5,46.0,-4.072657142857139,-0.8333694602039945,-0.5613455569216333,False,True
0.8,F80,0.2,E20,0.2,F20,3,"05:00,09:00,10:00",0.6862745098039216,1.3682445647989216,0.6611549716329541,3.0,46.0,-3.302349019607842,-0.8549484352010785,-0.5988450283670459,False,True
0.8,F80,0.2,E20,0.15,F15,3,"05:00,09:00,10:00",0.6875,1.3682445647989216,0.8832352957809382,3.0,46.0,-3.1797999999999993,-0.8549484352010785,-0.37676470421906183,False,True
0.8,F80,0.25,E25,0.2,F20,2,"05:00,09:00",0.6316964285714286,1.5176703706306338,0.7026141678049432,3.5,46.0,-8.760157142857139,-0.7055226293693664,-0.5573858321950568,False,True
0.8,F80,0.25,E25,0.15,F15,2,"05:00,09:00",0.6316964285714286,1.5146771849541976,0.6990090705561849,3.5,46.0,-8.760157142857139,-0.7085158150458026,-0.5609909294438151,False,True
0.8,F80,0.3,E30,0.2,F20,2,"05:00,09:00",0.6212797619047619,1.4868415709164082,0.6666090903789899,3.5,46.0,-9.801823809523814,-0.736351429083592,-0.5933909096210102,False,True
0.8,F80,0.3,E30,0.15,F15,2,"05:00,09:00",0.6212797619047619,1.4838952496725075,0.7449020027687567,3.5,46.0,-9.801823809523814,-0.7392977503274927,-0.5150979972312433,False,True
0.8,F80,0.35,E35,0.2,F20,3,"05:00,09:00,10:00",0.6304347826086957,1.4009929801250849,0.8412898523509283,4.0,46.0,-8.886321739130432,-0.8222000198749153,-0.41871014764907166,False,True
0.8,F80,0.35,E35,0.15,F15,3,"05:00,09:00,10:00",0.6354166666666666,1.4270299784405123,0.9042974436134439,4.0,46.0,-8.388133333333336,-0.7961630215594879,-0.3557025563865561,False,True
0.8,F80,0.4,E40,0.2,F20,2,"05:00,09:00",0.6003951149425287,1.5682793702012323,0.8137699663793638,4.0,46.0,-11.890288505747126,-0.6549136297987679,-0.4462300336206362,False,True
0.8,F80,0.4,E40,0.15,F15,3,"05:00,09:00,10:00",0.6145833333333334,1.5066569180201994,1.0428483646048627,4.0,46.0,-10.471466666666663,-0.7165360819798008,-0.21715163539513727,False,True
0.75,F75,0.1,E10,0.2,F20,3,"05:00,09:00,10:00",0.6966292134831461,1.4493492009703202,0.6874048443875704,3.0,41.0,-2.266878651685389,-0.77384379902968,-0.5725951556124296,False,True
0.75,F75,0.1,E10,0.15,F15,3,"05:00,09:00,10:00",0.6966292134831461,1.4453135246562039,0.7681644598917052,3.0,41.0,-2.266878651685389,-0.7778794753437963,-0.4918355401082948,False,True
0.75,F75,0.15,E15,0.2,F20,3,"05:00,09:00,10:00",0.6862745098039216,1.6426513885934018,0.9270996231798446,3.0,41.0,-3.302349019607842,-0.5805416114065984,-0.3329003768201554,False,True
0.75,F75,0.15,E15,0.15,F15,3,"05:00,09:00,10:00",0.6907216494845361,1.6380774672107161,1.1608446883599055,3.0,41.0,-2.857635051546392,-0.5851155327892841,-0.0991553116400945,False,True
0.75,F75,0.2,E20,0.2,F20,3,"05:00,09:00,10:00",0.6629213483146067,1.5246561989136627,1.1111050493804462,3.0,41.0,-5.63766516853933,-0.6985368010863375,-0.14889495061955382,False,True
0.75,F75,0.2,E20,0.15,F15,3,"05:00,09:00,10:00",0.6666666666666666,1.5477849042077227,1.0892038778875994,3.0,41.0,-5.263133333333336,-0.6754080957922775,-0.17079612211240058,False,True
0.75,F75,0.25,E25,0.2,F20,3,"05:00,09:00,10:00",0.6346153846153846,1.4978460290886193,0.861201971435477,3.0,41.0,-8.46826153846154,-0.7253469709113809,-0.39879802856452296,False,True
0.75,F75,0.25,E25,0.15,F15,3,"05:00,09:00,10:00",0.6391752577319587,1.4543402484066792,0.861201971435477,3.0,41.0,-8.012274226804127,-0.768852751593321,-0.39879802856452296,False,True
0.75,F75,0.3,E30,0.2,F20,3,"05:00,09:00,10:00",0.6346153846153846,1.5477441919838266,0.8462587116631303,3.0,41.0,-8.46826153846154,-0.6754488080161736,-0.41374128833686974,False,True
0.75,F75,0.3,E30,0.15,F15,3,"05:00,09:00,10:00",0.6346153846153846,1.5028979019182034,1.1614422214168283,3.0,41.0,-8.46826153846154,-0.7202950980817968,-0.09855777858317172,False,True
0.75,F75,0.35,E35,0.2,F20,3,"05:00,09:00,10:00",0.625,1.524207873029127,0.8549774997492132,4.0,41.0,-9.4298,-0.6989851269708731,-0.4050225002507868,False,True
0.75,F75,0.35,E35,0.15,F15,3,"05:00,09:00,10:00",0.625,1.521184667343376,0.895787295025648,4.0,41.0,-9.4298,-0.7020083326566242,-0.364212704974352,False,True
0.75,F75,0.4,E40,0.2,F20,3,"05:00,09:00,10:00",0.625,1.5111442277728881,0.8704765840840812,4.0,41.0,-9.4298,-0.712048772227112,-0.38952341591591877,False,True
0.75,F75,0.4,E40,0.15,F15,3,"05:00,09:00,10:00",0.625,1.5462354388577972,0.8704765840840812,4.0,41.0,-9.4298,-0.676957561142203,-0.38952341591591877,False,True
0.7,F70,0.1,E10,0.2,F20,3,"05:00,09:00,10:00",0.7012987012987013,1.563932924869733,0.7157610281994238,3.0,37.0,-1.7999298701298683,-0.6592600751302673,-0.5442389718005762,False,True
0.7,F70,0.1,E10,0.15,F15,3,"05:00,09:00,10:00",0.7078651685393258,1.6577871793680627,0.7654631612421362,3.0,37.0,-1.1432831460674198,-0.5654058206319375,-0.4945368387578638,False,True
0.7,F70,0.15,E15,0.2,F20,3,"05:00,09:00,10:00",0.6595744680851063,1.6086164129063045,0.862250213263684,3.0,37.0,-5.972353191489366,-0.6145765870936957,-0.397749786736316,False,True
0.7,F70,0.15,E15,0.15,F15,3,"05:00,09:00,10:00",0.6629213483146067,1.6086164129063045,0.8625225593405506,3.0,37.0,-5.63766516853933,-0.6145765870936957,-0.39747744065944945,False,True
0.7,F70,0.2,E20,0.2,F20,3,"05:00,09:00,10:00",0.6382978723404256,1.5731265618851022,0.7813740561175839,3.0,37.0,-8.100012765957443,-0.650066438114898,-0.4786259438824161,False,True
0.7,F70,0.2,E20,0.15,F15,3,"05:00,09:00,10:00",0.651685393258427,1.5731265618851022,0.7813740561175839,3.0,37.0,-6.761260674157299,-0.650066438114898,-0.4786259438824161,False,True
0.7,F70,0.25,E25,0.2,F20,3,"05:00,09:00,10:00",0.625,1.394076178942021,0.7988105716350533,3.0,37.0,-9.4298,-0.8291168210579791,-0.4611894283649467,False,True
0.7,F70,0.25,E25,0.15,F15,3,"05:00,09:00,10:00",0.625,1.4812889674591176,0.7111033771962928,3.0,37.0,-9.4298,-0.7419040325408826,-0.5488966228037072,False,True
0.7,F70,0.3,E30,0.2,F20,3,"05:00,09:00,10:00",0.6233766233766234,1.492885160212194,0.8266966080949414,3.0,37.0,-9.592137662337663,-0.7303078397878062,-0.4333033919050586,False,True
0.7,F70,0.3,E30,0.15,F15,3,"05:00,09:00,10:00",0.6233766233766234,1.492885160212194,0.7389894136561809,3.0,37.0,-9.592137662337663,-0.7303078397878062,-0.5210105863438191,False,True
0.7,F70,0.35,E35,0.2,F20,3,"05:00,09:00,10:00",0.6233766233766234,1.5452838594501477,0.9375555609484467,3.0,37.0,-9.592137662337663,-0.6779091405498525,-0.3224444390515533,False,True
0.7,F70,0.35,E35,0.15,F15,3,"05:00,09:00,10:00",0.6233766233766234,1.5882200292328377,0.9378279070253133,3.0,37.0,-9.592137662337663,-0.6349729707671625,-0.32217209297468674,False,True
0.7,F70,0.4,E40,0.2,F20,3,"05:00,09:00,10:00",0.6103896103896104,1.4887226776319513,0.9237297340424705,3.0,37.0,-10.890838961038963,-0.7344703223680489,-0.3362702659575295,False,True
0.7,F70,0.4,E40,0.15,F15,3,"05:00,09:00,10:00",0.6103896103896104,1.4887226776319513,0.9240020801193369,3.0,37.0,-10.890838961038963,-0.7344703223680489,-0.3359979198806631,False,True
