clock_block,wib,mode,threshold,dev_bad_total,dev_bad_too_late,dev_bad_eligible,dev_bad_flagged,dev_bad_capture_all,dev_bad_recall_eligible,dev_good_total,dev_good_resolved_safe,dev_good_eligible,dev_good_flagged,dev_good_sacrifice_all,dev_good_fpr_eligible,dev_flagged_n,dev_flag_precision_bad
00-04,07-11,SAFE,0.5332603845054695,7,0,7,7,1.0,1.0,30,15,15,3,0.1,0.2,10,0.7
00-04,07-11,AGGRESSIVE,0.5332603845054695,7,0,7,7,1.0,1.0,30,15,15,3,0.1,0.2,10,0.7
04-08,11-15,SAFE,0.843718723074864,1,0,1,1,1.0,1.0,10,3,7,0,0.0,0.0,1,1.0
04-08,11-15,AGGRESSIVE,0.843718723074864,1,0,1,1,1.0,1.0,10,3,7,0,0.0,0.0,1,1.0
08-12,15-19,SAFE,0.7365012286207966,8,1,7,3,0.375,0.42857142857142855,26,12,14,2,0.07692307692307693,0.14285714285714285,5,0.6
08-12,15-19,AGGRESSIVE,0.6534644184854693,8,1,7,5,0.625,0.7142857142857143,26,12,14,3,0.11538461538461539,0.21428571428571427,8,0.625
12-16,19-23,SAFE,0.6079191233470334,18,1,17,16,0.8888888888888888,0.9411764705882353,49,17,32,2,0.04081632653061224,0.0625,18,0.8888888888888888
12-16,19-23,AGGRESSIVE,0.6079191233470334,18,1,17,16,0.8888888888888888,0.9411764705882353,49,17,32,2,0.04081632653061224,0.0625,18,0.8888888888888888
16-20,23-03,SAFE,inf,2,1,1,0,0.0,0.0,29,9,20,0,0.0,0.0,0,
16-20,23-03,AGGRESSIVE,inf,2,1,1,0,0.0,0.0,29,9,20,0,0.0,0.0,0,
20-00,03-07,SAFE,inf,2,0,2,0,0.0,0.0,15,6,9,0,0.0,0.0,0,
20-00,03-07,AGGRESSIVE,0.41019885443537574,2,0,2,2,1.0,1.0,15,6,9,2,0.13333333333333333,0.2222222222222222,4,0.5
