partition,D,stop_fraction,h2_winners,pre_h2_survive_rate,through_h2_survive_rate
external,0.05,0.7,31,0.12903225806451613,0.12903225806451613
external,0.1,0.65,31,0.45161290322580644,0.45161290322580644
external,0.15,0.6,31,0.4838709677419355,0.4838709677419355
external,0.2,0.55,31,0.6129032258064516,0.6129032258064516
external,0.25,0.5,31,0.7419354838709677,0.7419354838709677
external,0.3,0.45,31,0.8387096774193549,0.8387096774193549
external,0.35,0.4,31,0.8709677419354839,0.8709677419354839
external,0.4,0.35,31,0.8709677419354839,0.8709677419354839
external,0.45,0.3,31,0.9032258064516129,0.9032258064516129
external,0.5,0.25,31,0.967741935483871,0.967741935483871
external,0.55,0.19999999999999996,31,1.0,1.0
external,0.6,0.15000000000000002,31,1.0,1.0
external,0.65,0.09999999999999998,31,1.0,1.0
external,0.7,0.050000000000000044,31,1.0,1.0
external,0.75,0.0,31,1.0,1.0
development,0.05,0.7,48,0.10416666666666667,0.10416666666666667
development,0.1,0.65,48,0.3333333333333333,0.3333333333333333
development,0.15,0.6,48,0.5208333333333334,0.5208333333333334
development,0.2,0.55,48,0.625,0.625
development,0.25,0.5,48,0.7083333333333334,0.7083333333333334
development,0.3,0.45,48,0.7708333333333334,0.7708333333333334
development,0.35,0.4,48,0.8125,0.8125
development,0.4,0.35,48,0.8333333333333334,0.8333333333333334
development,0.45,0.3,48,0.8541666666666666,0.8541666666666666
development,0.5,0.25,48,0.8958333333333334,0.875
development,0.55,0.19999999999999996,48,0.8958333333333334,0.875
development,0.6,0.15000000000000002,48,0.8958333333333334,0.8958333333333334
development,0.65,0.09999999999999998,48,0.8958333333333334,0.8958333333333334
development,0.7,0.050000000000000044,48,0.9166666666666666,0.9166666666666666
development,0.75,0.0,48,0.9166666666666666,0.9166666666666666
reference_validation,0.05,0.7,22,0.18181818181818182,0.13636363636363635
reference_validation,0.1,0.65,22,0.3181818181818182,0.3181818181818182
reference_validation,0.15,0.6,22,0.45454545454545453,0.45454545454545453
reference_validation,0.2,0.55,22,0.5,0.5
reference_validation,0.25,0.5,22,0.5909090909090909,0.5909090909090909
reference_validation,0.3,0.45,22,0.6363636363636364,0.6363636363636364
reference_validation,0.35,0.4,22,0.7272727272727273,0.7272727272727273
reference_validation,0.4,0.35,22,0.8636363636363636,0.8636363636363636
reference_validation,0.45,0.3,22,0.9545454545454546,0.9545454545454546
reference_validation,0.5,0.25,22,0.9545454545454546,0.9545454545454546
reference_validation,0.55,0.19999999999999996,22,0.9545454545454546,0.9545454545454546
reference_validation,0.6,0.15000000000000002,22,0.9545454545454546,0.9545454545454546
reference_validation,0.65,0.09999999999999998,22,1.0,1.0
reference_validation,0.7,0.050000000000000044,22,1.0,1.0
reference_validation,0.75,0.0,22,1.0,1.0
august,0.05,0.7,1,1.0,1.0
august,0.1,0.65,1,1.0,1.0
august,0.15,0.6,1,1.0,1.0
august,0.2,0.55,1,1.0,1.0
august,0.25,0.5,1,1.0,1.0
august,0.3,0.45,1,1.0,1.0
august,0.35,0.4,1,1.0,1.0
august,0.4,0.35,1,1.0,1.0
august,0.45,0.3,1,1.0,1.0
august,0.5,0.25,1,1.0,1.0
august,0.55,0.19999999999999996,1,1.0,1.0
august,0.6,0.15000000000000002,1,1.0,1.0
august,0.65,0.09999999999999998,1,1.0,1.0
august,0.7,0.050000000000000044,1,1.0,1.0
august,0.75,0.0,1,1.0,1.0
