partition,zone,accepted,n,wins,wr,pf,expectancy,total_net
external,ALT_0330,20,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667
external,RAW_0530,14,14,11,0.7857142857142857,3.5536783500662246,1.884176881320384,26.378476338485378
external,LONDON,26,26,18,0.6923076923076923,1.6625053670273682,0.768325247303543,19.976456429892117
external,RAW_2330,14,14,9,0.6428571428571429,3.30894757796292,2.1574344203229003,30.204081884520605
development,ALT_0330,29,29,21,0.7241379310344828,1.7969649354236865,0.7713507477947398,22.369171686047455
development,RAW_0530,30,30,19,0.6333333333333333,1.5163917940730283,0.54359998155026,16.3079994465078
development,LONDON,30,30,19,0.6333333333333333,1.8060290015268685,1.4593481977263238,43.780445931789714
development,RAW_2330,17,17,13,0.7647058823529411,3.240041731109721,1.1899635249511231,20.229379924169095
reference_validation,ALT_0330,12,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088
reference_validation,RAW_0530,10,10,8,0.8,2.4643845464576604,1.6384206521265543,16.384206521265543
reference_validation,LONDON,11,11,10,0.9090909090909091,4.957067135974859,1.128962926895689,12.418592195852579
reference_validation,RAW_2330,14,14,10,0.7142857142857143,4.416449774785679,2.268968245914791,31.76555544280707
august,ALT_0330,0,0,0,,,,0.0
august,RAW_0530,0,0,0,,,,0.0
august,LONDON,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
august,RAW_2330,0,0,0,,,,0.0
POOLED_MAJOR,ALT_0330,61,61,47,0.7704918032786885,2.4399389229148265,1.3515237054132163,82.4429460302062
POOLED_MAJOR,RAW_0530,54,54,38,0.7037037037037037,2.1124688267534713,1.0939015241899765,59.07068230625874
POOLED_MAJOR,LONDON,67,67,47,0.7014925373134329,1.8695093561702674,1.1369476799632001,76.1754945575344
POOLED_MAJOR,RAW_2330,45,45,32,0.7111111111111111,3.616973766459128,1.8266448278110394,82.19901725149677
