freeze_rank,candidate_id,partition,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak,partition_gate
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,6,0.16666666666666666,-102.56682762223575,-17.094471270372626,0.30626981859803354,147.84829948577038,5,1,False
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,196,0.5255102040816326,159.53181806846186,0.8139378472880707,1.1370313472734936,469.968668793192,12,15,False
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,external,3,0.0,-76.7456068666644,-25.5818689555548,0.0,76.7456068666644,3,0,False
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,reference_validation,179,0.4581005586592179,-102.97362345609494,-0.5752716394195249,0.9107198445802506,677.0910929916686,20,12,False
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,13,0.07692307692307693,-166.99148005411854,-12.845498465701427,0.21331720058757475,212.2729519176532,12,1,False
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,174,0.5229885057471264,150.04194455575563,0.8623100261825036,1.1530412031924868,298.5435254594383,8,19,True
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,external,145,0.5310344827586206,1105.4913787978885,7.624078474468196,2.2809952926490875,200.39209302642882,7,10,True
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,reference_validation,56,0.4107142857142857,-114.98812548838316,-2.0533593837211277,0.6758023603196729,131.2916568281623,7,5,False
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,external,1,0.0,-15.883895037874348,-15.883895037874348,0.0,15.883895037874348,1,0,False
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,reference_validation,217,0.5299539170506913,36.73719410524774,0.16929582536980525,1.032484246648372,425.12936229852994,15,20,False
