feature,quantile,threshold
ascent_bars,0.25,14.0
ascent_bars,0.5,39.0
ascent_bars,0.75,132.0
up_path_efficiency,0.25,0.17942271880819313
up_path_efficiency,0.5,0.30290456431535284
up_path_efficiency,0.75,0.5535889872173181
median_adjacent_overlap,0.25,0.7477793361383785
median_adjacent_overlap,0.5,0.811819595645442
median_adjacent_overlap,0.75,0.859848484848506
overlap_gt50_share,0.25,0.7317073170731707
overlap_gt50_share,0.5,0.7906976744186046
overlap_gt50_share,0.75,0.8444816053511706
range_contraction_ratio,0.25,0.7068965517241514
range_contraction_ratio,0.5,0.8714285714285671
range_contraction_ratio,0.75,1.125
body_contraction_ratio,0.25,0.722646310432564
body_contraction_ratio,0.5,0.9999999999998815
body_contraction_ratio,0.75,1.413177339901495
largest_bull_body_share,0.25,0.0733869643736665
largest_bull_body_share,0.5,0.14195583596214656
largest_bull_body_share,0.75,0.2706766917293261
sign_flip_rate,0.25,0.4
sign_flip_rate,0.5,0.5
sign_flip_rate,0.75,0.5490196078431373
higher_low_share,0.25,0.5647058823529412
higher_low_share,0.5,0.6111111111111112
higher_low_share,0.75,0.7368421052631579
rise_per_bar_range_units,0.25,0.09523809523808847
rise_per_bar_range_units,0.5,0.16109481915933618
rise_per_bar_range_units,0.75,0.31054131054131406
max_bull_body_range_units,0.25,1.5263390880920729
max_bull_body_range_units,0.5,2.302521008403309
max_bull_body_range_units,0.75,3.1683168316830965
pre_return_drawup_fraction,0.25,1.014084507042252
pre_return_drawup_fraction,0.5,1.0335570469798638
pre_return_drawup_fraction,0.75,1.0967741935483912
