checkpoint,mode,clock_block,threshold,bad_total,bad_too_late,bad_eligible,bad_flagged,bad_capture_all,bad_recall_eligible,good_total,good_resolved_safe,good_eligible,good_flagged,good_sacrifice_all,good_fpr_eligible,flagged_n,flag_precision_bad
RECLAIM,SAFE,00-04,0.6534535825318841,13,0,13,0,0.0,0.0,76,0,76,10,0.13157894736842105,0.13157894736842105,10,0.0
RECLAIM,SAFE,04-08,0.6534535825318841,5,0,5,1,0.2,0.2,36,0,36,0,0.0,0.0,1,1.0
RECLAIM,SAFE,08-12,0.6534535825318841,17,0,17,7,0.4117647058823529,0.4117647058823529,55,0,55,10,0.18181818181818182,0.18181818181818182,17,0.4117647058823529
RECLAIM,SAFE,12-16,0.6534535825318841,25,0,25,12,0.48,0.48,95,0,95,20,0.21052631578947367,0.21052631578947367,32,0.375
RECLAIM,SAFE,16-20,0.6534535825318841,8,0,8,1,0.125,0.125,50,0,50,0,0.0,0.0,1,1.0
RECLAIM,SAFE,20-00,0.6534535825318841,10,0,10,2,0.2,0.2,36,0,36,2,0.05555555555555555,0.05555555555555555,4,0.5
RECLAIM,AGGRESSIVE,00-04,0.580230323009824,13,0,13,3,0.23076923076923078,0.23076923076923078,76,0,76,21,0.27631578947368424,0.27631578947368424,24,0.125
RECLAIM,AGGRESSIVE,04-08,0.580230323009824,5,0,5,1,0.2,0.2,36,0,36,0,0.0,0.0,1,1.0
RECLAIM,AGGRESSIVE,08-12,0.580230323009824,17,0,17,8,0.47058823529411764,0.47058823529411764,55,0,55,20,0.36363636363636365,0.36363636363636365,28,0.2857142857142857
RECLAIM,AGGRESSIVE,12-16,0.580230323009824,25,0,25,16,0.64,0.64,95,0,95,32,0.3368421052631579,0.3368421052631579,48,0.3333333333333333
RECLAIM,AGGRESSIVE,16-20,0.580230323009824,8,0,8,2,0.25,0.25,50,0,50,0,0.0,0.0,2,1.0
RECLAIM,AGGRESSIVE,20-00,0.580230323009824,10,0,10,2,0.2,0.2,36,0,36,3,0.08333333333333333,0.08333333333333333,5,0.4
FILL,SAFE,00-04,0.6495502737932632,13,0,13,0,0.0,0.0,76,0,76,9,0.11842105263157894,0.11842105263157894,9,0.0
FILL,SAFE,04-08,0.6495502737932632,5,0,5,1,0.2,0.2,36,0,36,0,0.0,0.0,1,1.0
FILL,SAFE,08-12,0.6495502737932632,17,0,17,6,0.35294117647058826,0.35294117647058826,55,0,55,7,0.12727272727272726,0.12727272727272726,13,0.46153846153846156
FILL,SAFE,12-16,0.6495502737932632,25,0,25,12,0.48,0.48,95,0,95,21,0.22105263157894736,0.22105263157894736,33,0.36363636363636365
FILL,SAFE,16-20,0.6495502737932632,8,0,8,1,0.125,0.125,50,0,50,0,0.0,0.0,1,1.0
FILL,SAFE,20-00,0.6495502737932632,10,0,10,2,0.2,0.2,36,0,36,2,0.05555555555555555,0.05555555555555555,4,0.5
FILL,AGGRESSIVE,00-04,0.5727423194846668,13,0,13,3,0.23076923076923078,0.23076923076923078,76,0,76,19,0.25,0.25,22,0.13636363636363635
FILL,AGGRESSIVE,04-08,0.5727423194846668,5,0,5,1,0.2,0.2,36,0,36,0,0.0,0.0,1,1.0
FILL,AGGRESSIVE,08-12,0.5727423194846668,17,0,17,8,0.47058823529411764,0.47058823529411764,55,0,55,17,0.3090909090909091,0.3090909090909091,25,0.32
FILL,AGGRESSIVE,12-16,0.5727423194846668,25,0,25,15,0.6,0.6,95,0,95,33,0.3473684210526316,0.3473684210526316,48,0.3125
FILL,AGGRESSIVE,16-20,0.5727423194846668,8,0,8,2,0.25,0.25,50,0,50,1,0.02,0.02,3,0.6666666666666666
FILL,AGGRESSIVE,20-00,0.5727423194846668,10,0,10,2,0.2,0.2,36,0,36,4,0.1111111111111111,0.1111111111111111,6,0.3333333333333333
PLUS5,SAFE,00-04,0.6782377735816619,13,0,13,3,0.23076923076923078,0.23076923076923078,76,7,69,6,0.07894736842105263,0.08695652173913043,9,0.3333333333333333
PLUS5,SAFE,04-08,0.6782377735816619,5,0,5,1,0.2,0.2,36,1,35,0,0.0,0.0,1,1.0
PLUS5,SAFE,08-12,0.6782377735816619,17,2,15,5,0.29411764705882354,0.3333333333333333,55,4,51,13,0.23636363636363636,0.2549019607843137,18,0.2777777777777778
PLUS5,SAFE,12-16,0.6782377735816619,25,0,25,14,0.56,0.56,95,7,88,24,0.25263157894736843,0.2727272727272727,38,0.3684210526315789
PLUS5,SAFE,16-20,0.6782377735816619,8,0,8,2,0.25,0.25,50,4,46,0,0.0,0.0,2,1.0
PLUS5,SAFE,20-00,0.6782377735816619,10,1,9,2,0.2,0.2222222222222222,36,3,33,0,0.0,0.0,2,1.0
PLUS5,AGGRESSIVE,00-04,0.5631025017287984,13,0,13,7,0.5384615384615384,0.5384615384615384,76,7,69,21,0.27631578947368424,0.30434782608695654,28,0.25
PLUS5,AGGRESSIVE,04-08,0.5631025017287984,5,0,5,1,0.2,0.2,36,1,35,0,0.0,0.0,1,1.0
PLUS5,AGGRESSIVE,08-12,0.5631025017287984,17,2,15,14,0.8235294117647058,0.9333333333333333,55,4,51,21,0.38181818181818183,0.4117647058823529,35,0.4
PLUS5,AGGRESSIVE,12-16,0.5631025017287984,25,0,25,19,0.76,0.76,95,7,88,35,0.3684210526315789,0.3977272727272727,54,0.35185185185185186
PLUS5,AGGRESSIVE,16-20,0.5631025017287984,8,0,8,2,0.25,0.25,50,4,46,1,0.02,0.021739130434782608,3,0.6666666666666666
PLUS5,AGGRESSIVE,20-00,0.5631025017287984,10,1,9,2,0.2,0.2222222222222222,36,3,33,4,0.1111111111111111,0.12121212121212122,6,0.3333333333333333
PLUS10,SAFE,00-04,0.5898635948838399,13,0,13,6,0.46153846153846156,0.46153846153846156,76,23,53,13,0.17105263157894737,0.24528301886792453,19,0.3157894736842105
PLUS10,SAFE,04-08,0.5898635948838399,5,0,5,1,0.2,0.2,36,7,29,0,0.0,0.0,1,1.0
PLUS10,SAFE,08-12,0.5898635948838399,17,2,15,9,0.5294117647058824,0.6,55,13,42,12,0.21818181818181817,0.2857142857142857,21,0.42857142857142855
PLUS10,SAFE,12-16,0.5898635948838399,25,0,25,17,0.68,0.68,95,21,74,20,0.21052631578947367,0.2702702702702703,37,0.4594594594594595
PLUS10,SAFE,16-20,0.5898635948838399,8,0,8,2,0.25,0.25,50,11,39,0,0.0,0.0,2,1.0
PLUS10,SAFE,20-00,0.5898635948838399,10,1,9,4,0.4,0.4444444444444444,36,12,24,2,0.05555555555555555,0.08333333333333333,6,0.6666666666666666
PLUS10,AGGRESSIVE,00-04,0.5494693389519317,13,0,13,6,0.46153846153846156,0.46153846153846156,76,23,53,16,0.21052631578947367,0.3018867924528302,22,0.2727272727272727
PLUS10,AGGRESSIVE,04-08,0.5494693389519317,5,0,5,1,0.2,0.2,36,7,29,0,0.0,0.0,1,1.0
PLUS10,AGGRESSIVE,08-12,0.5494693389519317,17,2,15,10,0.5882352941176471,0.6666666666666666,55,13,42,16,0.2909090909090909,0.38095238095238093,26,0.38461538461538464
PLUS10,AGGRESSIVE,12-16,0.5494693389519317,25,0,25,18,0.72,0.72,95,21,74,23,0.24210526315789474,0.3108108108108108,41,0.43902439024390244
PLUS10,AGGRESSIVE,16-20,0.5494693389519317,8,0,8,2,0.25,0.25,50,11,39,0,0.0,0.0,2,1.0
PLUS10,AGGRESSIVE,20-00,0.5494693389519317,10,1,9,4,0.4,0.4444444444444444,36,12,24,2,0.05555555555555555,0.08333333333333333,6,0.6666666666666666
PLUS15,SAFE,00-04,0.6079191233470493,13,0,13,8,0.6153846153846154,0.6153846153846154,76,33,43,9,0.11842105263157894,0.20930232558139536,17,0.47058823529411764
PLUS15,SAFE,04-08,0.6079191233470493,5,0,5,1,0.2,0.2,36,16,20,3,0.08333333333333333,0.15,4,0.25
PLUS15,SAFE,08-12,0.6079191233470493,17,2,15,11,0.6470588235294118,0.7333333333333333,55,25,30,11,0.2,0.36666666666666664,22,0.5
PLUS15,SAFE,12-16,0.6079191233470493,25,1,24,18,0.72,0.75,95,30,65,11,0.11578947368421053,0.16923076923076924,29,0.6206896551724138
PLUS15,SAFE,16-20,0.6079191233470493,8,1,7,1,0.125,0.14285714285714285,50,16,34,1,0.02,0.029411764705882353,2,0.5
