partition,outcome,n,median_first5_intended_ret,median_ret15_intended,median_ret30_intended,median_mfe15,median_mae15
development,TP,1047,0.0018502578839284523,0.0027742749054224802,0.0034309240622141246,0.00567975281715738,0.001501307779823824
development,SL,724,-4.7829955760247955e-05,-0.0015827233012755126,-0.002875432918150178,0.002371757815123665,0.0032523995895439306
development,TIME,316,0.0004297348089781772,0.0003933868227223858,0.00013734712838958663,0.0021854373127423443,0.0013852371569601507
validation_2025,TP,630,0.002185873564090557,0.0028280552033815853,0.003944665661832103,0.005095961377571234,0.0011556703658528455
validation_2025,SL,414,0.0008900901915435133,-0.00042442673598563907,-0.0018106666175387587,0.0027752399090154034,0.002158772947044363
validation_2025,TIME,193,0.0011914217633042234,0.0011745198286583491,0.0003301855642872109,0.0027843519420855944,0.001078242932820772
validation_2026,TP,384,0.0016442943947658217,0.001889090535839244,0.0033430082883711965,0.004107047164625288,0.0009867754017784947
validation_2026,SL,254,0.000608122699894742,-0.00023095951741580745,-0.0019211640584074763,0.002382373643178115,0.0019763307862131763
validation_2026,TIME,313,0.0005352602703063702,0.0004605465151981125,0.00026263952724903117,0.0019726459758022674,0.0009641873278238844
