role,partition,episode_class,snapshot_min,n,reclaim_by_snapshot_rate,median_close_R,median_running_mfe_R,median_running_mae_R,median_closes_above_H,median_closes_le_H
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,5,95,0.4,-0.016111707841031758,0.017492711370263054,0.10011778563014616,0.0,1.0
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,10,94,0.48936170212765956,-0.028933058702370125,0.02721288345528125,0.10072170115879822,0.0,2.0
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,15,94,0.5851063829787234,-0.010585185093075399,0.04608580274214903,0.10728958193277775,1.0,2.0
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,30,94,0.7021276595744681,0.020225604506251004,0.14462430959860387,0.13485334065867305,3.0,3.0
CENTRAL,development,RESIDUAL_LATENT_RECOVERABLE,60,94,0.851063829787234,0.07214655970987438,0.21881191405731315,0.1659124648983174,7.0,5.0
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,5,67,0.19402985074626866,-0.06906474820143749,0.0,0.09782608695652018,0.0,1.0
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,10,63,0.2857142857142857,-0.07407407407407435,0.0,0.13421550094517573,0.0,2.0
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,15,63,0.31746031746031744,-0.08353808353808306,0.006211180124225692,0.14056224899598194,0.0,3.0
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,30,62,0.43548387096774194,-0.10512317878639686,0.02163852163852136,0.19219904271124594,0.0,6.0
CENTRAL,development,RESIDUAL_TRUE_FAILURE_PROXY,60,61,0.5245901639344263,-0.13167701863354048,0.03848274341162404,0.23493975903614256,1.0,11.0
CENTRAL,development,H2_ECONOMIC_RESCUE,5,54,1.0,0.4060893774985727,0.47224466327503545,0.0,1.0,0.0
CENTRAL,development,H2_ECONOMIC_RESCUE,10,53,1.0,0.3920670391061474,0.5516265912305546,0.0,2.0,0.0
CENTRAL,development,H2_ECONOMIC_RESCUE,15,53,1.0,0.43631284916201185,0.5720789074355096,0.0,3.0,0.0
CENTRAL,development,H2_ECONOMIC_RESCUE,30,53,1.0,0.49254437869822404,0.7293233082706768,0.0,6.0,0.0
CENTRAL,development,H2_ECONOMIC_RESCUE,60,52,1.0,0.49067659838609745,0.7493015212385742,0.0,12.0,0.0
CENTRAL,external,RESIDUAL_TRUE_FAILURE_PROXY,5,44,0.22727272727272727,-0.07577348022341326,0.0003848127244743316,0.10452045596066756,0.0,1.0
CENTRAL,external,H2_ECONOMIC_RESCUE,5,30,1.0,0.4261711815753384,0.4639427840022834,0.0,1.0,0.0
CENTRAL,external,H2_ECONOMIC_RESCUE,10,30,1.0,0.4646424100935974,0.5259099196367818,0.0,2.0,0.0
CENTRAL,external,H2_ECONOMIC_RESCUE,15,30,1.0,0.4164727553437975,0.5762469932282239,0.0,3.0,0.0
CENTRAL,external,H2_ECONOMIC_RESCUE,30,30,1.0,0.4040890741848092,0.5762469932282239,0.0,6.0,0.0
CENTRAL,external,H2_ECONOMIC_RESCUE,60,30,1.0,0.426093700834814,0.6212335782816161,0.0,12.0,0.0
CENTRAL,external,RESIDUAL_LATENT_RECOVERABLE,5,51,0.35294117647058826,-0.023017902813300104,0.016903675878723948,0.08333333333333333,0.0,1.0
CENTRAL,external,RESIDUAL_LATENT_RECOVERABLE,10,51,0.45098039215686275,-0.03665814151747744,0.045280122793551515,0.11011155091759788,0.0,2.0
CENTRAL,external,RESIDUAL_LATENT_RECOVERABLE,15,51,0.5490196078431373,-0.025647171620325808,0.07049680821537614,0.14702731655061577,1.0,2.0
CENTRAL,external,RESIDUAL_LATENT_RECOVERABLE,30,51,0.6666666666666666,0.002626148940161864,0.10448321140499008,0.17829457364341153,2.0,4.0
CENTRAL,external,RESIDUAL_LATENT_RECOVERABLE,60,51,0.7843137254901961,0.02554875854623892,0.18420053171287612,0.1937725882680018,6.0,6.0
CENTRAL,external,RESIDUAL_TRUE_FAILURE_PROXY,10,41,0.34146341463414637,-0.08819345661450871,0.01964133219470209,0.15399072797895044,0.0,2.0
CENTRAL,external,RESIDUAL_TRUE_FAILURE_PROXY,15,41,0.36585365853658536,-0.11447084233261406,0.023456790123456975,0.17231638418079032,0.0,3.0
CENTRAL,external,RESIDUAL_TRUE_FAILURE_PROXY,30,41,0.4146341463414634,-0.21041844577284297,0.028481698072341886,0.3111203665139526,0.0,6.0
CENTRAL,external,RESIDUAL_TRUE_FAILURE_PROXY,60,41,0.4878048780487805,-0.14766047495885165,0.04452405322415361,0.34919653893695807,0.0,12.0
CENTRAL,reference_validation,RESIDUAL_LATENT_RECOVERABLE,5,51,0.4117647058823529,-0.02215189873417508,0.01785714285714569,0.10185185185185149,0.0,1.0
CENTRAL,reference_validation,RESIDUAL_LATENT_RECOVERABLE,10,51,0.5098039215686274,-0.037735849056601545,0.028037383177571186,0.11184210526315931,1.0,1.0
CENTRAL,reference_validation,RESIDUAL_LATENT_RECOVERABLE,15,51,0.5686274509803921,-0.020558002936855554,0.05454545454545642,0.12499999999999835,1.0,2.0
CENTRAL,reference_validation,RESIDUAL_LATENT_RECOVERABLE,30,51,0.7254901960784313,-0.030640668523672733,0.09628008752735194,0.16089108910891262,1.0,5.0
CENTRAL,reference_validation,RESIDUAL_LATENT_RECOVERABLE,60,51,0.8431372549019608,0.01960784313725094,0.1830357142857132,0.18555699481865162,4.0,8.0
CENTRAL,reference_validation,H2_ECONOMIC_RESCUE,5,35,0.9428571428571428,0.39451476793248963,0.4744525547445282,0.0,1.0,0.0
CENTRAL,reference_validation,H2_ECONOMIC_RESCUE,10,35,0.9714285714285714,0.384615384615393,0.5120274914089384,0.0,2.0,0.0
CENTRAL,reference_validation,H2_ECONOMIC_RESCUE,15,35,0.9714285714285714,0.3664717348927869,0.5120274914089384,0.0,3.0,0.0
CENTRAL,reference_validation,H2_ECONOMIC_RESCUE,30,35,0.9714285714285714,0.36196319018404904,0.5758091993185678,0.0,6.0,0.0
CENTRAL,reference_validation,H2_ECONOMIC_RESCUE,60,35,1.0,0.3085937499999966,0.6012269938650295,0.0,12.0,0.0
CENTRAL,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,5,53,0.2641509433962264,-0.04140127388534868,0.0,0.0784929356357929,0.0,1.0
CENTRAL,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,10,49,0.42857142857142855,-0.025902668759810406,0.0077071290944135395,0.08355795148248021,0.0,2.0
CENTRAL,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,15,49,0.46938775510204084,-0.03853564547205948,0.017699115044244117,0.09728867623604667,0.0,3.0
CENTRAL,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,30,48,0.5416666666666666,-0.09789510006901425,0.06311180369606095,0.16699610661875014,1.0,5.0
CENTRAL,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,60,48,0.5833333333333334,-0.09181583113078344,0.09448545861297032,0.2263661847617256,3.0,9.0
CLOCK_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,5,48,0.22916666666666666,-0.07464564513233773,0.006060606060607342,0.12970764946607707,0.0,1.0
CLOCK_SUPPORT,external,H2_ECONOMIC_RESCUE,5,35,1.0,0.4128120766402158,0.44193262411347517,0.0,1.0,0.0
CLOCK_SUPPORT,external,H2_ECONOMIC_RESCUE,10,35,1.0,0.42602892102336115,0.4917479821708228,0.0,2.0,0.0
CLOCK_SUPPORT,external,H2_ECONOMIC_RESCUE,15,35,1.0,0.4126436781609205,0.5200780174391904,0.0,3.0,0.0
CLOCK_SUPPORT,external,H2_ECONOMIC_RESCUE,30,35,1.0,0.37871186440677823,0.5466957319871492,0.0,6.0,0.0
CLOCK_SUPPORT,external,H2_ECONOMIC_RESCUE,60,35,1.0,0.393409048594302,0.5746560420210701,0.0,12.0,0.0
