clock_block,wib,bad_total,bad_flagged,bad_capture,good_total,good_flagged,good_sacrifice,flagged_n,flag_precision_bad,late_bad_total,late_bad_flagged,late_bad_capture,late_good_total,late_good_flagged,late_good_sacrifice,late_flagged_n,late_precision_bad,diag_bad_n,diag_good_n,diag_bad_median,diag_good_median,diag_directional_auc
00-04,07-11,13,7,0.5384615384615384,76,6,0.07894736842105263,13,0.5384615384615384,3,2,0.6666666666666666,3,0,0.0,2,1.0,3,3,0.31382578606891337,0.11902339776194626,0.888888888888889
04-08,11-15,5,1,0.2,36,0,0.0,1,1.0,0,0,,3,0,0.0,0,,0,3,,0.10612638687891982,
08-12,15-19,17,9,0.5294117647058824,55,8,0.14545454545454545,17,0.5294117647058824,3,1,0.3333333333333333,3,0,0.0,1,1.0,3,3,0.24715629687763954,0.11570247933883923,0.888888888888889
12-16,19-23,25,15,0.6,95,8,0.08421052631578947,23,0.6521739130434783,4,1,0.25,3,0,0.0,1,1.0,4,3,0.1439530943158497,0.19656712908535015,0.41666666666666663
16-20,23-03,8,1,0.125,50,0,0.0,1,1.0,0,0,,1,0,0.0,0,,0,1,,0.24993331555080478,
20-00,03-07,10,4,0.4,36,1,0.027777777777777776,5,0.8,2,0,0.0,2,0,0.0,0,,2,2,0.18804278543356223,0.16025692630083724,0.75
