partition,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wilson
development,156,82,0.5256410256410257,49,33,0,0.5975609756097561,0.001951219512195186,1.4848484848485037,4,0.489362574712238
external,103,64,0.6213592233009708,36,28,0,0.5625,0.0012500000000000616,1.2857142857143014,3,0.44085991778287875
reference_validation,81,47,0.5802469135802469,24,23,0,0.5106382978723404,0.0002127659574468633,1.0434782608695767,6,0.37242217589372884
august,2,2,1.0,0,2,0,0.0,-0.009999999999999952,0.0,2,0.0
