partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,F05,target_fraction,target_px,filled,fill_ts,cancel_reason,rebreak_confirmed,rebreak_complete_ts,target_reached,target_ts,high_failure,high_failure_ts,unresolved,minutes_reclaim_to_fill,minutes_fill_to_rebreak,minutes_fill_to_target
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,46848.4355,0.05,46783.0645,True,2022-01-03 03:55:00+00:00,,True,2022-01-03 04:00:00+00:00,True,2022-01-03 04:05:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,46848.4355,0.075,46766.72175,True,2022-01-03 03:55:00+00:00,,True,2022-01-03 04:00:00+00:00,True,2022-01-03 04:05:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,46848.4355,0.1,46750.379,True,2022-01-03 03:55:00+00:00,,True,2022-01-03 04:00:00+00:00,True,2022-01-03 04:05:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,46848.4355,0.15,46717.6935,True,2022-01-03 03:55:00+00:00,,True,2022-01-03 04:00:00+00:00,False,,False,,True,0.0,5.0,
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,42366.9385,0.05,42324.6215,True,2022-01-17 16:25:00+00:00,,True,2022-01-17 16:30:00+00:00,True,2022-01-17 16:35:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,42366.9385,0.075,42314.04225,True,2022-01-17 16:25:00+00:00,,True,2022-01-17 16:30:00+00:00,True,2022-01-17 16:35:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,42366.9385,0.1,42303.462999999996,True,2022-01-17 16:25:00+00:00,,True,2022-01-17 16:30:00+00:00,True,2022-01-17 16:35:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,42366.9385,0.15,42282.3045,True,2022-01-17 16:25:00+00:00,,True,2022-01-17 16:30:00+00:00,True,2022-01-17 16:35:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,41412.4205,0.05,41346.3595,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,True,2022-01-18 15:00:00+00:00,False,,False,0.0,15.0,20.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,41412.4205,0.075,41329.84425,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,True,2022-01-18 15:00:00+00:00,False,,False,0.0,15.0,20.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,41412.4205,0.1,41313.329,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,True,2022-01-18 15:00:00+00:00,False,,False,0.0,15.0,20.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,41412.4205,0.15,41280.2985,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,False,,False,,True,0.0,15.0,
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,37867.0,0.05,37743.0,True,2022-01-21 20:20:00+00:00,,True,2022-01-21 20:30:00+00:00,True,2022-01-21 20:35:00+00:00,False,,False,0.0,10.0,15.0
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,37867.0,0.075,37712.0,True,2022-01-21 20:20:00+00:00,,True,2022-01-21 20:30:00+00:00,True,2022-01-21 21:35:00+00:00,False,,False,0.0,10.0,75.0
