partition,winner_n,pre_d_p50,pre_d_p75,pre_d_p90,pre_d_p95,pre_d_max,cons_d_p50,cons_d_p75,cons_d_p90,cons_d_p95,cons_d_max,nextbar_d_p50,nextbar_d_p90
external,41,0.11369075011505114,0.18449477351916377,0.2984304932735389,0.37581049116460025,0.6657740542062794,0.11369075011505114,0.18449477351916377,0.2984304932735389,0.37581049116460025,0.6657740542062794,0.10580639518704771,0.30016548035885365
development,53,0.15296827021496373,0.28814221126181194,0.5053291662890951,0.5743063010327495,0.813597430406856,0.15296827021496373,0.28814221126181194,0.5053291662890951,0.5743063010327495,1.7016191396810028,0.1680553282042927,0.5545860547032454
reference_validation,27,0.26704564594913216,0.3957563098832431,0.6690828536395287,0.7361112055742395,0.7665134240529584,0.2725275472724845,0.3957563098832431,0.6690828536395287,0.7361112055742395,0.7665134240529584,0.31206813239913267,0.7241530982812294
august,3,0.18856317093311314,0.21175146498462594,0.2256644414155336,0.23030210022583616,0.23493975903613873,0.18856317093311314,0.21175146498462594,0.2256644414155336,0.23030210022583616,0.23493975903613873,0.109289843104872,0.2098097758498854
