rule,trades,consensus_wr,consensus_mean,consensus_pf,supportive_horizons,supportive_anchors,evaluable_anchors,years_wr55,min_year_mean,pooled_gate,horizon_gate,era_gate,anchor_gate,candidate_gate,y2022_wr,y2022_mean,y2022_pf,y2022_supportive,y2023_wr,y2023_mean,y2023_pf,y2023_supportive,y2024_wr,y2024_mean,y2024_pf,y2024_supportive
rv_ratio_60_240__HIGH,1464,0.5491803278688525,0.0004070319217887,1.1562914701637537,1,3,4,1,0.0001261582033312,False,False,False,True,False,0.5388127853881278,0.0001261582033312,1.038231628277635,False,0.5119521912350598,0.0003406275071796,1.1677540343124848,False,0.5935114503816794,0.0007054244882357,1.274202180621156,True
range_location_240m__LOW,1365,0.567032967032967,0.0006405291114143,1.2393302829609036,3,4,4,2,4.933455065253915e-05,True,True,False,True,False,0.5219399538106235,4.933455065253915e-05,1.0134298708982383,False,0.562363238512035,0.0006442801807271,1.3084562720614696,True,0.6126315789473684,0.0011758407032752,1.504068087116039,True
ema20_reclaim__TRUE,312,0.5512820512820513,0.0004341897299664,1.1784989284909408,2,2,4,2,2.473998812209748e-05,False,True,False,False,False,0.5545454545454546,0.0009221864862107,1.3075467684969235,True,0.5607476635514018,2.473998812209748e-05,1.0107485933656095,False,0.5368421052631579,0.0003303105635502,1.1716553015154283,True
drive_240m__LOW,1391,0.5708123652048885,0.0007877355513832,1.2837672629413426,3,4,4,2,-5.7269477488751165e-05,True,True,False,True,False,0.501187648456057,-5.7269477488751165e-05,0.9840168194901748,False,0.6167023554603854,0.0013166868457334,1.6306474555890234,True,0.5864811133200796,0.0010038923360623,1.366469873991403,True
range_ratio_60_240__HIGH,1431,0.5310971348707197,9.90251045185048e-05,1.0361842053646215,0,2,4,1,-8.025580394516094e-05,False,False,False,False,False,0.5359628770301624,-8.025580394516094e-05,0.9773186545738728,False,0.5067961165048543,0.0003245674545117,1.1529006041055403,False,0.5525773195876289,1.885141647996137e-05,1.0070441474005645,False
ema20_ema50_spread__LOW,1374,0.5727802037845706,0.0007037938068265,1.2554115753010144,3,4,4,2,-8.630933529017953e-05,True,True,False,True,False,0.5180722891566265,-8.630933529017953e-05,0.9765132542438556,False,0.6197802197802198,0.0011342569945361,1.5860337224960774,True,0.5753968253968254,0.0009657621670856,1.352609459099951,True
lower_wick_pressure_15m__LOW,1388,0.5295389048991355,0.0002684135219714,1.1135654488602849,2,2,4,1,-0.0001233776928086,False,True,False,False,False,0.52,0.0005092824326693,1.1729092851710483,True,0.5156576200417536,-0.0001233776928086,0.9403524193367272,False,0.5516528925619835,0.0004446505154281,1.2073344569140885,True
drive_15m__HIGH,1448,0.5227900552486188,3.05663299895003e-05,1.0113308789831268,0,1,4,0,-0.0002020613885221,False,False,False,False,False,0.4928909952606635,-0.0002020613885221,0.9399809802241686,False,0.5229885057471264,6.542526858539088e-05,1.0303716313580715,False,0.5476190476190477,0.000189241987261,1.0700814221401656,True
swing_slope_30_30__MID,1409,0.5188076650106459,-9.533507933434024e-05,0.9562030887667043,0,1,4,0,-0.0002351494218789,False,False,False,False,False,0.4989106753812636,-0.0002351494218789,0.9136655925491752,False,0.5236139630390144,-6.061566854261544e-05,0.965492518129659,False,0.5334773218142549,6.752242852260256e-06,1.0032517963454648,False
ema20_ema50_spread__MID,1410,0.5184397163120568,2.4655931542741782e-05,1.01148781520515,0,2,4,1,-0.0002632587580726,False,False,False,False,False,0.5062761506276151,-0.0002632587580726,0.9043836441491524,False,0.4773218142548596,3.3715197945086325e-05,1.0179638263990454,False,0.5714285714285714,0.0003091522669198,1.1723651600806797,True
drive_15m__MID,1408,0.5269886363636364,0.0001353976175017,1.063059414913098,0,2,4,1,-0.0002765363508761,False,False,False,False,False,0.4859611231101511,-0.0002765363508761,0.9040314946498226,False,0.5366379310344828,0.0001327858565258,1.0817551040120523,True,0.5571725571725572,0.0005344356309149,1.27481542520646,True
