tf,partition,transition,date_utc,previous_session_high,previous_session_low,midpoint,active_session_start,active_session_end,status,side,signal_level,signal_k,signal_bar_start,signal_ts,setup_status,filled,entry_ts,entry_px,stop_px,target_px,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes
5m,external,ASIA_TO_LONDON,2020-01-01,7239.74,7170.15,7204.945,2020-01-01 08:00:00+00:00,2020-01-01 13:30:00+00:00,SIGNAL,SHORT,LOW,3.0,2020-01-01 08:15:00+00:00,2020-01-01 08:20:00+00:00,SIGNAL,True,2020-01-01 09:00:00+00:00,7204.945,7239.74,7170.15,2020-01-01 13:30:00+00:00,7216.99,TIME_EXIT_SESSION_END,-0.00167176848678241,-1.235884243391205,270.0
5m,external,LONDON_TO_NEWYORK,2020-01-01,7234.57,7174.0,7204.285,2020-01-01 13:30:00+00:00,2020-01-01 20:00:00+00:00,SIGNAL,LONG,HIGH,0.0,2020-01-01 13:30:00+00:00,2020-01-01 13:35:00+00:00,SIGNAL,True,2020-01-01 14:05:00+00:00,7204.285,7174.0,7234.57,2020-01-01 15:35:00+00:00,7234.57,TP_RANGE_EDGE,0.004203748185975353,1.7018740929876768,90.0
5m,external,ASIA_TO_LONDON,2020-01-02,7209.59,7101.0,7155.295,2020-01-02 08:00:00+00:00,2020-01-02 13:30:00+00:00,SIGNAL,SHORT,LOW,0.0,2020-01-02 08:00:00+00:00,2020-01-02 08:05:00+00:00,SIGNAL,True,2020-01-02 09:55:00+00:00,7155.295,7209.59,7101.0,2020-01-02 13:30:00+00:00,7143.15,TIME_EXIT_SESSION_END,0.0016973444141716865,0.4486722070858432,215.0
5m,external,LONDON_TO_NEWYORK,2020-01-02,7175.0,7106.75,7140.875,2020-01-02 13:30:00+00:00,2020-01-02 20:00:00+00:00,SIGNAL,SHORT,LOW,0.0,2020-01-02 13:30:00+00:00,2020-01-02 13:35:00+00:00,SIGNAL,True,2020-01-02 14:40:00+00:00,7140.875,7175.0,7106.75,2020-01-02 16:45:00+00:00,7106.75,TP_RANGE_EDGE,0.004778826124249513,1.9894130621247568,125.0
5m,external,ASIA_TO_LONDON,2020-01-03,7300.0,6863.44,7081.719999999999,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,,LONG,HIGH,,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,SIGNAL,False,,,6863.44,7300.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-01-03,7368.33,7198.0,7283.165,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,SIGNAL,LONG,HIGH,4.0,2020-01-03 13:50:00+00:00,2020-01-03 13:55:00+00:00,SIGNAL,True,2020-01-03 14:00:00+00:00,7283.165,7198.0,7368.33,2020-01-03 16:10:00+00:00,7368.33,TP_RANGE_EDGE,0.011693405270922774,5.446702635461387,130.0
5m,external,ASIA_TO_LONDON,2020-01-06,7580.08,7345.0,7462.54,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,,LONG,HIGH,,2020-01-06 10:50:00+00:00,2020-01-06 10:55:00+00:00,SIGNAL,False,,,7345.0,7580.08,,,NO_FILL_MIDPOINT,,,
5m,external,LONDON_TO_NEWYORK,2020-01-06,7576.0,7505.35,7540.675,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,SIGNAL,LONG,HIGH,1.0,2020-01-06 13:35:00+00:00,2020-01-06 13:40:00+00:00,SIGNAL,True,2020-01-06 13:50:00+00:00,7540.675,7505.35,7576.0,2020-01-06 13:55:00+00:00,7505.35,SL_RANGE_EDGE,-0.004684593885825872,-2.742296942912936,5.0
5m,external,ASIA_TO_LONDON,2020-01-07,8014.91,7757.0,7885.955,2020-01-07 08:00:00+00:00,2020-01-07 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,LONDON_TO_NEWYORK,2020-01-07,7969.0,7810.0,7889.5,2020-01-07 13:30:00+00:00,2020-01-07 20:00:00+00:00,,SHORT,LOW,,2020-01-07 13:30:00+00:00,2020-01-07 13:35:00+00:00,SIGNAL,False,,,7969.0,7810.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-08,8468.42,8144.02,8306.220000000001,2020-01-08 08:00:00+00:00,2020-01-08 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,LONDON_TO_NEWYORK,2020-01-08,8379.51,8222.0,8300.755000000001,2020-01-08 13:30:00+00:00,2020-01-08 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-01-09,8060.0,7898.0,7979.0,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,,SHORT,LOW,,2020-01-09 09:00:00+00:00,2020-01-09 09:05:00+00:00,SIGNAL,False,,,8060.0,7898.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-01-09,7960.0,7851.91,7905.955,2020-01-09 13:30:00+00:00,2020-01-09 20:00:00+00:00,,SHORT,LOW,,2020-01-09 16:05:00+00:00,2020-01-09 16:10:00+00:00,SIGNAL,False,,,7960.0,7851.91,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-10,7855.0,7718.05,7786.525,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,,SHORT,LOW,,2020-01-10 08:00:00+00:00,2020-01-10 08:05:00+00:00,SIGNAL,False,,,7855.0,7718.05,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-01-10,7929.0,7670.0,7799.5,2020-01-10 13:30:00+00:00,2020-01-10 20:00:00+00:00,,LONG,HIGH,,2020-01-10 13:30:00+00:00,2020-01-10 13:35:00+00:00,SIGNAL,False,,,7670.0,7929.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-13,8200.0,8053.78,8126.889999999999,2020-01-13 08:00:00+00:00,2020-01-13 13:30:00+00:00,SIGNAL,SHORT,LOW,0.0,2020-01-13 08:00:00+00:00,2020-01-13 08:05:00+00:00,SIGNAL,True,2020-01-13 08:55:00+00:00,8126.889999999999,8200.0,8053.78,2020-01-13 13:30:00+00:00,8103.0,TIME_EXIT_SESSION_END,0.002939623890565679,1.0698119452828396,275.0
5m,external,LONDON_TO_NEWYORK,2020-01-13,8135.93,8055.0,8095.465,2020-01-13 13:30:00+00:00,2020-01-13 20:00:00+00:00,SIGNAL,SHORT,LOW,21.0,2020-01-13 15:15:00+00:00,2020-01-13 15:20:00+00:00,SIGNAL,True,2020-01-13 16:10:00+00:00,8095.465,8135.93,8055.0,2020-01-13 20:00:00+00:00,8111.82,TIME_EXIT_SESSION_END,-0.0020202669025188857,-1.4101334512594428,230.0
5m,external,ASIA_TO_LONDON,2020-01-14,8598.27,8109.02,8353.645,2020-01-14 08:00:00+00:00,2020-01-14 13:30:00+00:00,,LONG,HIGH,,2020-01-14 12:30:00+00:00,2020-01-14 12:35:00+00:00,SIGNAL,False,,,8109.02,8598.27,,,NO_FILL_MIDPOINT,,,
5m,external,LONDON_TO_NEWYORK,2020-01-14,8629.9,8476.0,8552.95,2020-01-14 13:30:00+00:00,2020-01-14 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-01-15,8918.5,8570.52,8744.51,2020-01-15 08:00:00+00:00,2020-01-15 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,LONDON_TO_NEWYORK,2020-01-15,8837.0,8610.68,8723.84,2020-01-15 13:30:00+00:00,2020-01-15 20:00:00+00:00,,LONG,HIGH,,2020-01-15 13:40:00+00:00,2020-01-15 13:45:00+00:00,SIGNAL,False,,,8610.68,8837.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-16,8868.21,8596.25,8732.23,2020-01-16 08:00:00+00:00,2020-01-16 13:30:00+00:00,SIGNAL,SHORT,LOW,17.0,2020-01-16 09:25:00+00:00,2020-01-16 09:30:00+00:00,SIGNAL,True,2020-01-16 12:00:00+00:00,8732.23,8868.21,8596.25,2020-01-16 13:30:00+00:00,8701.34,TIME_EXIT_SESSION_END,0.0035374698101171553,1.3687349050585778,90.0
5m,external,LONDON_TO_NEWYORK,2020-01-16,8793.77,8607.05,8700.41,2020-01-16 13:30:00+00:00,2020-01-16 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-01-17,9020.0,8680.0,8850.0,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,SIGNAL,LONG,HIGH,3.0,2020-01-17 08:15:00+00:00,2020-01-17 08:20:00+00:00,SIGNAL,True,2020-01-17 12:10:00+00:00,8850.0,8680.0,9020.0,2020-01-17 13:30:00+00:00,8858.62,TIME_EXIT_SESSION_END,0.0009740112994351957,0.08700564971759783,80.0
5m,external,LONDON_TO_NEWYORK,2020-01-17,9039.0,8800.0,8919.5,2020-01-17 13:30:00+00:00,2020-01-17 20:00:00+00:00,,SHORT,LOW,,2020-01-17 14:15:00+00:00,2020-01-17 14:20:00+00:00,SIGNAL,False,,,9039.0,8800.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-20,8740.0,8628.06,8684.029999999999,2020-01-20 08:00:00+00:00,2020-01-20 13:30:00+00:00,,SHORT,LOW,,2020-01-20 08:40:00+00:00,2020-01-20 08:45:00+00:00,SIGNAL,False,,,8740.0,8628.06,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-01-20,8686.0,8526.06,8606.029999999999,2020-01-20 13:30:00+00:00,2020-01-20 20:00:00+00:00,,LONG,HIGH,,2020-01-20 14:45:00+00:00,2020-01-20 14:50:00+00:00,SIGNAL,False,,,8526.06,8686.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-21,8700.0,8621.27,8660.635,2020-01-21 08:00:00+00:00,2020-01-21 13:30:00+00:00,SIGNAL,SHORT,LOW,1.0,2020-01-21 08:05:00+00:00,2020-01-21 08:10:00+00:00,SIGNAL,True,2020-01-21 08:45:00+00:00,8660.635,8700.0,8621.27,2020-01-21 10:25:00+00:00,8621.27,TP_RANGE_EDGE,0.004545278723788737,1.8726393618943686,100.0
5m,external,LONDON_TO_NEWYORK,2020-01-21,8684.0,8608.71,8646.355,2020-01-21 13:30:00+00:00,2020-01-21 20:00:00+00:00,SIGNAL,LONG,HIGH,0.0,2020-01-21 13:30:00+00:00,2020-01-21 13:35:00+00:00,SIGNAL,True,2020-01-21 15:55:00+00:00,8646.355,8608.71,8684.0,2020-01-21 19:40:00+00:00,8608.71,SL_RANGE_EDGE,-0.004353857781689507,-2.5769288908447536,225.0
5m,external,ASIA_TO_LONDON,2020-01-22,8820.0,8709.0,8764.5,2020-01-22 08:00:00+00:00,2020-01-22 13:30:00+00:00,,SHORT,LOW,,2020-01-22 08:05:00+00:00,2020-01-22 08:10:00+00:00,SIGNAL,False,,,8820.0,8709.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-01-22,8749.0,8616.09,8682.545,2020-01-22 13:30:00+00:00,2020-01-22 20:00:00+00:00,SIGNAL,SHORT,LOW,37.0,2020-01-22 16:35:00+00:00,2020-01-22 16:40:00+00:00,SIGNAL,True,2020-01-22 16:40:00+00:00,8682.545,8749.0,8616.09,2020-01-22 20:00:00+00:00,8671.66,TIME_EXIT_SESSION_END,0.0012536646801140083,0.22683234005700414,200.0
5m,external,ASIA_TO_LONDON,2020-01-23,8694.0,8504.0,8599.0,2020-01-23 08:00:00+00:00,2020-01-23 13:30:00+00:00,,SHORT,LOW,,2020-01-23 08:45:00+00:00,2020-01-23 08:50:00+00:00,SIGNAL,False,,,8694.0,8504.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-01-23,8625.0,8374.0,8499.5,2020-01-23 13:30:00+00:00,2020-01-23 20:00:00+00:00,,SHORT,LOW,,2020-01-23 13:30:00+00:00,2020-01-23 13:35:00+00:00,SIGNAL,False,,,8625.0,8374.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-24,8424.97,8283.4,8354.185,2020-01-24 08:00:00+00:00,2020-01-24 13:30:00+00:00,,SHORT,LOW,,2020-01-24 09:35:00+00:00,2020-01-24 09:40:00+00:00,SIGNAL,False,,,8424.97,8283.4,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-01-24,8464.08,8247.0,8355.54,2020-01-24 13:30:00+00:00,2020-01-24 20:00:00+00:00,,LONG,HIGH,,2020-01-24 13:50:00+00:00,2020-01-24 13:55:00+00:00,SIGNAL,False,,,8247.0,8464.08,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-27,8700.0,8611.0,8655.5,2020-01-27 08:00:00+00:00,2020-01-27 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
5m,external,LONDON_TO_NEWYORK,2020-01-27,8764.0,8565.0,8664.5,2020-01-27 13:30:00+00:00,2020-01-27 20:00:00+00:00,,LONG,HIGH,,2020-01-27 13:30:00+00:00,2020-01-27 13:35:00+00:00,SIGNAL,False,,,8565.0,8764.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-28,9176.68,8913.61,9045.145,2020-01-28 08:00:00+00:00,2020-01-28 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,LONDON_TO_NEWYORK,2020-01-28,9125.42,8952.41,9038.915,2020-01-28 13:30:00+00:00,2020-01-28 20:00:00+00:00,,LONG,HIGH,,2020-01-28 13:50:00+00:00,2020-01-28 13:55:00+00:00,SIGNAL,False,,,8952.41,9125.42,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-01-29,9450.0,9291.5,9370.75,2020-01-29 08:00:00+00:00,2020-01-29 13:30:00+00:00,SIGNAL,SHORT,LOW,24.0,2020-01-29 10:00:00+00:00,2020-01-29 10:05:00+00:00,SIGNAL,True,2020-01-29 10:15:00+00:00,9370.75,9450.0,9291.5,2020-01-29 11:05:00+00:00,9291.5,TP_RANGE_EDGE,0.008457167249152908,3.828583624576454,50.0
5m,external,LONDON_TO_NEWYORK,2020-01-29,9449.0,9242.0,9345.5,2020-01-29 13:30:00+00:00,2020-01-29 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-01-30,9406.0,9210.42,9308.21,2020-01-30 08:00:00+00:00,2020-01-30 13:30:00+00:00,,LONG,HIGH,,2020-01-30 08:00:00+00:00,2020-01-30 08:05:00+00:00,SIGNAL,False,,,9210.42,9406.0,,,NO_FILL_MIDPOINT,,,
5m,external,LONDON_TO_NEWYORK,2020-01-30,9415.2,9322.12,9368.66,2020-01-30 13:30:00+00:00,2020-01-30 20:00:00+00:00,SIGNAL,LONG,HIGH,0.0,2020-01-30 13:30:00+00:00,2020-01-30 13:35:00+00:00,SIGNAL,True,2020-01-30 14:00:00+00:00,9368.66,9322.12,9415.2,2020-01-30 14:05:00+00:00,9322.12,SL_RANGE_EDGE,-0.004967626106614942,-2.883813053307471,5.0
5m,external,ASIA_TO_LONDON,2020-01-31,9550.72,9328.22,9439.47,2020-01-31 08:00:00+00:00,2020-01-31 13:30:00+00:00,,SHORT,LOW,,2020-01-31 10:45:00+00:00,2020-01-31 10:50:00+00:00,SIGNAL,False,,,9550.72,9328.22,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-01-31,9422.04,9220.0,9321.02,2020-01-31 13:30:00+00:00,2020-01-31 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-02-03,9647.61,9290.0,9468.805,2020-02-03 08:00:00+00:00,2020-02-03 13:30:00+00:00,,SHORT,LOW,,2020-02-03 11:00:00+00:00,2020-02-03 11:05:00+00:00,SIGNAL,False,,,9647.61,9290.0,,,NO_FILL_MIDPOINT,,,
5m,external,LONDON_TO_NEWYORK,2020-02-03,9407.0,9304.0,9355.5,2020-02-03 13:30:00+00:00,2020-02-03 20:00:00+00:00,SIGNAL,SHORT,LOW,1.0,2020-02-03 13:35:00+00:00,2020-02-03 13:40:00+00:00,SIGNAL,True,2020-02-03 14:30:00+00:00,9355.5,9407.0,9304.0,2020-02-03 15:25:00+00:00,9304.0,TP_RANGE_EDGE,0.005504783282561099,2.3523916412805495,55.0
5m,external,ASIA_TO_LONDON,2020-02-04,9368.0,9226.4,9297.2,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,,SHORT,LOW,,2020-02-04 08:55:00+00:00,2020-02-04 09:00:00+00:00,SIGNAL,False,,,9368.0,9226.4,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-02-04,9305.0,9105.0,9205.0,2020-02-04 13:30:00+00:00,2020-02-04 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-02-05,9307.78,9179.88,9243.83,2020-02-05 08:00:00+00:00,2020-02-05 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
5m,external,LONDON_TO_NEWYORK,2020-02-05,9505.0,9237.4,9371.2,2020-02-05 13:30:00+00:00,2020-02-05 20:00:00+00:00,,LONG,HIGH,,2020-02-05 14:10:00+00:00,2020-02-05 14:15:00+00:00,SIGNAL,False,,,9237.4,9505.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-02-06,9705.0,9550.0,9627.5,2020-02-06 08:00:00+00:00,2020-02-06 13:30:00+00:00,,LONG,HIGH,,2020-02-06 10:35:00+00:00,2020-02-06 10:40:00+00:00,SIGNAL,False,,,9550.0,9705.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-02-06,9884.0,9612.3,9748.15,2020-02-06 13:30:00+00:00,2020-02-06 20:00:00+00:00,SIGNAL,LONG,HIGH,13.0,2020-02-06 14:35:00+00:00,2020-02-06 14:40:00+00:00,SIGNAL,True,2020-02-06 17:45:00+00:00,9748.15,9612.3,9884.0,2020-02-06 20:00:00+00:00,9754.11,TIME_EXIT_SESSION_END,0.0006113980601447633,-0.09430096992761838,135.0
5m,external,ASIA_TO_LONDON,2020-02-07,9867.3,9743.21,9805.255,2020-02-07 08:00:00+00:00,2020-02-07 13:30:00+00:00,SIGNAL,LONG,HIGH,27.0,2020-02-07 10:15:00+00:00,2020-02-07 10:20:00+00:00,SIGNAL,True,2020-02-07 10:45:00+00:00,9805.255,9743.21,9867.3,2020-02-07 11:40:00+00:00,9867.3,TP_RANGE_EDGE,0.006327729365529056,2.763864682764528,55.0
5m,external,LONDON_TO_NEWYORK,2020-02-07,9900.0,9743.34,9821.67,2020-02-07 13:30:00+00:00,2020-02-07 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-02-10,10213.56,9750.0,9981.779999999999,2020-02-10 08:00:00+00:00,2020-02-10 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,LONDON_TO_NEWYORK,2020-02-10,9997.0,9771.31,9884.154999999999,2020-02-10 13:30:00+00:00,2020-02-10 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-02-11,9874.77,9729.36,9802.065,2020-02-11 08:00:00+00:00,2020-02-11 13:30:00+00:00,SIGNAL,SHORT,LOW,0.0,2020-02-11 08:00:00+00:00,2020-02-11 08:05:00+00:00,SIGNAL,True,2020-02-11 08:55:00+00:00,9802.065,9874.77,9729.36,2020-02-11 12:20:00+00:00,9874.77,SL_RANGE_EDGE,-0.0074173146168690085,-4.108657308434505,205.0
5m,external,LONDON_TO_NEWYORK,2020-02-11,9887.89,9742.22,9815.055,2020-02-11 13:30:00+00:00,2020-02-11 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
5m,external,ASIA_TO_LONDON,2020-02-12,10479.98,10229.71,10354.845,2020-02-12 08:00:00+00:00,2020-02-12 13:30:00+00:00,SIGNAL,SHORT,LOW,8.0,2020-02-12 08:40:00+00:00,2020-02-12 08:45:00+00:00,SIGNAL,True,2020-02-12 11:15:00+00:00,10354.845,10479.98,10229.71,2020-02-12 13:30:00+00:00,10385.85,TIME_EXIT_SESSION_END,-0.0029942505175115652,-1.8971252587557825,135.0
5m,external,LONDON_TO_NEWYORK,2020-02-12,10395.0,10235.52,10315.26,2020-02-12 13:30:00+00:00,2020-02-12 20:00:00+00:00,,LONG,HIGH,,2020-02-12 13:30:00+00:00,2020-02-12 13:35:00+00:00,SIGNAL,False,,,10235.52,10395.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-02-13,10512.55,10327.18,10419.865,2020-02-13 08:00:00+00:00,2020-02-13 13:30:00+00:00,,SHORT,LOW,,2020-02-13 08:00:00+00:00,2020-02-13 08:05:00+00:00,SIGNAL,False,,,10512.55,10327.18,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-02-13,10380.0,10101.0,10240.5,2020-02-13 13:30:00+00:00,2020-02-13 20:00:00+00:00,,LONG,HIGH,,2020-02-13 13:30:00+00:00,2020-02-13 13:35:00+00:00,SIGNAL,False,,,10101.0,10380.0,,,RANGE_BROKE_BEFORE_FILL,,,
