zone,filter,partition,base_n,retention,n,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate
LONDON,BASE,external,27,1.0,27,20,0.7407407407407407,2.1760904251256123,1.34187409616372,36.230600596420445,0.6666666666666666,0.25925925925925924
LONDON,BASE,development,30,1.0,30,20,0.6666666666666666,1.169454844550486,0.305477199960904,9.16431599882712,0.6666666666666666,0.1
LONDON,BASE,reference_validation,11,1.0,11,10,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526,0.9090909090909091,0.0
LONDON,BASE,august,1,1.0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,1.0
LONDON,NO_BEAR,external,27,0.7777777777777778,21,17,0.8095238095238095,2.6215373499126335,1.5334045886339307,32.20149636131254,0.7142857142857143,0.19047619047619047
LONDON,NO_BEAR,development,30,0.6,18,11,0.6111111111111112,1.1665682155886365,0.3526913956610438,6.348445121898788,0.6111111111111112,0.1111111111111111
LONDON,NO_BEAR,reference_validation,11,0.9090909090909091,10,9,0.9,5.208181706194422,1.3206673199998913,13.206673199998912,0.9,0.0
LONDON,NO_BEAR,august,1,1.0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,1.0
LONDON,TOUCH_FIRST_HALF,external,27,0.9259259259259259,25,20,0.8,2.634069915920847,1.6634704282797674,41.586760706994184,0.72,0.2
LONDON,TOUCH_FIRST_HALF,development,30,0.8666666666666667,26,17,0.6538461538461539,1.1994871341338131,0.3559835920780092,9.25557339402824,0.6538461538461539,0.11538461538461539
LONDON,TOUCH_FIRST_HALF,reference_validation,11,1.0,11,10,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526,0.9090909090909091,0.0
LONDON,TOUCH_FIRST_HALF,august,1,1.0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,1.0
LONDON,RR_GE_050,external,27,0.8888888888888888,24,18,0.75,2.06893403321243,1.2375560200869697,29.701344482087272,0.6666666666666666,0.2916666666666667
LONDON,RR_GE_050,development,30,0.8666666666666667,26,17,0.6538461538461539,0.957465206254114,-0.08532117314533412,-2.218350501778687,0.6538461538461539,0.07692307692307693
LONDON,RR_GE_050,reference_validation,11,0.45454545454545453,5,5,1.0,inf,2.5363439997101223,12.681719998550612,1.0,0.0
LONDON,RR_GE_050,august,1,1.0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,1.0
LONDON,NO_BEAR__TOUCH_FIRST_HALF,external,27,0.7407407407407407,20,17,0.85,2.976788739986019,1.728571686386232,34.57143372772464,0.75,0.15
LONDON,NO_BEAR__TOUCH_FIRST_HALF,development,30,0.5666666666666667,17,11,0.6470588235294118,1.4611664710645689,0.8254570499997184,14.032769849995212,0.6470588235294118,0.11764705882352941
LONDON,NO_BEAR__TOUCH_FIRST_HALF,reference_validation,11,0.9090909090909091,10,9,0.9,5.208181706194422,1.3206673199998913,13.206673199998912,0.9,0.0
LONDON,NO_BEAR__TOUCH_FIRST_HALF,august,1,1.0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,1.0
LONDON,NO_BEAR__RR_GE_050,external,27,0.7037037037037037,19,16,0.8421052631578947,2.849726740153711,1.6393060518547116,31.14681498523952,0.7368421052631579,0.21052631578947367
LONDON,NO_BEAR__RR_GE_050,development,30,0.5333333333333333,16,9,0.5625,0.9207288027205416,-0.18882986014822045,-3.0212777623715272,0.5625,0.125
LONDON,NO_BEAR__RR_GE_050,reference_validation,11,0.36363636363636365,4,4,1.0,inf,2.3702071170224994,9.480828468089998,1.0,0.0
LONDON,NO_BEAR__RR_GE_050,august,1,1.0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,1.0
LONDON,TOUCH_FIRST_HALF__RR_GE_050,external,27,0.8148148148148148,22,18,0.8181818181818182,2.5629887450877797,1.5935229360300462,35.05750459266102,0.7272727272727273,0.22727272727272727
LONDON,TOUCH_FIRST_HALF__RR_GE_050,development,30,0.7333333333333333,22,14,0.6363636363636364,0.9521673283614331,-0.09668605029898071,-2.1270931065775756,0.6363636363636364,0.09090909090909091
LONDON,TOUCH_FIRST_HALF__RR_GE_050,reference_validation,11,0.45454545454545453,5,5,1.0,inf,2.5363439997101223,12.681719998550612,1.0,0.0
LONDON,TOUCH_FIRST_HALF__RR_GE_050,august,1,1.0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,1.0
LONDON,TRIPLE_NO_BEAR__TOUCH_FIRST_HALF__RR_GE_050,external,27,0.6666666666666666,18,16,0.8888888888888888,3.3165060456888362,1.8620417973139785,33.51675235165161,0.7777777777777778,0.16666666666666666
LONDON,TRIPLE_NO_BEAR__TOUCH_FIRST_HALF__RR_GE_050,development,30,0.5,15,9,0.6,1.1532442230991504,0.31086979771499323,4.663046965724899,0.6,0.13333333333333333
LONDON,TRIPLE_NO_BEAR__TOUCH_FIRST_HALF__RR_GE_050,reference_validation,11,0.36363636363636365,4,4,1.0,inf,2.3702071170224994,9.480828468089998,1.0,0.0
LONDON,TRIPLE_NO_BEAR__TOUCH_FIRST_HALF__RR_GE_050,august,1,1.0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,1.0
ALT_0330,BASE,external,27,1.0,27,19,0.7037037037037037,1.6306621639348278,1.1577982078074018,31.260551610799848,0.6296296296296297,0.14814814814814814
ALT_0330,BASE,development,37,1.0,37,25,0.6756756756756757,1.4886739997084404,0.5064932137200978,18.74024890764362,0.6756756756756757,0.13513513513513514
ALT_0330,BASE,reference_validation,15,1.0,15,12,0.8,2.0260986711696853,0.5639519810897242,8.459279716345863,0.7333333333333333,0.13333333333333333
ALT_0330,BASE,august,0,,0,0,,,,0.0,,
ALT_0330,NO_BEAR,external,27,0.7037037037037037,19,14,0.7368421052631579,2.4026150238308244,2.0422943749179385,38.803593123440834,0.631578947368421,0.15789473684210525
ALT_0330,NO_BEAR,development,37,0.5945945945945946,22,14,0.6363636363636364,1.4725003396698775,0.5466210601537567,12.025663323382647,0.6363636363636364,0.13636363636363635
ALT_0330,NO_BEAR,reference_validation,15,0.7333333333333333,11,9,0.8181818181818182,3.1976242085484308,0.7460849116083512,8.206934027691863,0.8181818181818182,0.09090909090909091
ALT_0330,NO_BEAR,august,0,,0,0,,,,0.0,,
ALT_0330,TOUCH_FIRST_HALF,external,27,0.7407407407407407,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667,0.8,0.0
ALT_0330,TOUCH_FIRST_HALF,development,37,0.8108108108108109,30,22,0.7333333333333333,1.8592230986656246,0.8038876892557872,24.116630677673616,0.7333333333333333,0.06666666666666667
ALT_0330,TOUCH_FIRST_HALF,reference_validation,15,0.8,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088,0.8333333333333334,0.0
ALT_0330,TOUCH_FIRST_HALF,august,0,,0,0,,,,0.0,,
ALT_0330,RR_GE_050,external,27,0.7407407407407407,20,16,0.8,2.5178081774306404,2.233945343673266,44.67890687346532,0.7,0.15
ALT_0330,RR_GE_050,development,37,0.8378378378378378,31,21,0.6774193548387096,1.673548708376729,0.6045690035867151,18.741639111188167,0.6774193548387096,0.16129032258064516
ALT_0330,RR_GE_050,reference_validation,15,0.8,12,10,0.8333333333333334,2.0866183058140964,0.686281542881822,8.235378514581864,0.75,0.08333333333333333
ALT_0330,RR_GE_050,august,0,,0,0,,,,0.0,,
ALT_0330,NO_BEAR__TOUCH_FIRST_HALF,external,27,0.5185185185185185,14,11,0.7857142857142857,3.725917301279853,3.265173595400718,45.71243033561005,0.7857142857142857,0.0
ALT_0330,NO_BEAR__TOUCH_FIRST_HALF,development,37,0.5135135135135135,19,14,0.7368421052631579,2.3594132508529095,1.1364653614428333,21.59284186741383,0.7368421052631579,0.05263157894736842
ALT_0330,NO_BEAR__TOUCH_FIRST_HALF,reference_validation,15,0.6,9,8,0.8888888888888888,3.1415800597570684,0.7303370352940761,6.573033317646685,0.8888888888888888,0.0
ALT_0330,NO_BEAR__TOUCH_FIRST_HALF,august,0,,0,0,,,,0.0,,
ALT_0330,NO_BEAR__RR_GE_050,external,27,0.5185185185185185,14,12,0.8571428571428571,4.8879370733734575,3.435791249236874,48.10107748931623,0.7142857142857143,0.14285714285714285
ALT_0330,NO_BEAR__RR_GE_050,development,37,0.5135135135135135,19,12,0.631578947368421,1.4173551805476137,0.4618262497359378,8.774698744982818,0.631578947368421,0.15789473684210525
ALT_0330,NO_BEAR__RR_GE_050,reference_validation,15,0.5333333333333333,8,7,0.875,3.6009763057939512,0.9978791032409828,7.983032825927863,0.875,0.0
ALT_0330,NO_BEAR__RR_GE_050,august,0,,0,0,,,,0.0,,
ALT_0330,TOUCH_FIRST_HALF__RR_GE_050,external,27,0.5555555555555556,15,13,0.8666666666666667,5.668387502988817,3.8504475903049324,57.75671385457399,0.8666666666666667,0.0
ALT_0330,TOUCH_FIRST_HALF__RR_GE_050,development,37,0.6756756756756757,25,18,0.72,1.8962642352702017,0.7876574085624414,19.691435214061034,0.72,0.08
ALT_0330,TOUCH_FIRST_HALF__RR_GE_050,reference_validation,15,0.6666666666666666,10,8,0.8,1.5212735462269602,0.3950683455126561,3.950683455126561,0.8,0.0
ALT_0330,TOUCH_FIRST_HALF__RR_GE_050,august,0,,0,0,,,,0.0,,
ALT_0330,TRIPLE_NO_BEAR__TOUCH_FIRST_HALF__RR_GE_050,external,27,0.4074074074074074,11,9,0.8181818181818182,4.565691601321189,4.010390571969755,44.11429629166731,0.8181818181818182,0.0
ALT_0330,TRIPLE_NO_BEAR__TOUCH_FIRST_HALF__RR_GE_050,development,37,0.4594594594594595,17,12,0.7058823529411765,1.876060313708968,0.8185465659915805,13.915291621856868,0.7058823529411765,0.058823529411764705
ALT_0330,TRIPLE_NO_BEAR__TOUCH_FIRST_HALF__RR_GE_050,reference_validation,15,0.4666666666666667,7,6,0.8571428571428571,2.8518951487138473,0.8119884900487369,5.683919430341158,0.8571428571428571,0.0
ALT_0330,TRIPLE_NO_BEAR__TOUCH_FIRST_HALF__RR_GE_050,august,0,,0,0,,,,0.0,,
