role,partition,ref_min,hour,dev_block,execution_start,entry_ts,exit_ts,H,L,R,pnl,pnl_5bps,loss_class,mfe_R,mae_R,hold_min,entry_to_break_min,break_to_fail_min,latent_class,latent_target_recovered,latent_recovery_min,latent_target_visit,latent_target_visit_entry_eligible,post_exit_reclaim,reclaim_min,target_after_reclaim,reclaim_to_target_min,visit_count,break_ts,failure_ts,failure_close_ts,prebreak_last_close_distance_H_R,prebreak_return15_R,prebreak_return30_R,prebreak_return60_R,prebreak_range30_R,prebreak_range60_R,prebreak_upper80_close_fraction60,prebreak_nearH10_high_fraction60,break_close_excess_R,break_high_excess_R,break_body_R,break_range_R,break_upper_wick_R,break_lower_wick_R,break_close_location,fail_close_R,fail_low_R,fail_depth_below_H_R,fail_body_R,fail_range_R,fail_upper_wick_R,fail_lower_wick_R,fail_close_location,breakclose_to_failclose_drop_R,breakhigh_to_faillow_excursion_R,max_excess_H_by_fail_R,max_depth_H_by_fail_R,entry_to_failure_close_min
CENTRAL,development,360,15,0.0,2022-01-02 15:00:00+00:00,2022-01-02 16:10:00+00:00,2022-01-02 16:20:00+00:00,176.75,174.66,2.0900000000000034,-0.622347949080615,-0.872347949080615,L2_BREAK_FAST_FAIL_5M,0.133971291866029,0.157894736842111,10.0,0.0,5.0,LATENT_RECOVERABLE,True,30.0,2.0,True,True,10.0,True,20.0,3,2022-01-02 16:10:00+00:00,2022-01-02 16:15:00+00:00,2022-01-02 16:20:00+00:00,0.07177033492823227,0.2583732057416226,0.47368421052630577,,0.5502392344497626,0.6555023923444987,0.08333333333333333,0.08333333333333333,0.09090909090908968,0.09569377990430063,0.16267942583732195,0.20095693779903676,0.0047846889952109515,0.03349282296650386,0.9761904761904971,-0.10047846889952518,-0.157894736842111,0.10047846889952518,-0.19138755980861485,0.29186602870814005,0.04306220095693936,0.057416267942585815,0.19672131147541289,0.19138755980861485,0.25358851674641164,0.13397129186602905,0.157894736842111,10.0
CENTRAL,development,360,15,0.0,2022-01-06 15:00:00+00:00,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,151.09,146.22,4.8700000000000045,-1.0920643325170731,-1.3420643325170731,L2_BREAK_FAST_FAIL_5M,0.094455852156059,0.1416837782340856,10.0,0.0,5.0,LATENT_RECOVERABLE,True,55.0,1.0,False,True,5.0,True,50.0,3,2022-01-06 17:05:00+00:00,2022-01-06 17:10:00+00:00,2022-01-06 17:15:00+00:00,0.08829568788501159,0.10061601642710649,0.29158110882956595,,0.30800821355236113,0.39425051334701966,0.4166666666666667,0.08333333333333333,0.08008213552361108,0.09445585215605905,0.1724845995893229,0.21560574948665512,0.014373716632447953,0.028747433264884235,0.9333333333333135,-0.06776180698152201,-0.07392197125256947,0.06776180698152201,-0.14989733059548613,0.1581108829568808,0.0020533880903472065,0.006160164271047455,0.03896103896103992,0.1478439425051331,0.1683778234086285,0.09445585215605905,0.12114989733059607,10.0
CENTRAL,development,360,15,0.0,2022-01-12 15:00:00+00:00,2022-01-12 15:15:00+00:00,2022-01-12 15:35:00+00:00,147.67,139.5,8.169999999999987,-1.4898083564705011,-1.7398083564705011,L2_BREAK_FAST_FAIL_5M,0.1260709914320688,0.1272949816401461,20.0,10.0,5.0,LATENT_RECOVERABLE,True,55.0,2.0,True,True,10.0,True,45.0,2,2022-01-12 15:25:00+00:00,2022-01-12 15:30:00+00:00,2022-01-12 15:35:00+00:00,0.030599755201958432,0.07588739290085399,0.11015911872704758,,0.3011015911872685,0.3892288861689086,0.8333333333333334,0.8333333333333334,0.04895960832313419,0.1138310893512862,0.07955936352509262,0.16768665850673276,0.06487148102815202,0.02325581395348813,0.6131386861313873,-0.05507955936352379,-0.11260709914320549,0.05507955936352379,-0.10526315789473867,0.18971848225214366,0.02692778457772328,0.05752753977968171,0.30322580645160996,0.10403916768665797,0.22643818849449168,0.12607099143206887,0.11260709914320549,20.0
CENTRAL,development,360,15,0.0,2022-01-21 15:00:00+00:00,2022-01-21 17:00:00+00:00,2022-01-21 17:15:00+00:00,125.69,115.5,10.189999999999998,-1.869679369878252,-2.119679369878252,L2_BREAK_FAST_FAIL_5M,0.1059862610402353,0.2522080471050043,15.0,5.0,5.0,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1,2022-01-21 17:05:00+00:00,2022-01-21 17:10:00+00:00,2022-01-21 17:15:00+00:00,0.021589793915603426,0.2669283611383709,0.21000981354268902,,0.3719332679097147,0.4504416094210014,0.3333333333333333,0.3333333333333333,0.08537782139352353,0.10598626104023538,0.11089303238469045,0.16192345436702568,0.020608439646711853,0.03042198233562339,0.8727272727272759,-0.04710500490677175,-0.0677134445534836,0.04710500490677175,-0.13248282630029526,0.17075564278704566,0.017664376840038534,0.020608439646711853,0.12068965517241055,0.13248282630029526,0.17369970559371897,0.10598626104023538,0.17173699705593723,15.0
CENTRAL,development,360,15,0.0,2022-01-26 15:00:00+00:00,2022-01-26 19:00:00+00:00,2022-01-26 19:15:00+00:00,101.97,95.16,6.810000000000002,-14.71020888496616,-14.96020888496616,L2_BREAK_FAST_FAIL_5M,0.3641703377386201,0.66079295154185,15.0,5.0,5.0,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1,2022-01-26 19:05:00+00:00,2022-01-26 19:10:00+00:00,2022-01-26 19:15:00+00:00,0.046989720998530556,0.7591776798825257,0.7606461086637305,,0.9456681350954472,0.9515418502202625,0.08333333333333333,0.08333333333333333,0.25256975036710694,0.3641703377386201,0.3010279001468424,0.49779735682819376,0.1116005873715132,0.08516886930983819,0.7758112094395265,-0.44493392070484583,-0.4552129221732736,0.44493392070484583,-0.6975036710719528,0.7268722466960333,0.019089574155652777,0.010279001468427777,0.014141414141412796,0.6975036710719528,0.8193832599118938,0.3641703377386201,0.6226138032305424,15.0
CENTRAL,development,360,15,0.0,2022-02-05 15:00:00+00:00,2022-02-05 15:30:00+00:00,2022-02-05 15:45:00+00:00,116.37,114.2,2.1700000000000017,-0.644496004124806,-0.894496004124806,L2_BREAK_FAST_FAIL_5M,0.391705069124421,0.368663594470051,15.0,5.0,5.0,TRUE_FAILURE_PROXY,False,,,False,False,,False,,1,2022-02-05 15:35:00+00:00,2022-02-05 15:40:00+00:00,2022-02-05 15:45:00+00:00,0.05990783410138689,0.09677419354838414,0.7004608294930852,,0.9308755760368703,1.055299539170509,0.16666666666666666,0.16666666666666666,0.10599078341013345,0.1520737327188931,0.1612903225806424,0.2304147465437786,0.046082949308759655,0.023041474654376552,0.799999999999983,-0.0691244239631362,-0.11981566820276723,0.0691244239631362,-0.17972350230414758,0.5115207373271883,0.28110599078340964,0.050691244239631034,0.09909909909909864,0.17511520737326966,0.27188940092166036,0.39170506912442105,0.262672811059911,15.0
CENTRAL,development,360,15,0.0,2022-02-07 15:00:00+00:00,2022-02-07 15:35:00+00:00,2022-02-07 15:45:00+00:00,121.09,115.37,5.719999999999999,-0.8258320257659713,-1.0758320257659713,L2_BREAK_FAST_FAIL_5M,0.111888111888112,0.2045454545454549,10.0,0.0,5.0,TRUE_FAILURE_PROXY,False,,,False,True,10.0,False,,4,2022-02-07 15:35:00+00:00,2022-02-07 15:40:00+00:00,2022-02-07 15:45:00+00:00,0.1730769230769247,0.15734265734265587,-0.03321678321678531,,0.4353146853146845,0.4562937062937063,0.5,0.4166666666666667,0.03146853146853018,0.11188811188811201,0.20629370629370505,0.3164335664335669,0.08041958041958183,0.029720279720280025,0.7458563535911561,-0.03846153846153827,-0.12412587412587554,0.03846153846153827,-0.0681818181818183,0.22552447552447666,0.0716783216783211,0.08566433566433727,0.3798449612403153,0.06993006993006845,0.23601398601398754,0.11188811188811201,0.2045454545454549,10.0
CENTRAL,development,360,15,0.0,2022-02-08 15:00:00+00:00,2022-02-09 00:45:00+00:00,2022-02-09 01:05:00+00:00,114.72,111.12,3.5999999999999943,-0.3486750348675183,-0.5986750348675183,L2_BREAK_FAST_FAIL_5M,0.0777777777777782,0.2361111111111099,20.0,10.0,5.0,TRUE_FAILURE_PROXY,False,,,False,True,690.0,False,,3,2022-02-09 00:55:00+00:00,2022-02-09 01:00:00+00:00,2022-02-09 01:05:00+00:00,0.027777777777776243,0.3083333333333337,0.2916666666666703,,0.7555555555555564,0.7555555555555564,0.25,0.25,0.027777777777776243,0.055555555555556434,0.05833333333333169,0.14444444444444357,0.02777777777778019,0.05833333333333169,0.8076923076922898,-0.025000000000000987,-0.04722222222222277,0.025000000000000987,-0.05000000000000197,0.11666666666666732,0.044444444444443565,0.022222222222221782,0.19047619047618564,0.05277777777777723,0.1027777777777792,0.07777777777777822,0.2361111111111099,20.0
CENTRAL,development,360,15,0.0,2022-02-22 15:00:00+00:00,2022-02-23 00:15:00+00:00,2022-02-23 00:25:00+00:00,87.6,83.05,4.549999999999997,-0.5136986301369495,-0.7636986301369495,L2_BREAK_FAST_FAIL_5M,0.1582417582417581,0.1736263736263719,10.0,0.0,5.0,LATENT_RECOVERABLE,True,330.0,5.0,True,True,95.0,True,235.0,5,2022-02-23 00:15:00+00:00,2022-02-23 00:20:00+00:00,2022-02-23 00:25:00+00:00,0.16923076923076846,0.10769230769230663,0.01098901098901037,,0.23956043956043735,0.38681318681318505,0.3333333333333333,0.0,0.010989010989013495,0.1582417582417581,0.18241758241758527,0.3318681318681301,0.1472527472527446,0.0021978021978002003,0.5562913907284824,-0.02197802197802074,-0.06813186813186554,0.02197802197802074,-0.03296703296703424,0.11208791208791016,0.032967032967031115,0.04615384615384481,0.41176470588234804,0.03296703296703424,0.22637362637362365,0.1582417582417581,0.17362637362637198,10.0
CENTRAL,development,360,15,0.0,2022-03-08 15:00:00+00:00,2022-03-08 18:05:00+00:00,2022-03-08 18:25:00+00:00,84.54,83.11,1.4300000000000068,-2.188313224509131,-2.4383132245091312,L2_BREAK_FAST_FAIL_5M,0.3636363636363591,0.5734265734265759,20.0,10.0,5.0,LATENT_RECOVERABLE,True,535.0,2.0,True,True,520.0,True,15.0,2,2022-03-08 18:15:00+00:00,2022-03-08 18:20:00+00:00,2022-03-08 18:25:00+00:00,0.05594405594406442,0.7692307692307616,0.8461538461538377,,1.1538461538461424,1.6573426573426526,0.16666666666666666,0.16666666666666666,0.11888111888110957,0.13286713286713064,0.16783216783216345,0.18181818181818452,0.013986013986021074,0.0,0.9230769230768853,-0.2587412587412607,-0.30069930069930406,0.2587412587412607,-0.3776223776223703,0.6643356643356632,0.24475524475524954,0.04195804195804335,0.06315789473684431,0.3776223776223703,0.4335664335664347,0.3636363636363591,0.44055944055944524,20.0
