hold_min,entry_ts,exit_ts,clock_min_utc,clock_utc,clock_wib,votes,active_lbs,entry_price,exit_price,gross_pnl,wib_day,year,implementation_cost_0bps,net_0bps,implementation_cost_2bps,net_2bps,implementation_cost_5bps,net_5bps,implementation_cost_10bps,net_10bps
360,2022-01-14 15:30:00+00:00,2022-01-14 21:30:00+00:00,930,15:30,22:30,2,180;360,479.33,489.39,10.493814282435903,2022-01-14,2022,0.75,9.743814282435903,0.95,9.543814282435903,1.25,9.243814282435903,1.75,8.743814282435903
360,2022-01-25 15:00:00+00:00,2022-01-25 21:00:00+00:00,900,15:00,22:00,3,180;240;360,367.94,380.76,17.421318693265196,2022-01-25,2022,0.75,16.671318693265196,0.95,16.471318693265196,1.25,16.171318693265196,1.75,15.671318693265196
360,2022-01-28 15:00:00+00:00,2022-01-28 21:00:00+00:00,900,15:00,22:00,3,180;240;360,379.95,389.75,12.896433741281761,2022-01-28,2022,0.75,12.146433741281761,0.95,11.946433741281762,1.25,11.646433741281761,1.75,11.146433741281761
360,2022-02-18 15:15:00+00:00,2022-02-18 21:15:00+00:00,915,15:15,22:15,2,180;240,401.58,397.88,-4.606803127645785,2022-02-18,2022,0.75,-5.356803127645785,0.95,-5.556803127645785,1.25,-5.856803127645785,1.75,-6.356803127645785
360,2022-02-25 15:45:00+00:00,2022-02-25 21:45:00+00:00,945,15:45,22:45,2,180;240,367.24,368.84,2.178411937697372,2022-02-25,2022,0.75,1.4284119376973718,0.95,1.228411937697372,1.25,0.9284119376973718,1.75,0.42841193769737185
360,2022-03-01 15:00:00+00:00,2022-03-01 21:00:00+00:00,900,15:00,22:00,2,180;240,404.13,407.77,4.503501348575936,2022-03-01,2022,0.75,3.753501348575936,0.95,3.553501348575936,1.25,3.253501348575936,1.75,2.753501348575936
360,2022-03-02 15:00:00+00:00,2022-03-02 21:00:00+00:00,900,15:00,22:00,2,180;240,412.9,407.41,-6.648098813271921,2022-03-02,2022,0.75,-7.398098813271921,0.95,-7.598098813271921,1.25,-7.898098813271921,1.75,-8.398098813271922
360,2022-03-04 15:00:00+00:00,2022-03-04 21:00:00+00:00,900,15:00,22:00,2,180;240,389.87,378.56,-14.504834944981663,2022-03-04,2022,0.75,-15.254834944981663,0.95,-15.454834944981663,1.25,-15.754834944981663,1.75,-16.254834944981663
360,2022-03-10 15:30:00+00:00,2022-03-10 21:30:00+00:00,930,15:30,22:30,2,240;360,366.49,370.11,4.938743212638823,2022-03-10,2022,0.75,4.188743212638823,0.95,3.9887432126388225,1.25,3.6887432126388227,1.75,3.1887432126388227
360,2022-04-13 15:00:00+00:00,2022-04-13 21:00:00+00:00,900,15:00,22:00,2,180;240,413.79,420.81,8.482563619227122,2022-04-13,2022,0.75,7.732563619227122,0.95,7.532563619227122,1.25,7.232563619227122,1.75,6.732563619227122
360,2022-04-27 15:00:00+00:00,2022-04-27 21:00:00+00:00,900,15:00,22:00,3,180;240;360,386.63,389.21,3.336523291001712,2022-04-27,2022,0.75,2.586523291001712,0.95,2.386523291001712,1.25,2.086523291001712,1.75,1.5865232910017122
360,2022-04-28 15:15:00+00:00,2022-04-28 21:15:00+00:00,915,15:15,22:15,2,180;240,405.11,406.35,1.5304485201550309,2022-04-28,2022,0.75,0.7804485201550309,0.95,0.5804485201550309,1.25,0.28044852015503086,1.75,-0.21955147984496914
360,2022-05-19 15:15:00+00:00,2022-05-19 21:15:00+00:00,915,15:15,22:15,2,180;240,304.09,306.18,3.4364826202769443,2022-05-19,2022,0.75,2.6864826202769443,0.95,2.486482620276944,1.25,2.1864826202769443,1.75,1.6864826202769443
360,2022-05-25 15:00:00+00:00,2022-05-25 21:00:00+00:00,900,15:00,22:00,2,180;240,328.35,327.63,-1.0963910461398312,2022-05-25,2022,0.75,-1.8463910461398312,0.95,-2.0463910461398314,1.25,-2.346391046139831,1.75,-2.846391046139831
360,2022-05-30 15:00:00+00:00,2022-05-30 21:00:00+00:00,900,15:00,22:00,3,180;240;360,312.84,318.75,9.44572305331803,2022-05-30,2022,0.75,8.69572305331803,0.95,8.49572305331803,1.25,8.19572305331803,1.75,7.69572305331803
360,2022-05-31 15:00:00+00:00,2022-05-31 21:00:00+00:00,900,15:00,22:00,3,180;240;360,318.6,320.08,2.322661644695482,2022-05-31,2022,0.75,1.572661644695482,0.95,1.372661644695482,1.25,1.072661644695482,1.75,0.572661644695482
360,2022-06-17 15:30:00+00:00,2022-06-17 21:30:00+00:00,930,15:30,22:30,3,180;240;360,215.76,215.74,-0.04634779384497083,2022-06-17,2022,0.75,-0.7963477938449708,0.95,-0.9963477938449707,1.25,-1.2963477938449708,1.75,-1.7963477938449708
360,2022-06-20 15:00:00+00:00,2022-06-20 21:00:00+00:00,900,15:00,22:00,2,240;360,217.43,216.03,-3.219426942004336,2022-06-20,2022,0.75,-3.969426942004336,0.95,-4.169426942004336,1.25,-4.469426942004336,1.75,-4.969426942004336
360,2022-06-23 15:00:00+00:00,2022-06-23 21:00:00+00:00,900,15:00,22:00,3,180;240;360,227.69,228.25,1.2297421933330455,2022-06-23,2022,0.75,0.47974219333304546,0.95,0.2797421933330455,1.25,-0.020257806666954536,1.75,-0.5202578066669545
360,2022-06-24 15:00:00+00:00,2022-06-24 21:00:00+00:00,900,15:00,22:00,2,180;240,236.6,238.04,3.043110735418423,2022-06-24,2022,0.75,2.293110735418423,0.95,2.0931107354184233,1.25,1.793110735418423,1.75,1.293110735418423
360,2022-06-28 15:30:00+00:00,2022-06-28 21:30:00+00:00,930,15:30,22:30,3,180;240;360,238.03,232.2,-12.246355501407413,2022-06-28,2022,0.75,-12.996355501407413,0.95,-13.196355501407412,1.25,-13.496355501407413,1.75,-13.996355501407413
360,2022-06-29 15:15:00+00:00,2022-06-29 21:15:00+00:00,915,15:15,22:15,2,240;360,218.25,221.93,8.430698739977107,2022-06-29,2022,0.75,7.680698739977107,0.95,7.4806987399771065,1.25,7.180698739977107,1.75,6.680698739977107
360,2022-06-30 15:00:00+00:00,2022-06-30 21:00:00+00:00,900,15:00,22:00,3,180;240;360,210.99,210.88,-0.2606758614152653,2022-06-30,2022,0.75,-1.0106758614152653,0.95,-1.2106758614152653,1.25,-1.5106758614152653,1.75,-2.0106758614152653
360,2022-08-02 15:15:00+00:00,2022-08-02 21:15:00+00:00,915,15:15,22:15,2,240;360,282.79,284.61,3.217935570564718,2022-08-02,2022,0.75,2.467935570564718,0.95,2.2679355705647177,1.25,1.967935570564718,1.75,1.467935570564718
360,2022-08-04 15:00:00+00:00,2022-08-04 21:00:00+00:00,900,15:00,22:00,2,180;240,306.84,311.0,6.778777212879718,2022-08-04,2022,0.75,6.028777212879718,0.95,5.828777212879718,1.25,5.528777212879718,1.75,5.028777212879718
360,2022-08-22 15:00:00+00:00,2022-08-22 21:00:00+00:00,900,15:00,22:00,2,180;360,294.43,297.92,5.926705838399635,2022-08-22,2022,0.75,5.176705838399635,0.95,4.976705838399635,1.25,4.676705838399635,1.75,4.176705838399635
360,2022-09-08 15:00:00+00:00,2022-09-08 21:00:00+00:00,900,15:00,22:00,2,180;240,282.1,280.46,-2.906770648706209,2022-09-08,2022,0.75,-3.656770648706209,0.95,-3.856770648706209,1.25,-4.156770648706209,1.75,-4.656770648706209
360,2022-11-01 15:45:00+00:00,2022-11-01 21:45:00+00:00,945,15:45,22:45,2,180;240,318.84,326.16,11.479111780203315,2022-11-01,2022,0.75,10.729111780203315,0.95,10.529111780203316,1.25,10.229111780203315,1.75,9.729111780203315
360,2022-11-15 15:00:00+00:00,2022-11-15 21:00:00+00:00,900,15:00,22:00,2,240;360,278.33,275.39,-5.2815003772500235,2022-11-15,2022,0.75,-6.0315003772500235,0.95,-6.231500377250024,1.25,-6.5315003772500235,1.75,-7.0315003772500235
360,2022-11-16 15:00:00+00:00,2022-11-16 21:00:00+00:00,900,15:00,22:00,2,240;360,271.73,270.55,-2.1712729547712923,2022-11-16,2022,0.75,-2.9212729547712923,0.95,-3.1212729547712925,1.25,-3.4212729547712923,1.75,-3.9212729547712923
360,2022-11-28 15:00:00+00:00,2022-11-28 21:00:00+00:00,900,15:00,22:00,2,180;240,295.14,293.87,-2.151521311919736,2022-11-28,2022,0.75,-2.901521311919736,0.95,-3.1015213119197362,1.25,-3.401521311919736,1.75,-3.901521311919736
360,2022-12-14 15:45:00+00:00,2022-12-14 21:45:00+00:00,945,15:45,22:45,2,240;360,272.65,267.63,-9.205941683476953,2022-12-14,2022,0.75,-9.955941683476953,0.95,-10.155941683476952,1.25,-10.455941683476953,1.75,-10.955941683476953
360,2022-12-19 15:00:00+00:00,2022-12-19 21:00:00+00:00,900,15:00,22:00,2,240;360,248.14,243.3,-9.752559039251985,2022-12-19,2022,0.75,-10.502559039251985,0.95,-10.702559039251984,1.25,-11.002559039251985,1.75,-11.502559039251985
360,2023-01-17 15:15:00+00:00,2023-01-17 21:15:00+00:00,915,15:15,22:15,2,180;240,302.72,302.21,-0.8423625792812628,2023-01-17,2023,0.75,-1.5923625792812628,0.95,-1.7923625792812627,1.25,-2.0923625792812626,1.75,-2.5923625792812626
360,2023-01-23 15:00:00+00:00,2023-01-23 21:00:00+00:00,900,15:00,22:00,3,180;240;360,302.49,306.46,6.562200403319069,2023-01-23,2023,0.75,5.812200403319069,0.95,5.612200403319068,1.25,5.312200403319069,1.75,4.812200403319069
360,2023-02-16 15:00:00+00:00,2023-02-16 21:00:00+00:00,900,15:00,22:00,2,180;240,318.29,314.02,-6.70771937541242,2023-02-16,2023,0.75,-7.45771937541242,0.95,-7.65771937541242,1.25,-7.95771937541242,1.75,-8.45771937541242
360,2023-02-17 15:00:00+00:00,2023-02-17 21:00:00+00:00,900,15:00,22:00,3,180;240;360,309.67,315.59,9.55856234055601,2023-02-17,2023,0.75,8.80856234055601,0.95,8.608562340556011,1.25,8.30856234055601,1.75,7.80856234055601
360,2023-02-22 15:45:00+00:00,2023-02-22 21:45:00+00:00,945,15:45,22:45,2,240;360,304.59,307.24,4.350109983912857,2023-02-22,2023,0.75,3.6001099839128567,0.95,3.4001099839128566,1.25,3.1001099839128567,1.75,2.6001099839128567
360,2023-02-23 15:15:00+00:00,2023-02-23 21:15:00+00:00,915,15:15,22:15,2,240;360,309.15,309.43,0.45285460132626487,2023-02-23,2023,0.75,-0.29714539867373513,0.95,-0.4971453986737351,1.25,-0.7971453986737351,1.75,-1.2971453986737351
360,2023-03-24 15:00:00+00:00,2023-03-24 21:00:00+00:00,900,15:00,22:00,2,180;360,321.86,320.76,-1.7088174982912179,2023-03-24,2023,0.75,-2.458817498291218,0.95,-2.658817498291218,1.25,-2.958817498291218,1.75,-3.458817498291218
360,2023-04-12 15:00:00+00:00,2023-04-12 21:00:00+00:00,900,15:00,22:00,2,180;240,320.55,319.33,-1.9029792544065314,2023-04-12,2023,0.75,-2.6529792544065316,0.95,-2.8529792544065313,1.25,-3.1529792544065316,1.75,-3.6529792544065316
