rule,source_tf,level_type,role,mode,signal_i,signal_ts,side,level,instance,week,entry_ts,exit_ts,entry,tp,sl,reason,net_ret,hours,route,selector,partition,rrank
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,17596,2022-01-03 04:00:00+00:00,SHORT,46932.551250000004,H1|VAH|2022-01-03T03:00:00+00:00|RESISTANCE,2022-W01,2022-01-03 05:00:00+00:00,2022-01-03 10:00:00+00:00,46823.57,46285.098945000005,47221.570345,SL,-0.009999999999999952,6,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,17769,2022-01-10 09:00:00+00:00,SHORT,41891.176250000004,H1|VAH|2022-01-10T08:00:00+00:00|RESISTANCE,2022-W02,2022-01-10 10:00:00+00:00,2022-01-10 12:00:00+00:00,41788.53,41307.961905000004,42143.732505,TP,0.009999999999999844,3,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,17933,2022-01-17 05:00:00+00:00,SHORT,42681.198749999996,H1|VAH|2022-01-17T04:00:00+00:00|RESISTANCE,2022-W03,2022-01-17 06:00:00+00:00,2022-01-17 16:00:00+00:00,42649.7,42159.22845,43012.222449999994,TP,0.009999999999999844,11,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,18100,2022-01-24 04:00:00+00:00,SHORT,35253.183124999996,H1|VAH|2022-01-24T03:00:00+00:00|RESISTANCE,2022-W04,2022-01-24 05:00:00+00:00,2022-01-24 08:00:00+00:00,35106.28,34702.55778,35404.683379999995,SL,-0.009999999999999952,4,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,18270,2022-01-31 06:00:00+00:00,SHORT,36953.871458333335,H1|VAH|2022-01-31T05:00:00+00:00|RESISTANCE,2022-W05,2022-01-31 07:00:00+00:00,2022-01-31 09:00:00+00:00,36901.05,36476.687925000006,37214.708925,SL,-0.009999999999999952,3,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,18439,2022-02-07 07:00:00+00:00,SHORT,42752.99354166667,H1|VAH|2022-02-07T06:00:00+00:00|RESISTANCE,2022-W06,2022-02-07 08:00:00+00:00,2022-02-07 09:00:00+00:00,42712.79,42221.592915,43075.848715,TP,0.009999999999999955,2,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,18611,2022-02-14 11:00:00+00:00,SHORT,42161.2,H1|VAH|2022-02-14T10:00:00+00:00|RESISTANCE,2022-W07,2022-02-14 12:00:00+00:00,2022-02-14 12:00:00+00:00,42107.81,41623.570185,42465.726384999994,SL,-0.009999999999999952,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,18770,2022-02-21 02:00:00+00:00,SHORT,39152.08333333333,H1|VAH|2022-02-21T01:00:00+00:00|RESISTANCE,2022-W08,2022-02-21 03:00:00+00:00,2022-02-21 05:00:00+00:00,39087.9,38638.38915,39420.14715,SL,-0.009999999999999952,3,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,18936,2022-02-28 00:00:00+00:00,SHORT,37550.63958333334,H1|VAH|2022-02-27T23:00:00+00:00|RESISTANCE,2022-W09,2022-02-28 01:00:00+00:00,2022-02-28 01:00:00+00:00,37548.2,37116.3957,37867.35969999999,SL,-0.009999999999999952,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,19105,2022-03-07 01:00:00+00:00,SHORT,38340.5,H1|VAH|2022-03-07T00:00:00+00:00|RESISTANCE,2022-W10,2022-03-07 02:00:00+00:00,2022-03-07 02:00:00+00:00,38310.1,37869.53385,38635.73585,TP,0.009999999999999955,1,PRIMARY_RULE,PRIMARY_RULE,development,
