anchor_min_wib,anchor_wib,sessions,k1_qualified,k1_rate,causal_leave,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
1380,23:00,1095,231,0.21095890410958903,145,109,10,0,26,0.7517241379310344,0.9159663865546218,15.0
1410,23:30,1095,238,0.217351598173516,139,104,7,0,28,0.7482014388489209,0.9369369369369369,20.0
0,00:00,1095,230,0.2100456621004566,137,105,5,0,27,0.7664233576642335,0.9545454545454546,20.0
30,00:30,1095,251,0.22922374429223744,155,114,12,0,29,0.7354838709677419,0.9047619047619048,22.5
60,01:00,1095,269,0.245662100456621,162,132,9,0,21,0.8148148148148148,0.9361702127659575,25.0
90,01:30,1095,288,0.26301369863013696,170,133,11,0,26,0.7823529411764706,0.9236111111111112,20.0
120,02:00,1095,278,0.25388127853881276,162,126,14,0,22,0.7777777777777778,0.9,20.0
150,02:30,1095,283,0.25844748858447486,150,104,21,0,25,0.6933333333333334,0.832,15.0
180,03:00,1095,251,0.22922374429223744,142,96,21,0,25,0.676056338028169,0.8205128205128205,15.0
