partition,diag_class,n,share,net_0,avg_0,wins_0,net_5,avg_5
external,BREAKOUT_GIVEBACK,2,0.05128205128205128,-3.3886101565302806,-1.6943050782651403,1,-4.38552308990695,-2.192761544953475
external,BREAKOUT_TO_E15,20,0.5128205128205128,82.47804211644828,4.123902105822414,20,77.43532445422152,3.871766222711076
external,E15_SAME_OR_BEFORE_BO_BAR,10,0.2564102564102564,27.803390517469833,2.7803390517469833,10,25.288746144397916,2.5288746144397916
external,NO_BREAKOUT_FAIL,7,0.1794871794871795,-48.27976649525137,-6.897109499321624,1,-51.73256033183763,-7.390365761691091
development,BREAKOUT_GIVEBACK,3,0.07317073170731707,-16.82150989472555,-5.607169964908517,0,-18.305146566494756,-6.101715522164919
development,BREAKOUT_TO_E15,15,0.36585365853658536,37.50841275197714,2.5005608501318095,15,33.73854348023753,2.2492362320158352
development,E15_SAME_OR_BEFORE_BO_BAR,13,0.3170731707317073,32.36315024943347,2.4894730961102667,13,29.096002248310086,2.238154019100776
development,NO_BREAKOUT_FAIL,10,0.24390243902439024,-61.16854613205164,-6.116854613205164,1,-66.10890740528241,-6.610890740528241
reference_validation,BREAKOUT_GIVEBACK,1,0.06666666666666667,-0.8237603577911808,-0.8237603577911808,0,-1.323086934145112,-1.323086934145112
reference_validation,BREAKOUT_TO_E15,6,0.4,23.097342698365676,3.8495571163942794,6,21.58535002335411,3.597558337225685
reference_validation,E15_SAME_OR_BEFORE_BO_BAR,5,0.3333333333333333,12.503585533575448,2.5007171067150895,5,11.24696205254916,2.2493924105098317
reference_validation,NO_BREAKOUT_FAIL,3,0.2,-22.448448017655576,-7.482816005885192,0,-23.92646056336486,-7.975486854454953
POOLED_MAJOR,BREAKOUT_GIVEBACK,6,0.06315789473684211,-21.03388040904701,-3.5056467348411684,1,-24.01375659054682,-4.002292765091137
POOLED_MAJOR,BREAKOUT_TO_E15,41,0.43157894736842106,143.0837975667911,3.4898487211412466,41,132.75921795781318,3.2380297062881263
POOLED_MAJOR,E15_SAME_OR_BEFORE_BO_BAR,28,0.29473684210526313,72.67012630047874,2.5953616535885264,28,65.63171044525716,2.343989658759184
POOLED_MAJOR,NO_BREAKOUT_FAIL,20,0.21052631578947367,-131.8967606449586,-6.59483803224793,2,-141.7679283004849,-7.088396415024245
