partition,regime,clock_block,obs_start,obs_end,fill_ts,entry_price,fraction,H,L,R4,LOCAL_R,structural_winner,terminal_type,terminal_complete_ts,causal_bars,terminal_minutes,fillbar_adv_px,fillbar_adv_r4,fillbar_adv_localr,mae_px,mae_r4,mae_localr,mfe_px,mfe_r4,mfe_localr
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,2022-01-06 09:50:00+00:00,42635.939000000006,0.1,43258.82,42566.73,692.0899999999965,69.20900000000256,False,BLOCK_END,2022-01-06 12:00:00+00:00,25,130.0,175.17099999999482,0.2531043650392228,2.5310436503921214,311.11099999999715,0.4495239058503933,4.495239058503744,250.10900000000402,0.36138219017758566,3.613821901775705
development,BEAR,00-04,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,2022-01-10 00:35:00+00:00,41805.9425,0.05,42773.85,41755.0,1018.8499999999985,50.94249999999738,True,LOW_BREAK,2022-01-10 00:45:00+00:00,1,10.0,109.62750000000233,0.10759925406095351,2.151985081219178,39.05750000000262,0.03833488737302122,0.7666977474604628,167.62249999999767,0.1645212739853736,3.2904254797076367
development,BEAR,00-04,2022-01-21 00:00:00+00:00,2022-01-21 04:00:00+00:00,2022-01-21 00:20:00+00:00,40671.265,0.05,42975.3,40550.0,2425.300000000003,121.26499999999942,True,LOW_BREAK,2022-01-21 01:40:00+00:00,15,80.0,105.55500000000029,0.04352245083082512,0.8704490166165076,424.4950000000026,0.1750278316084617,3.5005566321692547,707.0650000000023,0.29153712942728793,5.830742588545794
development,BEAR,12-16,2022-01-24 12:00:00+00:00,2022-01-24 16:00:00+00:00,2022-01-24 14:05:00+00:00,33134.063500000004,0.05,35580.0,33005.33,2574.6699999999983,128.7335000000021,False,BLOCK_END,2022-01-24 16:00:00+00:00,22,115.0,175.93649999999616,0.0683336116861564,1.3666722337231048,1210.9364999999962,0.47032687684246793,9.4065375368492,11.063500000003842,0.004297055544983959,0.08594111089967772
development,BULL,20-00,2022-01-25 20:00:00+00:00,2022-01-26 00:00:00+00:00,2022-01-25 21:45:00+00:00,36534.5455,0.05,37561.03,36480.52,1080.510000000002,54.025500000003376,False,BLOCK_END,2022-01-26 00:00:00+00:00,26,135.0,85.16449999999895,0.07881879853032253,1.576375970606355,492.9945000000007,0.4562609323375071,9.12521864674959,119.55550000000221,0.11064728692932226,2.2129457385863107
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:30:00+00:00,41392.811,0.1,41752.46,41352.85,399.6100000000006,39.96100000000297,True,LOW_BREAK,2022-02-05 08:40:00+00:00,1,10.0,181.5789999999979,0.4543905307674924,4.543905307674593,173.9190000000017,0.4352218412952665,4.352218412952348,109.81100000000151,0.27479542553990477,2.747954255398848
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:25:00+00:00,44217.042,0.1,45600.0,44063.38,1536.6200000000026,153.6620000000039,True,LOW_BREAK,2022-02-08 08:35:00+00:00,1,10.0,51.0679999999993,0.033233981075346676,0.3323398107534589,22.95799999999872,0.014940583878902187,0.14940583878901834,217.04200000000128,0.14124637190717348,1.4124637190717013
development,BEAR,12-16,2022-02-12 12:00:00+00:00,2022-02-12 16:00:00+00:00,2022-02-12 14:50:00+00:00,41868.7825,0.05,42440.73,41838.68,602.0500000000029,30.102500000000873,False,BLOCK_END,2022-02-12 16:00:00+00:00,13,70.0,168.89749999999913,0.28053733078647675,5.610746615729399,330.21749999999884,0.5484884976330824,10.969769952661382,58.782500000001164,0.09763723943194233,1.9527447886387994
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 01:50:00+00:00,43981.09,0.05,44777.0,43939.2,837.8000000000029,41.88999999999942,True,LOW_BREAK,2022-02-16 02:35:00+00:00,8,45.0,34.01000000000204,0.04059441394127706,0.8118882788255553,58.7100000000064,0.07007639054667725,1.4015278109335694,96.08999999999651,0.11469324421102432,2.2938648842205263
development,BEAR,16-20,2022-02-17 16:00:00+00:00,2022-02-17 20:00:00+00:00,2022-02-17 17:10:00+00:00,41748.19,0.05,43347.8,41664.0,1683.800000000003,84.19000000000233,True,LOW_BREAK,2022-02-17 18:15:00+00:00,12,65.0,98.00999999999476,0.05820762560873892,1.1641525121747482,198.80999999999767,0.11807221760303915,2.361444352060722,659.1900000000023,0.391489488062716,7.8297897612541165
