partition,timeframe,armed_cycles,entry_cycles,no_trade_rate,median_bars_cross_to_signal,n,wr,pf,mean_ret,median_ret,median_winner,median_loser,median_mfe,median_mae,p10_mae,median_hold_minutes,mean_gross_usd,fee_wr,fee_pf,mean_fee_usd,mae_le_0p5,mae_le_1p0,mae_le_1p5,mae_le_1p8
external,5m,2182,1940,0.11090742438130156,1.0,1940,0.29896907216494845,1.00878359533426,1.9360525072334463e-05,-0.001334981816188463,0.0033687390768508685,-0.0022462179211951705,0.003046157364926083,-0.002479830396604321,-0.0071620319026518,50.0,0.009680262536167253,0.238659793814433,0.7202445347241977,-0.39031973746383275,0.19278350515463918,0.04690721649484536,0.01907216494845361,0.01134020618556701
external,15m,690,624,0.09565217391304348,2.0,624,0.28846153846153844,1.0985497502686519,0.0003763375169320852,-0.002428045522166633,0.00799237311725387,-0.003988641441850516,0.0055005648507947535,-0.004526950482275416,-0.012343183212569619,150.0,0.1881687584660426,0.2532051282051282,0.9037513995204608,-0.21183124153395744,0.4583333333333333,0.17147435897435898,0.057692307692307696,0.03685897435897436
external,1h,144,134,0.06944444444444445,1.0,134,0.35074626865671643,1.8563409583622477,0.005664101554332998,-0.003525563946101984,0.024841275124174667,-0.008702409120241006,0.015616622127065716,-0.010389623066336395,-0.02233615156563019,840.0,2.832050777166499,0.3358208955223881,1.6815430632960708,2.4320507771664985,0.7910447761194029,0.5223880597014925,0.26865671641791045,0.208955223880597
external,4h,46,43,0.06521739130434782,2.0,43,0.4186046511627907,2.4138749256761587,0.019126891566534653,-0.006485732036690339,0.03780370927048282,-0.01621714122386253,0.03181577477271702,-0.0185170511062408,-0.05340776875031003,2640.0,9.563445783267326,0.3953488372093023,2.308778912743615,9.163445783267328,0.8837209302325582,0.7906976744186046,0.6511627906976745,0.5813953488372093
development,5m,3423,3038,0.11247443762781185,2.0,3038,0.2784726793943384,0.9826477388895619,-2.630930747710681e-05,-0.000932839005733932,0.002293763219507028,-0.0014553634820652639,0.0018746833614347036,-0.0016028269736214074,-0.004668831436313947,45.0,-0.013154653738553427,0.20375246872942726,0.6113471853809995,-0.41315465373855337,0.08722843976300197,0.019091507570770244,0.0065832784726793945,0.003949967083607637
development,15m,1044,925,0.11398467432950192,1.0,925,0.2843243243243243,0.9835830970583197,-4.671766602337281e-05,-0.0015523812833790895,0.005114473879940906,-0.002646359472829929,0.003632755613167671,-0.003066788360864381,-0.009295049644722452,135.0,-0.023358833011686404,0.23135135135135135,0.7538384751380578,-0.42335883301168636,0.2843243243243243,0.08972972972972973,0.034594594594594595,0.017297297297297298
development,1h,254,226,0.11023622047244094,1.0,226,0.27876106194690264,1.1552360495795175,0.001042938608375975,-0.004297395025104955,0.017359878530070816,-0.007433016421780514,0.008987159901480135,-0.008840307184496132,-0.021644214616145407,660.0,0.5214693041879874,0.26548672566371684,1.0332769990349153,0.12146930418798746,0.7035398230088495,0.40707964601769914,0.24336283185840707,0.14601769911504425
development,4h,58,52,0.10344827586206896,1.0,52,0.36538461538461536,1.6113028831005176,0.006916659145110913,-0.008660426988981229,0.026959278745817272,-0.01484040334150738,0.027756384790169064,-0.016725401440147003,-0.039764712097618914,3480.0,3.4583295725554564,0.34615384615384615,1.517261915059109,3.058329572555456,0.9038461538461539,0.8269230769230769,0.5961538461538461,0.4423076923076923
reference_validation,5m,1703,1522,0.10628302994715208,1.0,1522,0.2996057818659658,0.8616689414984768,-0.0001862753289417658,-0.0008209233341416322,0.0019791607784682697,-0.0013778880870230492,0.001734978345076188,-0.0014019774881164904,-0.00438164581534084,45.0,-0.09313766447088291,0.22536136662286466,0.4917272546127376,-0.49313766447088286,0.07293035479632064,0.009198423127463863,0.0019710906701708277,0.0
reference_validation,15m,539,484,0.10204081632653061,1.0,484,0.32231404958677684,1.1413498860547955,0.0003211233179819629,-0.0014742847690699112,0.004814936683142701,-0.002550042238484207,0.003913316876450912,-0.002728583715684796,-0.007054854194027449,150.0,0.16056165899098138,0.2830578512396694,0.8310307678799971,-0.23943834100901853,0.2396694214876033,0.04338842975206612,0.01652892561983471,0.008264462809917356
