zone,entry_frac,partition,date_utc,signal_ts,fill_bar_start,entry_px,H,L,range,session_end,path_class,e20_reached,e20_bar_start,terminal_bar_start,pre_e20_max_high_frac,pre_e20_required_d,cons_max_high_frac,cons_required_d,failure_max_high_frac,failure_required_d
F15,0.15,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:50:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2026-08-14 15:35:00+00:00,,,,,1.061112437335876,0.911112437335876
F05,0.05,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38662.87,39287.4,38630.0,657.4000000000015,2022-03-14 20:00:00+00:00,E20_REACHER,True,2022-03-14 18:25:00+00:00,2022-03-14 18:25:00+00:00,0.22482506845147943,0.17482506845147944,0.22482506845147943,0.17482506845147944,,
F10,0.1,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38695.74,39287.4,38630.0,657.4000000000015,2022-03-14 20:00:00+00:00,E20_REACHER,True,2022-03-14 18:25:00+00:00,2022-03-14 18:25:00+00:00,0.22482506845147943,0.12482506845147942,0.22482506845147943,0.12482506845147942,,
F15,0.15,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 17:45:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,2022-03-14 20:00:00+00:00,E20_REACHER,True,2022-03-14 18:25:00+00:00,2022-03-14 18:25:00+00:00,0.22482506845147943,0.07482506845147943,0.22482506845147943,0.07482506845147943,,
F10,0.1,development,2022-05-02,2022-05-02 13:40:00+00:00,2022-05-02 17:15:00+00:00,38477.2,39073.0,38411.0,662.0,2022-05-02 20:00:00+00:00,E20_REACHER,True,2022-05-02 17:45:00+00:00,2022-05-02 17:45:00+00:00,0.19486404833836857,0.09486404833836856,0.19486404833836857,0.09486404833836856,,
F15,0.15,development,2022-05-02,2022-05-02 13:40:00+00:00,2022-05-02 17:10:00+00:00,38510.3,39073.0,38411.0,662.0,2022-05-02 20:00:00+00:00,E20_REACHER,True,2022-05-02 17:45:00+00:00,2022-05-02 17:45:00+00:00,0.2459214501510618,0.0959214501510618,0.2459214501510618,0.0959214501510618,,
F05,0.05,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 16:05:00+00:00,29460.835,30288.0,29417.3,870.7000000000007,2022-05-16 20:00:00+00:00,E20_REACHER,True,2022-05-16 16:40:00+00:00,2022-05-16 16:40:00+00:00,0.2823015964166752,0.2323015964166752,0.2823015964166752,0.2323015964166752,,
F10,0.1,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 16:05:00+00:00,29504.37,30288.0,29417.3,870.7000000000007,2022-05-16 20:00:00+00:00,E20_REACHER,True,2022-05-16 16:40:00+00:00,2022-05-16 16:40:00+00:00,0.2823015964166752,0.18230159641667518,0.2823015964166752,0.18230159641667518,,
F15,0.15,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 16:05:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,2022-05-16 20:00:00+00:00,E20_REACHER,True,2022-05-16 16:40:00+00:00,2022-05-16 16:40:00+00:00,0.2823015964166752,0.1323015964166752,0.2823015964166752,0.1323015964166752,,
F05,0.05,development,2022-12-16,2022-12-16 14:20:00+00:00,2022-12-16 16:00:00+00:00,16940.025,17510.5,16910.0,600.5,2022-12-16 20:00:00+00:00,E20_REACHER,True,2022-12-16 16:05:00+00:00,2022-12-16 16:05:00+00:00,0.09908409658617819,0.04908409658617818,0.09908409658617819,0.04908409658617818,,
