action,L_to_W,L_to_L,L_to_NT,failed_before_H_L_to_W,W_to_W,W_to_L,W_to_NT,net_win_opportunities,executed_opportunities,trade_legs,net_wr_executed,avg_net_return_per_opportunity,total_pnl_usd_500,profit_factor_opportunity,rank
BASELINE,0,25,0,0,25,0,0,25,50,50,0.5,0.0011135066406649085,27.837666016622716,1.342245440960338,0
D10_FRESH_MICROHL,6,19,0,5,12,3,10,18,40,40,0.45,-0.0003329817706872497,-8.324544267181238,0.8766980737411323,1
S10_SPLIT_ADD_010R,1,24,0,1,25,0,0,26,50,87,0.52,0.0004573801768947065,11.43450442236767,1.1528361326052172,2
D10_RECLAIM_ORIGINAL,1,15,9,1,12,1,12,13,29,29,0.4482758620689655,-0.00024076109634618717,-6.019027408654684,0.8645153890430958,3
D20_RECLAIM_ORIGINAL,1,11,13,1,6,0,19,7,18,18,0.3888888888888889,-0.0004936620954307553,-12.341552385768882,0.5646974445862998,4
S15_SPLIT_ADD_015R,1,24,0,0,25,0,0,26,50,82,0.52,0.0004531260091071007,11.328150227677526,1.1566801469671455,5
S20_SPLIT_ADD_020R,1,24,0,0,25,0,0,26,50,76,0.52,0.00027113893407463614,6.778473351865903,1.1043556233636984,6
S05_SPLIT_ADD_005R,0,25,0,0,25,0,0,25,50,90,0.5,0.0007785434467723696,19.46358616930924,1.2529437134821537,7
S25_SPLIT_ADD_025R,0,25,0,0,25,0,0,25,50,62,0.5,0.0005547194580585066,13.867986451462667,1.2760764599397227,8
