structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,raid_year,liquidity_low,liquidity_pivot_i,liquidity_confirm_i,significant_high,significant_high_pivot_i,significant_high_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_high,bars_reclaim_to_bos,displacement_range_units,bull_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,return_year,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_high
2020-09-17 09:00:00+00:00__L69__H71,74,2020-09-17 09:00:00+00:00,74,2020-09-17 09:00:00+00:00,2020-09-17 10:00:00+00:00,2020,2.4677,69,71,2.6025,71,73,2.3912,3.1000526806337803,0,2.4895,0.09110000000000018,80,2020-09-17 15:00:00+00:00,2020-09-17 16:00:00+00:00,2.6094,2.63,6,2.395170142700324,0.765156349712825,0.07574094401756194,77,2020-09-17 12:00:00+00:00,2.5395,2.5601,2.5056,2.5246,2.5056,2.5601,0.5982436882546639,2045,2020-09-21 09:25:00+00:00,2020,5365.0,2.6195,2.6261,2.5322,2.573,0.5119266055045838,3.2509
2020-09-17 10:00:00+00:00__L59__H71,75,2020-09-17 10:00:00+00:00,76,2020-09-17 11:00:00+00:00,2020-09-17 12:00:00+00:00,2020,2.4901,59,61,2.6025,71,73,2.3569,5.349182763744428,1,2.5396,0.09385000000000021,80,2020-09-17 15:00:00+00:00,2020-09-17 16:00:00+00:00,2.6094,2.63,4,2.6904635055940265,0.6993987975951882,0.07352157698454864,77,2020-09-17 12:00:00+00:00,2.5395,2.5601,2.5056,2.5246,2.5056,2.5601,0.5807139051678196,2045,2020-09-21 09:25:00+00:00,2020,5365.0,2.6195,2.6261,2.5322,2.573,0.5119266055045838,3.2509
2020-09-18 15:00:00+00:00__L98__H100,104,2020-09-18 15:00:00+00:00,105,2020-09-18 16:00:00+00:00,2020-09-18 17:00:00+00:00,2020,2.908,98,100,3.15,100,102,2.7989,3.7517193947730316,1,2.9306,0.1117499999999998,114,2020-09-19 01:00:00+00:00,2020-09-19 02:00:00+00:00,3.1804,3.2431,9,3.413870246085017,0.4454350927246784,0.27203579418344753,113,2020-09-19 00:00:00+00:00,3.108,3.1107,3.0647,3.0919,3.0647,3.1107,0.41163310961968597,1396,2020-09-19 03:20:00+00:00,2020,80.0,3.1263,3.1263,3.103,3.103,0.1673913043478228,3.2509
2020-09-22 07:00:00+00:00__L185__H189,192,2020-09-22 07:00:00+00:00,193,2020-09-22 08:00:00+00:00,2020-09-22 09:00:00+00:00,2020,2.7184,185,187,2.9813,189,191,2.6094,4.009711595055915,1,2.7689,0.08994999999999997,209,2020-09-23 00:00:00+00:00,2020-09-23 01:00:00+00:00,3.0682,3.0935,16,5.100611450806006,0.4989164860810127,0.9660922734852696,207,2020-09-22 22:00:00+00:00,2.965,2.9877,2.8888,2.8953,2.8888,2.9877,1.0994997220678155,2533,2020-09-23 02:05:00+00:00,2020,65.0,3.0296,3.0364,2.8276,2.9844,1.0,3.0935
2020-09-27 08:00:00+00:00__L300__H309,313,2020-09-27 08:00:00+00:00,313,2020-09-27 08:00:00+00:00,2020-09-27 09:00:00+00:00,2020,3.0248,300,302,3.1495,309,311,2.977,1.5802697699021446,0,3.0459,0.053400000000000114,327,2020-09-27 22:00:00+00:00,2020-09-27 23:00:00+00:00,3.1601,3.1775,14,3.428838951310855,0.41227436823104424,0.19850187265917038,326,2020-09-27 21:00:00+00:00,3.1234,3.1269,3.084,3.1029,3.084,3.1269,0.803370786516851,3985,2020-09-28 03:05:00+00:00,2020,245.0,3.1484,3.1514,3.114,3.1253,0.30069930069930423,3.2116
2020-09-27 09:00:00+00:00__L295__H309,314,2020-09-27 09:00:00+00:00,315,2020-09-27 10:00:00+00:00,2020-09-27 11:00:00+00:00,2020,3.017,295,297,3.1495,309,311,3.0,0.5634736493205139,1,3.0468,0.053400000000000114,327,2020-09-27 22:00:00+00:00,2020-09-27 23:00:00+00:00,3.1601,3.1775,12,2.998127340823962,0.575418994413403,0.19850187265917038,326,2020-09-27 21:00:00+00:00,3.1234,3.1269,3.084,3.1029,3.084,3.1269,0.803370786516851,3985,2020-09-28 03:05:00+00:00,2020,245.0,3.1484,3.1514,3.114,3.1253,0.30069930069930423,3.2116
2020-10-18 11:00:00+00:00__L812__H817,820,2020-10-18 11:00:00+00:00,822,2020-10-18 13:00:00+00:00,2020-10-18 14:00:00+00:00,2020,2.2069,812,814,2.2494,817,819,2.1992,0.34890570483484806,2,2.2124,0.014800000000000146,826,2020-10-18 17:00:00+00:00,2020-10-18 18:00:00+00:00,2.2532,2.2649,4,3.648648648648631,1.0,0.25675675675675597,821,2020-10-18 12:00:00+00:00,2.2041,2.2116,2.2015,2.2029,2.2015,2.2116,0.6824324324324256,9969,2020-10-18 21:45:00+00:00,2020,225.0,2.2155,2.2156,2.1964,2.1966,1.0,2.2649
2020-10-24 07:00:00+00:00__L953__H957,960,2020-10-24 07:00:00+00:00,962,2020-10-24 09:00:00+00:00,2020-10-24 10:00:00+00:00,2020,1.916,953,955,1.9624,957,959,1.9032,0.6680584551148185,2,1.9246,0.022299999999999986,970,2020-10-24 17:00:00+00:00,2020-10-24 18:00:00+00:00,1.9625,1.9734,8,2.6591928251121053,0.42441209406495006,0.004484304932734935,969,2020-10-24 16:00:00+00:00,1.9359,1.938,1.9206,1.9352,1.9206,1.938,0.7802690582959583,11672,2020-10-24 19:40:00+00:00,2020,100.0,1.9429,1.9432,1.9347,1.9395,0.18965517241378652,1.9734
2020-11-01 10:00:00+00:00__L1151__H1152,1155,2020-11-01 10:00:00+00:00,1155,2020-11-01 10:00:00+00:00,2020-11-01 11:00:00+00:00,2020,1.5228,1151,1153,1.554,1152,1154,1.5152,0.49908064092460136,0,1.5378,0.019649999999999945,1160,2020-11-01 15:00:00+00:00,2020-11-01 16:00:00+00:00,1.5668,1.5758,5,2.6259541984732833,0.5197132616487433,0.6513994910941454,1159,2020-11-01 14:00:00+00:00,1.5427,1.5465,1.5363,1.541,1.5363,1.5465,0.5190839694656496,14131,2020-11-02 08:35:00+00:00,2020,995.0,1.5755,1.5768,1.5453,1.5476,0.11764705882353838,1.6465
2020-11-04 15:00:00+00:00__L1224__H1227,1232,2020-11-04 15:00:00+00:00,1234,2020-11-04 17:00:00+00:00,2020-11-04 18:00:00+00:00,2020,1.3432,1224,1226,1.4001,1227,1229,1.2737,5.174210839785579,2,1.3852,0.021949999999999914,1243,2020-11-05 02:00:00+00:00,2020-11-05 03:00:00+00:00,1.4035,1.408,9,5.913439635535327,0.40043763676148697,0.15489749430524297,1240,2020-11-04 23:00:00+00:00,1.3973,1.3997,1.3892,1.391,1.3892,1.3997,0.4783599088838266,14928,2020-11-05 03:00:00+00:00,2020,0.0,1.4034,1.4043,1.3986,1.3997,0.10476190476189369,1.408
