event_id,partition,clock_block,regime,label,p10,p15,max_bull_body_r4,impulse_flag
31,external,12-16,SIDEWAYS,GOOD,0.34882221865470114,0.6205789270401095,0.11253847732403001,False
73,external,08-12,BULL,BAD,0.3482232150690042,0.9286833909885347,0.3470560747663572,True
176,external,08-12,BULL,BAD,0.35401914896359576,0.9085834818116043,0.24715629687763954,False
193,external,20-00,BEAR,GOOD,0.301176992974597,0.6421635058569478,0.13023684210526162,False
197,external,04-08,SIDEWAYS,GOOD,0.46189170646495575,0.7488942064518035,0.06274292059965986,False
220,development,12-16,BEAR,GOOD,0.5040014179857203,0.7236825977397731,0.19656712908535015,False
254,development,12-16,SIDEWAYS,BAD,0.4635498286934808,0.6083313250768856,0.09327999999999884,False
257,development,04-08,SIDEWAYS,GOOD,0.30913856719052335,0.6600651263024486,0.10612638687891982,False
301,development,08-12,BULL,GOOD,0.5611754515744152,0.6883941301629489,0.20541760722352895,False
361,development,00-04,BEAR,BAD,0.3847721704089124,0.658421215159273,0.18531025749261795,False
394,development,12-16,BEAR,BAD,0.403015675049838,0.6411672963274148,0.12383177570091969,False
430,development,00-04,BULL,GOOD,0.529947362914045,0.7121464310994191,0.05452306314374927,False
458,development,12-16,BEAR,BAD,0.4689832949441213,0.6079191233470334,0.16407441293077973,False
470,development,08-12,BEAR,BAD,0.4606790586086747,0.7365012286207966,0.1305976969475499,False
481,development,16-20,BEAR,GOOD,0.30885509963442437,0.7303606653788254,0.24993331555080478,False
495,development,08-12,BULL,GOOD,0.420986999787111,0.8692742518895414,0.11570247933883923,False
523,development,12-16,BULL,BAD,0.29896424545332645,0.7670618499591484,0.28173076923076923,True
551,reference_validation,08-12,BEAR,GOOD,0.499825681331072,0.8106311608404025,0.10943576448113154,False
562,reference_validation,00-04,SIDEWAYS,BAD,0.3976544925401287,0.7202521142321561,0.31382578606891337,True
563,reference_validation,00-04,BULL,GOOD,0.49514598151776973,0.7673965616390895,0.11902339776194626,False
612,reference_validation,20-00,SIDEWAYS,BAD,0.1295675924379753,0.8262751985173165,0.2360320472275009,False
636,reference_validation,20-00,BEAR,GOOD,0.48459610115994767,0.8396998671224701,0.19027701049641285,False
687,reference_validation,00-04,BEAR,GOOD,0.5417735929019999,0.6108529501461673,0.27766990291267785,False
692,reference_validation,04-08,BULL,GOOD,0.44844268945940163,0.7005562697283938,0.1323406040268265,False
708,reference_validation,20-00,BEAR,BAD,0.36180877312573084,0.7387656073704445,0.1400535236396236,False
716,reference_validation,12-16,BULL,GOOD,0.4464189118576674,0.6946655341702285,0.2508269018743089,False
718,reference_validation,00-04,BULL,BAD,0.3908237507338407,0.8146766147957291,0.4024776721406372,True
