i,date,period,entry_t,parent_pnl,win,reason,upper_wick_ratio,last_body_ratio,body_delta_prev3median,balance_margin,balance_gate,last_red,wick_dominant,upper_localmax4,body_contract3median
0,2023-12-08,discovery,2023-12-08 08:00:00+00:00,4.048006696831725,True,TIMEOUT,0.23105590062109993,0.7689440993789001,0.3966170553537611,-0.1655611547326612,False,True,False,False,False
1,2023-12-15,discovery,2023-12-15 08:00:00+00:00,-4.25,False,SL,0.0,0.7165991902834091,0.011043634727880502,-0.011043634727880502,False,False,False,False,False
2,2023-12-22,discovery,2023-12-22 08:00:00+00:00,0.6279978905855694,True,TIMEOUT,0.059602649006559226,0.410596026490121,-0.02944087387891703,0.08904352288547626,True,True,True,False,True
3,2023-12-29,discovery,2023-12-29 08:00:00+00:00,5.7548623994139465,True,TIMEOUT,0.17504655493472418,0.2569832402235318,-0.3329272561149478,0.507973811049672,True,True,True,False,True
4,2024-01-05,discovery,2024-01-05 08:00:00+00:00,-4.25,False,SL,0.5024752475248064,0.24504950495052225,-0.23850713329558093,0.7409823808203874,True,True,True,False,True
5,2024-01-12,discovery,2024-01-12 08:00:00+00:00,-4.25,False,SL,0.1868131868132051,0.8113553113553197,0.12368153934423454,0.06313164746897057,True,False,False,True,False
6,2024-01-19,discovery,2024-01-19 08:00:00+00:00,0.6464958008230166,True,TIMEOUT,0.15705128205132504,0.47435897435894,0.11275183150166446,0.044299450549660585,True,True,True,False,False
7,2024-01-26,discovery,2024-01-26 08:00:00+00:00,9.25,True,TP,0.5454545454545079,0.17045454545455954,-0.6187611408199634,1.1642156862744713,True,False,True,True,True
8,2024-02-02,discovery,2024-02-02 08:00:00+00:00,-4.25,False,SL,0.17206982543645152,0.8279301745635484,0.06686822766097333,0.10520159777547819,True,True,False,False,False
9,2024-02-09,discovery,2024-02-09 08:00:00+00:00,9.25,True,TP,0.0,0.7619047619047844,0.23374323161780108,-0.23374323161780108,False,True,False,False,False
10,2024-02-16,discovery,2024-02-16 08:00:00+00:00,6.08866806729172,True,TIMEOUT,0.45384615384612587,0.04999999999997202,-0.39886363636378414,0.85270979020991,True,False,True,False,True
11,2024-02-23,discovery,2024-02-23 08:00:00+00:00,0.5796750097639976,True,TIMEOUT,0.5813953488372093,0.03837209302320505,-0.5900062853552007,1.17140163419241,True,True,True,True,True
12,2024-03-01,discovery,2024-03-01 08:00:00+00:00,9.25,True,TP,0.12788906009244302,0.7257318952234226,0.5957447652363126,-0.46785570514386954,False,True,False,False,False
13,2024-03-08,discovery,2024-03-08 08:00:00+00:00,3.1752100403366352,True,TIMEOUT,0.4976019184652625,0.06474820143878364,-0.4512153105338675,0.94881722899913,True,True,True,True,True
14,2024-03-15,discovery,2024-03-15 08:00:00+00:00,-4.25,False,SL,0.1954707985697398,0.8039332538736972,0.48715906032531947,-0.29168826175557966,False,True,False,False,False
15,2024-03-22,discovery,2024-03-22 08:00:00+00:00,-4.25,False,SL,0.15126050420190676,0.7499999999998471,0.1844444444441945,-0.03318394024228774,False,False,False,False,False
16,2024-03-29,discovery,2024-03-29 08:00:00+00:00,3.8466250379353424,True,TIMEOUT,0.5104772991850733,0.264842840512219,-0.08795521301576154,0.5984325122008349,True,True,True,True,True
17,2024-04-05,discovery,2024-04-05 08:00:00+00:00,-4.25,False,SL,0.024202420242149948,0.377337733773213,0.2069499546897934,-0.18274753444764347,False,False,True,False,False
18,2024-04-12,discovery,2024-04-12 08:00:00+00:00,-4.25,False,SL,0.032658393207056075,0.7681254082299018,0.36165687676134967,-0.3289984835542936,False,False,False,False,False
19,2024-04-19,discovery,2024-04-19 08:00:00+00:00,1.973207712397091,True,TIMEOUT,0.556742323097464,0.019136626613275327,-0.12090619993917474,0.6776485230366387,True,True,True,True,True
20,2024-04-26,discovery,2024-04-26 08:00:00+00:00,-4.25,False,SL,0.30700179533212635,0.03590664272890672,-0.6277205102599679,0.9347223055920942,True,True,True,False,True
21,2024-05-03,discovery,2024-05-03 08:00:00+00:00,9.25,True,TP,0.5456521739130118,0.45434782608698815,0.17383780787201425,0.37181436604099755,True,False,True,True,False
22,2024-05-10,discovery,2024-05-10 08:00:00+00:00,-1.3542458979474974,False,TIMEOUT,0.45692883895132563,0.5346441947565261,0.3560262025792431,0.10090263637208252,True,True,False,False,False
23,2024-05-17,discovery,2024-05-17 08:00:00+00:00,-4.25,False,SL,0.168774531181843,0.7762756214565972,0.04819838895451778,0.12057614222732521,True,False,False,False,False
24,2024-05-24,discovery,2024-05-24 08:00:00+00:00,-4.25,False,SL,0.0815217391304364,0.8036684782609053,0.4405888632127493,-0.3590671240823129,False,False,False,False,False
25,2024-05-31,discovery,2024-05-31 08:00:00+00:00,-1.5370876584068487,False,TIMEOUT,0.03427895981080354,0.806146572104101,0.2750584892025266,-0.2407795293917231,False,False,False,False,False
26,2024-06-07,discovery,2024-06-07 08:00:00+00:00,2.2641437765556223,True,TIMEOUT,0.39712230215835714,0.5942446043163793,0.1000585578048071,0.29706374435355004,True,False,False,True,False
27,2024-06-14,discovery,2024-06-14 08:00:00+00:00,0.44420742142373193,True,TIMEOUT,0.09478672985782281,0.8204318062138372,0.3166561859333781,-0.22186945607555525,False,True,False,False,False
28,2024-06-21,discovery,2024-06-21 08:00:00+00:00,-4.25,False,SL,0.29582875960483074,0.6366630076838486,0.015480937076948864,0.2803478225278819,True,True,False,True,False
29,2024-06-28,discovery,2024-06-28 08:00:00+00:00,-1.060675494960666,False,TIMEOUT,0.6915113871635495,0.22153209109723487,-0.5887464871929031,1.2802578743564528,True,True,True,True,True
30,2024-07-05,discovery,2024-07-05 08:00:00+00:00,-4.25,False,SL,0.1313432835820606,0.09353233830847218,-0.4204318134213939,0.5517750970034545,True,False,True,False,True
