role,partition,ref_min,hour,entry_ts,loss_class,latent_class,snapshot_min,close_R,running_mfe_R,running_mae_R,closes_above_H,closes_le_H,reclaim_by_snapshot
CENTRAL,development,360,15,2022-01-01 15:25:00+00:00,L4_BREAK_FAIL_30M,LATENT_RECOVERABLE,5,-0.007017543859652727,0.03157894736842231,0.12631578947368924,0,1,False
CENTRAL,development,360,15,2022-01-01 15:25:00+00:00,L4_BREAK_FAIL_30M,LATENT_RECOVERABLE,10,0.14736842105262749,0.1578947368421016,0.12631578947368924,1,1,True
CENTRAL,development,360,15,2022-01-01 15:25:00+00:00,L4_BREAK_FAIL_30M,LATENT_RECOVERABLE,15,0.199999999999998,0.23157894736842033,0.12631578947368924,2,1,True
CENTRAL,development,360,15,2022-01-01 15:25:00+00:00,L4_BREAK_FAIL_30M,LATENT_RECOVERABLE,30,0.2140350877192935,0.3964912280701746,0.12631578947368924,5,1,True
CENTRAL,development,360,15,2022-01-01 15:25:00+00:00,L4_BREAK_FAIL_30M,LATENT_RECOVERABLE,60,0.23508771929824168,0.5298245614035066,0.12631578947368924,11,1,True
CENTRAL,development,360,15,2022-01-02 16:10:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,5,-0.08612440191387873,0.014354066985646454,0.1483253588516755,0,1,False
CENTRAL,development,360,15,2022-01-02 16:10:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,10,-0.157894736842111,0.014354066985646454,0.22009569377990776,0,2,False
CENTRAL,development,360,15,2022-01-02 16:10:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,15,0.0047846889952109515,0.07177033492823227,0.22009569377990776,1,2,True
CENTRAL,development,360,15,2022-01-02 16:10:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,30,0.2870813397129155,0.35885167464114776,0.22009569377990776,4,2,True
CENTRAL,development,360,15,2022-01-02 16:10:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,60,0.32057416267941935,0.9904306220095644,0.22009569377990776,10,2,True
CENTRAL,development,360,15,2022-01-04 15:00:00+00:00,L4_BREAK_FAIL_30M,TRUE_FAILURE_PROXY,5,-0.08019639934533683,0.0,0.11129296235679301,0,1,False
CENTRAL,development,360,15,2022-01-04 15:00:00+00:00,L4_BREAK_FAIL_30M,TRUE_FAILURE_PROXY,10,-0.055646481178396504,0.0,0.11292962356792081,0,2,False
CENTRAL,development,360,15,2022-01-04 15:00:00+00:00,L4_BREAK_FAIL_30M,TRUE_FAILURE_PROXY,15,-0.1587561374795412,0.0,0.1653027823240617,0,3,False
CENTRAL,development,360,15,2022-01-04 15:00:00+00:00,L4_BREAK_FAIL_30M,TRUE_FAILURE_PROXY,30,-0.16693944353518952,0.0,0.27495908346972225,0,6,False
CENTRAL,development,360,15,2022-01-04 15:00:00+00:00,L4_BREAK_FAIL_30M,TRUE_FAILURE_PROXY,60,-0.2733224222585945,0.0,0.30769230769230627,0,12,False
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,5,-0.006160164271047455,0.014373716632442118,0.14168377823408565,0,1,False
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,10,0.08418891170431134,0.1457905544147859,0.14168377823408565,1,1,True
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,15,0.21560574948664926,0.22792607802874418,0.14168377823408565,2,1,True
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,30,0.3264887063655035,0.3305954825461979,0.14168377823408565,5,1,True
CENTRAL,development,360,15,2022-01-06 17:05:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,60,0.4558521560574942,0.5030800821355208,0.14168377823408565,11,1,True
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,5,-0.11260709914320549,0.0,0.1272949816401461,0,1,False
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,10,-0.07343941248469954,0.0,0.13708690330477086,0,2,False
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,15,0.002447980416157927,0.06487148102815202,0.13708690330477086,1,2,True
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,30,0.07711138310893817,0.09424724602203322,0.13708690330477086,2,4,True
CENTRAL,development,360,15,2022-01-12 15:15:00+00:00,L2_BREAK_FAST_FAIL_5M,LATENT_RECOVERABLE,60,0.4320685434516532,0.5030599755201983,0.13708690330477086,7,5,True
CENTRAL,development,360,15,2022-01-19 15:00:00+00:00,L1_NEVER_BREAK_TIME,LATENT_RECOVERABLE,5,-0.44150943396226383,0.0,0.46792452830188924,0,1,False
CENTRAL,development,360,15,2022-01-19 15:00:00+00:00,L1_NEVER_BREAK_TIME,LATENT_RECOVERABLE,10,-0.37547169811320846,0.0,0.4773584905660369,0,2,False
CENTRAL,development,360,15,2022-01-19 15:00:00+00:00,L1_NEVER_BREAK_TIME,LATENT_RECOVERABLE,15,-0.4377358490566069,0.0,0.4773584905660369,0,3,False
CENTRAL,development,360,15,2022-01-19 15:00:00+00:00,L1_NEVER_BREAK_TIME,LATENT_RECOVERABLE,30,-0.39433962264150924,0.0,0.4773584905660369,0,6,False
CENTRAL,development,360,15,2022-01-19 15:00:00+00:00,L1_NEVER_BREAK_TIME,LATENT_RECOVERABLE,60,-0.27924528301887075,0.0,0.49245283018868075,0,12,False
CENTRAL,development,360,15,2022-01-20 15:00:00+00:00,L4_BREAK_FAIL_30M,TRUE_FAILURE_PROXY,5,0.10126582278480807,0.10126582278480807,0.012658227848103259,1,0,True
