hour_wib,component_rank,character_rule,component_size,component_cells,dev_component_wr_min,dev_component_wr_mean,dev_component_exp_floor,dev_component_exp_mean,test_viable_cells,test_stable_cells,test_viable_fraction,test_positive_net_cells,test_positive_exp_cells,test_median_wr,test_median_exp,test_median_pf,test_max_dd,verdict
0,1,EFF_LOW__RANGE_MID,7,LB60/H240;LB180/H240;LB60/H360;LB120/H360;LB180/H360;LB60/H480;LB180/H480,0.55,0.6007453416149069,2.01125448009974,3.086634879669858,0,0,0.0,2,2,0.4044943820224719,-0.9748249345963391,0.6483294761593559,147.2561202695141,PLATEAU_DEGRADATION_FAIL
0,2,DRIVE_UP__RV_MID,5,LB180/H240;LB180/H360;LB240/H360;LB180/H480;LB240/H480,0.5643564356435643,0.608783136378154,1.348335111646732,1.9071756596918088,0,0,0.0,0,0,0.44339622641509435,-0.7760175079156828,0.537920359699604,193.63855872957774,PLATEAU_DEGRADATION_FAIL
0,3,DRIVE_UP__RANGE_MID,4,LB180/H360;LB120/H480;LB180/H480;LB240/H480,0.5892857142857143,0.6058245988612837,2.256883964774363,2.445133138977167,0,0,0.0,3,3,0.4385245901639344,0.27719099641239636,1.1372890895645122,113.70284717320726,PLATEAU_DEGRADATION_FAIL
1,1,DRIVE_UP__RANGE_MID,8,LB360/H120;LB360/H240;LB180/H360;LB240/H360;LB360/H360;LB180/H480;LB240/H480;LB360/H480,0.5594405594405595,0.6115101115101116,2.065269208107343,3.051711402388652,0,0,0.0,4,4,0.44139688249400477,0.09032984475209893,1.0462729219106883,152.39219323246357,PLATEAU_DEGRADATION_FAIL
1,2,EFF_HIGH__RV_LOW,8,LB240/H120;LB360/H120;LB240/H240;LB360/H240;LB180/H360;LB240/H360;LB360/H360;LB240/H480,0.5652173913043478,0.6350469142328532,1.0028535346604364,2.1633975115005546,2,0,0.25,3,3,0.4711348915798367,-0.28727179240271106,0.8153995617419142,71.2745959457431,PARTIAL_PLATEAU_PERSISTENCE
1,3,EFF_LOW__RANGE_MID,5,LB240/H240;LB360/H240;LB240/H360;LB360/H360;LB240/H480,0.5543478260869565,0.5749597423510467,1.4044623339105131,2.5209836674907504,0,0,0.0,0,0,0.4025974025974026,-1.6163165482776187,0.46511266006773777,170.95857479451382,PLATEAU_DEGRADATION_FAIL
2,1,DRIVE_DOWN__RANGE_MID,8,LB60/H120;LB120/H120;LB180/H120;LB240/H120;LB60/H240;LB120/H240;LB180/H240;LB180/H360,0.5608108108108109,0.6004603323086339,0.5774195273102101,1.0401223356032998,1,0,0.125,1,1,0.444980694980695,-0.4833960539941527,0.6848734747596463,251.37743297409415,PLATEAU_DEGRADATION_FAIL
2,2,DRIVE_DOWN__EFF_MID,6,LB180/H240;LB60/H360;LB120/H360;LB180/H360;LB60/H480;LB120/H480,0.5845070422535211,0.6119600832169235,0.7357864010725441,2.0947696571780643,3,0,0.5,3,3,0.5290074888615035,0.14643143980461742,1.0789568327431545,140.15346194428966,PARTIAL_PLATEAU_PERSISTENCE
2,3,RV_LOW__RANGE_MID,6,LB180/H120;LB180/H240;LB180/H360;LB240/H360;LB180/H480;LB240/H480,0.582089552238806,0.6562007037980828,1.3471150839914967,2.894763122198405,1,0,0.16666666666666666,2,2,0.4237891737891738,-0.4582629738800521,0.7140337689647376,72.06364154332519,PLATEAU_DEGRADATION_FAIL
3,1,DRIVE_DOWN__EXT_HIGH,2,LB180/H360;LB240/H360,0.5585585585585585,0.5610974610974611,1.069748739982337,1.188662008217468,0,0,0.0,1,1,0.47989180361335104,-0.29591080657553964,0.8838726345436565,134.80419832289613,PLATEAU_DEGRADATION_FAIL
3,2,EFF_MID__RV_MID,2,LB60/H360;LB60/H480,0.5974025974025974,0.5974025974025974,2.0001744445094016,2.146284870299323,0,0,0.0,0,0,0.48901098901098905,-0.4538473848607436,0.8015723871065461,95.19410820861306,PLATEAU_DEGRADATION_FAIL
