partition,target,boundary,n,wins,wr,pf,expectancy,net,tp_rate,inv_rate,time_rate,med_win,med_loss,med_hold,h2_rate,close_break_rate,max_loss_streak
external,E05,D30,42,27,0.6428571428571429,1.335729689045693,0.6823337268168345,28.658016526307048,0.6190476190476191,0.2857142857142857,0.09523809523809523,3.6282137702727373,-4.048203357916213,50.0,0.6428571428571429,0.47619047619047616,3
external,E05,D40,42,31,0.7380952380952381,1.249741373097548,0.5821623223421695,24.45081753837112,0.7142857142857143,0.16666666666666666,0.11904761904761904,3.2997898110622264,-7.929069767441888,87.5,0.7380952380952381,0.5476190476190477,2
external,E05,D50,42,31,0.7380952380952381,1.2557600104236164,0.5933346875716152,24.920056878007838,0.7142857142857143,0.11904761904761904,0.16666666666666666,3.2997898110622264,-4.2878266411727095,95.0,0.7380952380952381,0.5476190476190477,2
external,E05,D60,42,31,0.7380952380952381,1.363232599042223,0.7762267446110801,32.601523273665364,0.7142857142857143,0.047619047619047616,0.23809523809523808,3.2997898110622264,-4.471949578641765,95.0,0.7380952380952381,0.5476190476190477,2
external,E10,D30,42,26,0.6190476190476191,1.4545865004586296,0.9486771165968625,39.84443889706822,0.5952380952380952,0.2857142857142857,0.11904761904761904,4.258953225761875,-3.976740867152012,62.5,0.6428571428571429,0.5714285714285714,3
external,E10,D40,42,30,0.7142857142857143,1.3722118593655404,0.88793811748814,37.29340093450188,0.6904761904761905,0.16666666666666666,0.14285714285714285,3.791817750043403,-5.803937192339309,95.0,0.7380952380952381,0.6428571428571429,2
external,E10,D50,42,30,0.7142857142857143,1.378668587666193,0.8991104827175859,37.762640274138604,0.6904761904761905,0.11904761904761904,0.19047619047619047,3.791817750043403,-3.8436729409956234,100.0,0.7380952380952381,0.6428571428571429,2
external,E10,D60,42,30,0.7142857142857143,1.4937252540814725,1.0820025397570507,45.444106669796135,0.6904761904761905,0.047619047619047616,0.2619047619047619,3.791817750043403,-3.935734409730151,100.0,0.7380952380952381,0.6428571428571429,2
external,E15,D30,42,26,0.6190476190476191,1.6748887903832599,1.4084262313957616,59.15390171862199,0.5952380952380952,0.2857142857142857,0.11904761904761904,4.924517972299213,-3.976740867152012,67.5,0.6428571428571429,0.6190476190476191,3
external,E15,D40,42,30,0.7142857142857143,1.5645763828755637,1.3468375012104816,56.56717505084023,0.6666666666666666,0.16666666666666666,0.16666666666666666,4.390648857192437,-5.803937192339309,102.5,0.7380952380952381,0.6904761904761905,2
external,E15,D50,42,30,0.7142857142857143,1.5719382523572314,1.3580098664399274,57.03641439047695,0.6666666666666666,0.11904761904761904,0.21428571428571427,4.390648857192437,-3.8436729409956234,107.5,0.7380952380952381,0.6904761904761905,2
external,E15,D60,42,30,0.7142857142857143,1.7031242217373315,1.5409019234793921,64.71788078613447,0.6666666666666666,0.047619047619047616,0.2857142857142857,4.390648857192437,-3.935734409730151,107.5,0.7380952380952381,0.6904761904761905,2
