clock_block,wib,selected_target,reused_confirmed,dev_fills,dev_hit_fill,ext_fills,ext_hit_fill,val_fills,val_hit_fill
00-04,07-11,0.05,True,42,0.7142857142857143,27,0.8518518518518519,32,0.71875
04-08,11-15,0.15,True,38,0.7631578947368421,38,0.8421052631578947,20,0.75
08-12,15-19,0.15,True,50,0.78,40,0.725,24,0.8333333333333334
12-16,19-23,0.1,True,76,0.7236842105263158,31,0.7419354838709677,41,0.7804878048780488
16-20,23-03,0.1,False,54,0.7777777777777778,25,0.64,27,0.5925925925925926
20-00,03-07,0.15,True,37,0.7027027027027027,22,0.6818181818181818,29,0.6896551724137931
