hour_wib,component_rank,character_rule,component_size,component_cells,dev_component_wr_min,dev_component_wr_mean,dev_component_exp_floor,dev_component_exp_mean,test_viable_cells,test_stable_cells,test_viable_fraction,test_positive_net_cells,test_positive_exp_cells,test_median_wr,test_median_exp,test_median_pf,test_max_dd,test_max_ls,risk_warning_cells,verdict
0,1,EFF_LOW__RV_MID,7,LB360/H240;LB240/H360;LB360/H360;LB240/H480;LB360/H480;LB360/H720;LB360/H960,0.5483870967741935,0.6127596652167047,0.8180678122302083,2.341345698329913,0,0,0.0,0,0,0.42452830188679247,-0.7640039640840551,0.7138550536525426,228.39007742743635,19,5,PLATEAU_DEGRADATION_FAIL
0,2,DRIVE_UP__RV_MID,7,LB360/H240;LB240/H360;LB360/H360;LB240/H480;LB360/H480;LB240/H720;LB240/H960,0.5241379310344828,0.6035467980295568,0.9372905511172256,1.6795158470296838,0,0,0.0,0,0,0.36231884057971014,-1.2318634067123724,0.503282247803648,320.0065130466387,35,6,PLATEAU_DEGRADATION_FAIL
0,3,RV_MID__RANGE_LOW,6,LB240/H360;LB360/H360;LB360/H480;LB240/H720;LB360/H720;LB360/H960,0.550561797752809,0.6611896419797832,0.8933716933458937,2.6365699358782293,0,0,0.0,1,1,0.373134328358209,-0.4888351381176306,0.7518978642100651,129.06834069202432,17,2,PLATEAU_DEGRADATION_FAIL
1,1,EFF_MID__RV_MID,5,LB30/H240;LB30/H360;LB30/H480;LB30/H720;LB30/H960,0.5391304347826087,0.5791304347826087,1.1193407060065603,1.8907888287284769,0,0,0.0,5,5,0.4732142857142857,0.46423950552432025,1.3420602542709683,92.47837299609171,9,0,PLATEAU_DEGRADATION_FAIL
1,2,DRIVE_UP__RV_MID,5,LB360/H360;LB360/H480;LB240/H720;LB360/H720;LB240/H960,0.5337837837837838,0.5624186230025646,0.9052714487322634,2.006287238207938,0,0,0.0,0,0,0.41317365269461076,-0.6254929470939202,0.7797945776569584,329.94149851097313,28,5,PLATEAU_DEGRADATION_FAIL
1,3,DRIVE_UP__RV_MID,5,LB30/H240;LB30/H360;LB30/H480;LB30/H720;LB60/H720,0.5287356321839081,0.5362186253811869,0.5607659240083099,0.875594860296453,0,0,0.0,0,0,0.423728813559322,-0.5905508861324376,0.7406277933858073,345.5217117806505,19,3,PLATEAU_DEGRADATION_FAIL
2,1,DRIVE_UP__RV_MID,9,LB120/H240;LB120/H360;LB120/H480;LB30/H720;LB60/H720;LB120/H720;LB180/H720;LB240/H720;LB120/H960,0.5253164556962026,0.5639454955252314,0.7890178343767873,1.243901281846052,0,0,0.0,2,2,0.45789473684210524,-0.27209329464527177,0.910425721872539,295.07318993546926,20,2,PLATEAU_DEGRADATION_FAIL
2,2,RV_MID__RANGE_HIGH,7,LB30/H720;LB60/H720;LB120/H720;LB180/H720;LB30/H960;LB60/H960;LB120/H960,0.5205479452054794,0.5739690078537684,0.9344076539079308,1.5114334892288637,0,0,0.0,1,1,0.4520547945205479,-1.5682373518236445,0.6093048023885266,165.64827421628289,8,0,PLATEAU_DEGRADATION_FAIL
2,3,RV_MID__RANGE_LOW,6,LB30/H240;LB60/H240;LB120/H240;LB30/H360;LB60/H360;LB120/H360,0.5434782608695652,0.581214031069633,0.7592657196760889,1.1559842088507877,0,0,0.0,2,2,0.43109896432681244,-0.1848154302460083,0.9065730305722872,148.7736062913866,13,1,PLATEAU_DEGRADATION_FAIL
3,1,RV_MID__RANGE_LOW,5,LB30/H240;LB30/H360;LB30/H480;LB30/H720;LB30/H960,0.5632183908045977,0.5839080459770114,0.5672150294325127,1.480706922955468,0,0,0.0,0,0,0.4418604651162791,-0.9229846079093657,0.5203078461052659,154.96195065716168,9,0,PLATEAU_DEGRADATION_FAIL
3,2,EFF_MID__RV_MID,5,LB60/H360;LB60/H480;LB30/H720;LB60/H720;LB60/H960,0.5333333333333333,0.561096681096681,1.0344148323197115,1.6914232166927303,0,0,0.0,2,2,0.4774774774774775,-0.14203208722004151,0.9493549584742438,139.03193070782282,10,0,PLATEAU_DEGRADATION_FAIL
3,3,EFF_LOW__RANGE_MID,5,LB120/H360;LB120/H480;LB120/H720;LB180/H720;LB180/H960,0.5444444444444444,0.5618604651162791,1.190334810549996,1.8301304780406624,0,0,0.0,1,1,0.47619047619047616,-0.24331815210791313,0.8831907430571756,233.38147943826777,13,1,PLATEAU_DEGRADATION_FAIL
4,1,DRIVE_DOWN__STR_B20_40,6,LB240/H240;LB240/H360;LB240/H480;LB240/H720;LB360/H720;LB240/H960,0.5425531914893617,0.5822508398656215,0.7892742948897167,1.4042912693479854,0,0,0.0,0,0,0.5046296296296297,-0.4935537080588914,0.8056601450384029,177.62766733319435,13,1,PLATEAU_DEGRADATION_FAIL
