transition,k,purity,min_target_prob,max_opp_prob,total_n,purity_rank
LONDON_TO_NEWYORK,1,OPP0,0.791907514450867,0.1411764705882353,378,0
LONDON_TO_NEWYORK,1,ALL,0.7712765957446809,0.13829787234042554,407,1
ASIA_TO_LONDON,1,ALL,0.7325581395348837,0.03488372093023256,342,1
ASIA_TO_LONDON,1,OPP0,0.7261904761904762,0.03571428571428571,334,0
