candidate,year,n,mean_r,cum_r,pf_r,win_rate
FIXED_075R,2020,8,0.48288627639155446,3.8630902111324357,4.863090211132436,0.875
FIXED_075R,2021,57,-0.0006497429180278184,-0.03703534632758565,0.9982912065048709,0.5964912280701754
FIXED_075R,2022,42,0.19268031113314682,8.092573067592166,1.7172612319777842,0.6666666666666666
FIXED_075R,2023,53,-0.033249790055471275,-1.7622388729399776,0.9163990540395095,0.5849056603773585
FIXED_075R,2024,58,0.0501322943794045,2.9076730740054613,1.1602137474734666,0.6551724137931034
FIXED_100R,2020,8,0.6391362763915545,5.113090211132436,6.113090211132436,0.875
FIXED_100R,2021,57,0.06778871657755789,3.8639568449208,1.1704181420021942,0.5789473684210527
FIXED_100R,2022,42,0.15244116824698925,6.402529066373549,1.4472479987834606,0.5714285714285714
FIXED_100R,2023,53,0.0012211263238337126,0.06471969516318676,1.0029312552923146,0.5660377358490566
FIXED_100R,2024,58,0.03246956589548582,1.8832348219381778,1.0890472606784336,0.603448275862069
FIXED_150R,2020,8,0.8555177984334538,6.84414238746763,7.84414238746763,0.875
FIXED_150R,2021,57,0.03963582038744079,2.259241762084125,1.0879993581079186,0.5263157894736842
FIXED_150R,2022,42,0.15751122070602047,6.6154712696528595,1.4319492821762223,0.5476190476190477
FIXED_150R,2023,53,0.059010913622608616,3.1275784219982565,1.1355151810859117,0.5471698113207547
FIXED_150R,2024,58,0.12981228708465317,7.529112650909884,1.3560081032342302,0.603448275862069
STRUCTURAL_CAP_100R,2020,8,0.4442307692307692,3.5538461538461537,4.553846153846154,0.875
STRUCTURAL_CAP_100R,2021,57,0.015444986267552523,0.8803642172504937,1.0425844167393523,0.6140350877192983
STRUCTURAL_CAP_100R,2022,42,0.10328823026037945,4.338105670935937,1.3266005896216548,0.6190476190476191
STRUCTURAL_CAP_100R,2023,53,-0.06249337515088363,-3.312148882996832,0.849987644136174,0.5660377358490566
STRUCTURAL_CAP_100R,2024,58,0.05169881152911172,2.9985310686884796,1.1652200530124994,0.6551724137931034
STRUCTURAL_CAP_150R,2020,8,0.5692307692307692,4.553846153846154,5.553846153846154,0.875
STRUCTURAL_CAP_150R,2021,57,0.0003901660771557543,0.022239466397877994,1.0010261185403722,0.5964912280701754
STRUCTURAL_CAP_150R,2022,42,0.0946606469640605,3.975747172490541,1.27836294467271,0.5952380952380952
STRUCTURAL_CAP_150R,2023,53,-0.023479891992896244,-1.244434275623501,0.9436376431137158,0.5660377358490566
STRUCTURAL_CAP_150R,2024,58,0.07971256177905658,4.623328583185282,1.254746933118216,0.6551724137931034
STRUCTURAL_CAP_200R,2020,8,0.6942307692307692,5.553846153846154,6.553846153846154,0.875
STRUCTURAL_CAP_200R,2021,57,0.0010328989467243105,0.0588752399632857,1.002716475935814,0.5964912280701754
STRUCTURAL_CAP_200R,2022,42,0.0946606469640605,3.975747172490541,1.27836294467271,0.5952380952380952
STRUCTURAL_CAP_200R,2023,53,-0.01624125428078032,-0.860786476881357,0.9610136464711514,0.5660377358490566
STRUCTURAL_CAP_200R,2024,58,0.088333251434229,5.123328583185282,1.2822970983870996,0.6551724137931034
