episode_id,partition,outcome,transition,entry_ts,entry_px,regime_exit_effective_ts,observation_bars,observation_hours,local_low,local_r_abs,local_r_pct_entry,min_low,max_high,mae_abs,mfe_abs,mae_pct_entry,mfe_pct_entry,mae_local_r,mfe_local_r,local_low_breached,mae_bar_start,mfe_bar_start,minutes_to_mae,minutes_to_mfe,reach_1r,reach_1p5r,reach_2r,exit_open,detector_exit_return
586,development,RESUME,False,2022-01-25 02:10:00+00:00,36169.17,2022-01-25 08:00:00+00:00,70,5.833333333333333,35942.59,226.58000000000175,0.006264451188678141,35693.0,36480.0,476.16999999999825,310.83000000000175,0.013165079541498969,0.008593783047827798,2.10155353517519,1.371833348044838,True,2022-01-25 07:10:00+00:00,2022-01-25 04:00:00+00:00,300.0,110.0,True,False,False,36033.41,-0.0037534729162984615
670,development,TRANSITION,True,2022-04-28 07:40:00+00:00,39475.0,2022-04-28 16:00:00+00:00,100,8.333333333333334,39432.8,42.19999999999709,0.0010690310322988496,38861.8,40334.0,613.1999999999971,859.0,0.015533882203926461,0.02176060797973401,14.530805687204724,20.355450236968228,True,2022-04-28 14:00:00+00:00,2022-04-28 15:05:00+00:00,380.0,445.0,True,True,True,39428.1,-0.0011880937302090055
673,development,RESUME,False,2022-05-02 04:40:00+00:00,38700.1,2022-05-02 12:00:00+00:00,88,7.333333333333333,38572.8,127.29999999999563,0.003289397185020081,38460.0,39155.0,240.09999999999854,454.90000000000146,0.0062041183356114984,0.011754491590461045,1.8860958366064948,3.5734485467401185,True,2022-05-02 11:55:00+00:00,2022-05-02 06:05:00+00:00,435.0,85.0,True,True,True,38515.9,-0.0047596776235719895
689,development,TRANSITION,True,2022-05-15 12:20:00+00:00,30436.9,2022-05-15 20:00:00+00:00,92,7.666666666666667,30292.5,144.40000000000146,0.004744241364922231,29747.6,30555.0,689.3000000000029,118.09999999999854,0.02264685299751298,0.00388015862325002,4.773545706371163,0.817867036011062,True,2022-05-15 14:30:00+00:00,2022-05-15 12:20:00+00:00,130.0,0.0,False,False,False,30452.1,0.0004993938278865517
715,development,RESUME,False,2022-06-05 17:25:00+00:00,30044.0,2022-06-06 00:00:00+00:00,79,6.583333333333333,29746.4,297.59999999999854,0.009905471974437443,29794.6,30128.4,249.40000000000146,84.40000000000146,0.00830115830115835,0.002809213154040789,0.8380376344086111,0.2836021505376407,False,2022-06-05 21:15:00+00:00,2022-06-05 17:40:00+00:00,230.0,15.0,False,False,False,29910.0,-0.004460125149780336
788,development,RESUME,False,2022-08-23 20:30:00+00:00,21563.3,2022-08-24 04:00:00+00:00,90,7.5,21524.7,38.599999999998545,0.0017900785130290143,21132.3,21593.9,431.0,30.600000000002183,0.019987664225791044,0.0014190777849402542,11.165803108808712,0.7927461139897237,True,2022-08-24 02:50:00+00:00,2022-08-23 23:25:00+00:00,380.0,175.0,False,False,False,21253.1,-0.014385553231648252
798,development,RESUME,False,2022-08-30 01:50:00+00:00,20140.4,2022-08-30 16:00:00+00:00,170,14.166666666666666,20100.0,40.400000000001455,0.0020059184524637767,19634.4,20574.0,506.0,433.59999999999854,0.02512363210263947,0.02152886735119454,12.524752475247073,10.73267326732631,True,2022-08-30 15:30:00+00:00,2022-08-30 07:30:00+00:00,820.0,340.0,True,True,True,19743.7,-0.019696728962682042
916,development,TRANSITION,True,2022-12-20 08:45:00+00:00,16802.7,2022-12-21 00:00:00+00:00,183,15.25,16760.8,41.900000000001455,0.002493646854374681,16684.0,17049.6,118.70000000000073,246.89999999999782,0.007064340849982486,0.01469406702494229,2.8329355608591076,5.89260143198065,True,2022-12-20 14:45:00+00:00,2022-12-20 15:30:00+00:00,360.0,405.0,True,True,True,16887.3,0.0050349051045366355
957,development,TRANSITION,True,2023-02-07 22:30:00+00:00,23166.9,2023-02-08 08:00:00+00:00,114,9.5,23150.0,16.900000000001455,0.0007294890555059786,23161.1,23450.0,5.80000000000291,283.09999999999854,0.0002503571906471263,0.01222002080554578,0.343195266272332,16.7514792899393,False,2023-02-07 22:30:00+00:00,2023-02-08 01:10:00+00:00,0.0,160.0,True,True,True,23227.0,0.002594218475497234
1001,development,TRANSITION,True,2023-03-26 14:45:00+00:00,27797.4,2023-03-26 20:00:00+00:00,63,5.25,27703.2,94.20000000000073,0.003388806147337547,27590.6,27934.7,206.8000000000029,137.29999999999927,0.007439544705620055,0.00493931087080084,2.195329087048846,1.4575371549893652,True,2023-03-26 16:55:00+00:00,2023-03-26 18:10:00+00:00,130.0,205.0,True,False,False,27814.0,0.0005971781533524734
