role,partition,dev_block,execution_start,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,signal_ts,confirm_ts,reentry_ts,reentry_price,reentry_R,exit_ts,exit_price,exit_reason,floor_close_ts,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,ref_width_pct,parent_mfe_R,parent_mae_R,parent_hold_min,exit_to_signal_min,signal_to_confirm_min,confirm_to_e20_min,confirm_close_R,confirm_body_R,running_mfe_R_to_confirm,running_mae_R_to_confirm,preconfirm_30m_return_R,preexit_60m_return_R,preexit_60m_range_R,preentry_30m_return_R,preentry_30m_range_R,preentry_60m_return_R,preentry_60m_range_R,last_completed_close_R_before_e20,stress_outcome,raw_outcome
CENTRAL,development,0,2022-01-01 15:00:00+00:00,173.37,170.52,2.8499999999999943,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,-0.2018803714598505,-0.4518803714598505,2022-01-01 16:00:00+00:00,2022-01-01 16:10:00+00:00,2022-01-01 16:15:00+00:00,173.94,0.2,2022-01-01 16:25:00+00:00,174.51,TARGET,,1.6384960331148335,1.3884960331148335,1.436615661654983,0.936615661654983,True,True,0.016438830247447623,0.30526315789473907,0.12631578947368924,25.0,10.0,10.0,5.0,0.2561403508771899,-0.06315789473684462,0.3964912280701746,0.12631578947368924,0.17543859649122842,0.30526315789473907,0.7157894736842191,0.27368421052631675,0.5228070175438638,0.3894736842105219,0.6912280701754395,0.2561403508771899,WIN,WIN
CENTRAL,development,0,2022-01-02 15:00:00+00:00,176.75,174.66,2.0900000000000034,2022-01-02 16:10:00+00:00,2022-01-02 16:20:00+00:00,-0.622347949080615,-0.872347949080615,2022-01-02 16:35:00+00:00,2022-01-02 16:45:00+00:00,2022-01-02 16:50:00+00:00,177.168,0.2,2022-01-02 16:55:00+00:00,177.586,TARGET,,1.1796712724645442,0.9296712724645442,0.5573233233839292,0.0573233233839292,True,True,0.011824611032531844,0.13397129186602905,0.157894736842111,10.0,15.0,10.0,5.0,0.2870813397129155,0.062200956937796766,0.35885167464114776,0.22009569377990776,0.38755980861244066,0.4688995215310948,0.7846889952153168,0.3732057416267942,0.5789473684210555,0.6172248803827703,0.7799043062200922,0.2870813397129155,WIN,WIN
CENTRAL,development,0,2022-01-06 15:00:00+00:00,151.09,146.22,4.8700000000000045,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,-1.0920643325170731,-1.3420643325170731,2022-01-06 17:25:00+00:00,2022-01-06 17:35:00+00:00,2022-01-06 17:40:00+00:00,152.064,0.2,2022-01-06 18:10:00+00:00,153.038,TARGET,,3.2025989057239412,2.9525989057239412,2.110534573206868,1.610534573206868,True,True,0.03223244423853335,0.09445585215605905,0.14168377823408565,10.0,10.0,10.0,5.0,0.2874743326488715,0.12320328542094912,0.30390143737166087,0.14168377823408565,0.20739219712526044,0.17453798767967013,0.5646817248459953,0.3552361396303935,0.4455852156057465,0.5174537987679687,0.5995893223819271,0.2874743326488715,WIN,WIN
CENTRAL,development,0,2022-02-01 15:00:00+00:00,111.04,103.75,7.290000000000006,2022-02-01 16:30:00+00:00,2022-02-01 16:45:00+00:00,-0.7654899135446924,-1.0154899135446924,2022-02-01 16:50:00+00:00,2022-02-01 17:00:00+00:00,2022-02-01 17:05:00+00:00,112.498,0.2,2022-02-01 17:35:00+00:00,111.25,E10_FLOOR,2022-02-01 17:30:00+00:00,-5.546765275827148,-5.796765275827148,-6.312255189371841,-6.812255189371841,False,False,0.06565201729106633,0.1714677640603565,0.1810699588477375,15.0,5.0,10.0,5.0,0.24828532235939457,-0.0013717421124835537,0.35253772290809204,0.03703703703703841,0.22908093278463457,0.5843621399176937,0.705075445816186,0.15500685871056166,0.4156378600823043,0.39368998628257723,0.6762688614540451,0.24828532235939457,FAIL,FAIL
CENTRAL,development,0,2022-02-20 15:00:00+00:00,90.98,87.37,3.6099999999999994,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,-0.16487140030774228,-0.4148714003077423,2022-02-20 18:05:00+00:00,2022-02-20 18:15:00+00:00,2022-02-20 18:20:00+00:00,91.702,0.2,2022-02-20 18:40:00+00:00,92.424,TARGET,,3.9366644129898987,3.6866644129898987,3.7717930126821564,3.2717930126821564,True,True,0.03967905034073422,0.14404432132963882,0.08310249307479146,20.0,5.0,10.0,5.0,0.20775623268698065,-0.02770083102492918,0.274238227146813,0.04986149584487724,0.08864265927978045,0.19390581717451605,0.40997229916897626,0.17728531855955698,0.33795013850415484,0.3102493074792257,0.47922437673130314,0.20775623268698065,WIN,WIN
CENTRAL,development,1,2022-08-21 15:00:00+00:00,36.27,35.48,0.7900000000000063,2022-08-21 16:45:00+00:00,2022-08-21 17:00:00+00:00,0.0,-0.25,2022-08-21 17:05:00+00:00,2022-08-21 17:15:00+00:00,2022-08-21 17:20:00+00:00,36.428000000000004,0.2,2022-08-21 17:45:00+00:00,36.28,E10_FLOOR,2022-08-21 17:40:00+00:00,-2.0314044141869214,-2.2814044141869214,-2.0314044141869214,-2.5314044141869214,False,False,0.0217810862972155,0.34177215189872645,0.15189873417721975,15.0,5.0,10.0,5.0,0.1645569620253094,-0.08860759493670851,0.29113924050632284,0.07594936708860987,0.24050632911391928,0.29113924050633183,0.9240506329113811,-0.08860759493670851,0.4430379746835426,0.7215189873417668,0.9240506329113811,0.1645569620253094,FAIL,FAIL
CENTRAL,development,1,2022-09-05 15:00:00+00:00,31.77,31.12,0.6499999999999986,2022-09-05 15:00:00+00:00,2022-09-05 15:25:00+00:00,-0.15738117721114664,-0.40738117721114664,2022-09-05 15:35:00+00:00,2022-09-05 15:45:00+00:00,2022-09-05 15:50:00+00:00,31.9,0.2,2022-09-05 15:55:00+00:00,31.82,E10_FLOOR_ENTRY_BAR,2022-09-05 15:50:00+00:00,-1.2539184952977678,-1.5039184952977678,-1.4112996725089144,-1.9112996725089144,False,False,0.020459553037456675,0.21538461538461673,0.1692307692307687,25.0,10.0,10.0,5.0,0.13846153846153855,0.06153846153846036,0.18461538461538654,0.13846153846153855,0.03076923076923018,0.2769230769230771,0.6461538461538502,0.1692307692307687,0.35384615384615525,0.4461538461538458,0.569230769230772,0.13846153846153855,FAIL,FAIL
CENTRAL,development,1,2022-09-26 15:00:00+00:00,33.41,32.1,1.3099999999999952,2022-09-26 18:05:00+00:00,2022-09-26 18:30:00+00:00,-0.5986231667165498,-0.8486231667165498,2022-09-26 18:45:00+00:00,2022-09-26 18:55:00+00:00,2022-09-26 19:00:00+00:00,33.672,0.2,2022-09-26 20:35:00+00:00,33.5,E10_FLOOR,2022-09-26 20:30:00+00:00,-2.5540508434306886,-2.804050843430689,-3.1526740101472384,-3.652674010147239,False,False,0.03920981741993401,0.16030534351145162,0.1603053435114462,25.0,15.0,10.0,5.0,0.16030534351145162,-0.05343511450381721,0.2519083969465699,0.06870229007633331,0.1832061068702258,0.3587786259541989,0.5496183206106882,0.15267175572518815,0.32061068702290324,0.2900763358778602,0.534351145038172,0.16030534351145162,FAIL,FAIL
CENTRAL,development,1,2022-10-05 15:00:00+00:00,33.78,33.15,0.6300000000000026,2022-10-05 16:05:00+00:00,2022-10-05 16:25:00+00:00,0.0,-0.25,2022-10-05 16:50:00+00:00,2022-10-05 17:00:00+00:00,2022-10-05 17:05:00+00:00,33.906,0.2,2022-10-05 17:20:00+00:00,34.032000000000004,TARGET,,1.8580782162449516,1.6080782162449516,1.8580782162449516,1.3580782162449516,True,True,0.01865008880994679,0.17460317460317298,0.2857142857142841,20.0,25.0,10.0,5.0,0.15873015873016033,0.04761904761904923,0.3333333333333333,0.23809523809523486,0.3650793650793699,0.2539682539682588,0.6031746031746048,0.301587301587308,0.5714285714285682,0.19047619047619693,0.6190476190476174,0.15873015873016033,WIN,WIN
CENTRAL,development,1,2022-10-17 15:00:00+00:00,31.19,30.16,1.0300000000000011,2022-10-17 23:35:00+00:00,2022-10-17 23:55:00+00:00,0.0,-0.25,2022-10-18 00:20:00+00:00,2022-10-18 00:30:00+00:00,2022-10-18 00:35:00+00:00,31.396,0.2,2022-10-18 00:50:00+00:00,31.27,E10_FLOOR,2022-10-18 00:45:00+00:00,-2.006625047776822,-2.256625047776822,-2.006625047776822,-2.506625047776822,False,False,0.033023404937479996,0.0873786407766988,0.058252427184468165,20.0,25.0,10.0,5.0,0.26213592233009636,0.09708737864077797,0.27184466019417214,0.0873786407766988,0.3203883495145646,0.1747572815533976,0.29126213592233047,0.29126213592233047,0.3592233009708709,0.23300970873786575,0.3592233009708709,0.26213592233009636,FAIL,FAIL
