partition,timeframe,signal_ts,entry_ts,exit_ts,entry_px,exit_px,return,mfe,mae,bars_held,hold_minutes,gross_pnl_usd,fee_sensitive_pnl_usd,exit_reason,context_15m,context_1h,context_4h
external,5m,2020-01-01 06:05:00+00:00,2020-01-01 06:10:00+00:00,2020-01-01 06:55:00+00:00,7223.92,7219.28,-0.0006423105460747758,0.0008416483017530396,-0.0007419794239138522,9,45,-0.3211552730373879,-0.7211552730373879,DYNAMIC_DETERIORATION_CUT,TRANSITION,TRANSITION,TRANSITION
external,5m,2020-01-01 07:20:00+00:00,2020-01-01 07:25:00+00:00,2020-01-01 07:35:00+00:00,7226.2,7217.0,-0.0012731449447842547,0.0001383853200851437,-0.0012731449447842547,2,10,-0.6365724723921273,-1.0365724723921272,REVERSAL_CUT,TRANSITION,TRANSITION,TRANSITION
external,5m,2020-01-01 11:25:00+00:00,2020-01-01 11:30:00+00:00,2020-01-01 11:55:00+00:00,7217.75,7190.05,-0.003837761075127233,0.0016099199889161309,-0.004536039624536747,5,25,-1.9188805375636164,-2.3188805375636163,REVERSAL_CUT,TRANSITION,TRANSITION,TRANSITION
external,5m,2020-01-01 12:15:00+00:00,2020-01-01 12:20:00+00:00,2020-01-01 13:20:00+00:00,7209.54,7210.45,0.00012622164520892376,0.0020417391400837648,-0.0011859286445460304,12,60,0.06311082260446188,-0.33688917739553814,DYNAMIC_DETERIORATION_CUT,TRANSITION,TRANSITION,TRANSITION
external,5m,2020-01-01 13:20:00+00:00,2020-01-01 13:25:00+00:00,2020-01-01 14:00:00+00:00,7218.0,7215.49,-0.00034774175671936636,0.0012330285397617047,-0.000716264893322216,7,35,-0.17387087835968318,-0.5738708783596832,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,TRANSITION,TRANSITION
external,5m,2020-01-01 14:25:00+00:00,2020-01-01 14:30:00+00:00,2020-01-01 14:50:00+00:00,7226.74,7217.01,-0.0013463885514076734,0.00023938871469031398,-0.0015539510207921436,4,20,-0.6731942757038367,-1.0731942757038366,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,TRANSITION,TRANSITION
external,5m,2020-01-01 15:30:00+00:00,2020-01-01 15:35:00+00:00,2020-01-01 15:50:00+00:00,7227.31,7222.68,-0.0006406256269622101,0.004582617875807271,-0.00079282609989062,3,15,-0.3203128134811051,-0.7203128134811051,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,TRANSITION,TRANSITION
external,5m,2020-01-01 16:50:00+00:00,2020-01-01 16:55:00+00:00,2020-01-01 18:05:00+00:00,7233.0,7229.21,-0.0005239872805198331,0.0020738282870178537,-0.0015373980367758833,14,70,-0.26199364025991656,-0.6619936402599166,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,TRANSITION,TRANSITION
external,5m,2020-01-01 18:10:00+00:00,2020-01-01 18:15:00+00:00,2020-01-01 18:30:00+00:00,7239.69,7233.0,-0.000924072715820623,0.0003121680624447176,-0.0009226914412080456,3,15,-0.4620363579103115,-0.8620363579103115,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,TRANSITION,TRANSITION
external,5m,2020-01-01 19:00:00+00:00,2020-01-01 19:05:00+00:00,2020-01-01 19:10:00+00:00,7235.49,7230.29,-0.0007186797300527958,1.3820764039884637e-06,-0.0008983496625660781,1,5,-0.3593398650263979,-0.7593398650263979,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,TRANSITION,TRANSITION
