leak_type,candidate,partition,n,baseline_t10,t10_rate,uplift,eligible_dev,order,selected_dev
BE,REBREAK_AT_EXIT,development,40,0.7757009345794392,0.825,0.04929906542056073,False,0,False
BE,T5_AT_EXIT,development,0,0.7757009345794392,,,False,1,False
BE,FAST_L_TOUCH_10M,development,44,0.7757009345794392,0.75,-0.025700934579439227,False,2,False
BE,NO_F25_CLOSE_BEFORE_EXIT,development,77,0.7757009345794392,0.7532467532467533,-0.022454181332685952,False,3,False
BE,LAST_CLOSE_LE_F05,development,64,0.7757009345794392,0.828125,0.05242406542056077,False,4,False
TIME_OTHER,REBREAK_AT_EXIT,development,3,0.41818181818181815,0.6666666666666666,0.24848484848484848,False,0,False
TIME_OTHER,T5_AT_EXIT,development,0,0.41818181818181815,,,False,1,False
TIME_OTHER,FAST_L_TOUCH_10M,development,1,0.41818181818181815,0.0,-0.41818181818181815,False,2,False
TIME_OTHER,NO_F25_CLOSE_BEFORE_EXIT,development,11,0.41818181818181815,0.5454545454545454,0.12727272727272726,False,3,False
TIME_OTHER,LAST_CLOSE_LE_F05,development,6,0.41818181818181815,0.8333333333333334,0.4151515151515152,False,4,False
BE,NONE,external,0,0.746268656716418,,,False,-1,False
BE,NONE,reference_validation,0,0.7049180327868853,,,False,-1,False
BE,NONE,POOLED_OOS,0,0.7265625,,,False,-1,False
TIME_OTHER,NONE,external,0,0.3783783783783784,,,False,-1,False
TIME_OTHER,NONE,reference_validation,0,0.5128205128205128,,,False,-1,False
TIME_OTHER,NONE,POOLED_OOS,0,0.4473684210526316,,,False,-1,False
