warning_family,motif,dev_block,adequate,fail_n,target_n,fail_hit,target_hit,gap,ratio
W10,TWO_BODY_CONTRACTIONS,1,True,37,16,0.08108108108108109,0.0,0.08108108108108109,inf
W10,TWO_BODY_CONTRACTIONS,2,True,41,9,0.07317073170731707,0.0,0.07317073170731707,inf
W10,TWO_BODY_CONTRACTIONS,3,True,30,8,0.03333333333333333,0.0,0.03333333333333333,inf
W10,TWO_BODY_CONTRACTIONS,4,True,46,10,0.021739130434782608,0.0,0.021739130434782608,inf
W10,TWO_BODY_CONTRACTIONS,5,True,39,12,0.02564102564102564,0.0,0.02564102564102564,inf
W10,TWO_NEAR_H10,0,True,40,8,0.0,0.0,0.0,
W10,TWO_NEAR_H10,1,True,37,16,0.0,0.0,0.0,
W10,TWO_NEAR_H10,2,True,41,9,0.0,0.0,0.0,
W10,TWO_NEAR_H10,3,True,30,8,0.0,0.0,0.0,
W10,TWO_NEAR_H10,4,True,46,10,0.0,0.0,0.0,
W10,TWO_NEAR_H10,5,True,39,12,0.0,0.0,0.0,
W10,TWO_NEAR_H05,0,True,40,8,0.0,0.0,0.0,
W10,TWO_NEAR_H05,1,True,37,16,0.0,0.0,0.0,
W10,TWO_NEAR_H05,2,True,41,9,0.0,0.0,0.0,
W10,TWO_NEAR_H05,3,True,30,8,0.0,0.0,0.0,
W10,TWO_NEAR_H05,4,True,46,10,0.0,0.0,0.0,
W10,TWO_NEAR_H05,5,True,39,12,0.0,0.0,0.0,
W10,H05_DEEPEN_FROM_H10,0,True,40,8,0.0,0.0,0.0,
W10,H05_DEEPEN_FROM_H10,1,True,37,16,0.0,0.0,0.0,
W10,H05_DEEPEN_FROM_H10,2,True,41,9,0.0,0.0,0.0,
W10,H05_DEEPEN_FROM_H10,3,True,30,8,0.0,0.0,0.0,
W10,H05_DEEPEN_FROM_H10,4,True,46,10,0.0,0.0,0.0,
W10,H05_DEEPEN_FROM_H10,5,True,39,12,0.0,0.0,0.0,
W05,LOWER_CLOSE_1,0,True,31,4,0.2903225806451613,0.0,0.2903225806451613,inf
W05,LOWER_CLOSE_1,1,True,30,7,0.23333333333333334,0.0,0.23333333333333334,inf
W05,LOWER_CLOSE_1,2,True,33,5,0.21212121212121213,0.2,0.012121212121212116,1.0606060606060606
W05,LOWER_CLOSE_1,3,True,25,5,0.24,0.4,-0.16000000000000003,0.6
W05,LOWER_CLOSE_1,4,True,37,4,0.35135135135135137,0.25,0.10135135135135137,1.4054054054054055
W05,LOWER_CLOSE_1,5,True,28,6,0.35714285714285715,0.5,-0.14285714285714285,0.7142857142857143
W05,LOWER_HIGH_1,0,True,31,4,0.2903225806451613,0.0,0.2903225806451613,inf
W05,LOWER_HIGH_1,1,True,30,7,0.16666666666666666,0.14285714285714285,0.023809523809523808,1.1666666666666667
W05,LOWER_HIGH_1,2,True,33,5,0.24242424242424243,0.4,-0.1575757575757576,0.6060606060606061
W05,LOWER_HIGH_1,3,True,25,5,0.32,0.4,-0.08000000000000002,0.7999999999999999
W05,LOWER_HIGH_1,4,True,37,4,0.32432432432432434,0.0,0.32432432432432434,inf
W05,LOWER_HIGH_1,5,True,28,6,0.32142857142857145,0.16666666666666666,0.1547619047619048,1.9285714285714288
W05,RANGE_CONTRACT_1,0,True,31,4,0.3225806451612903,0.5,-0.1774193548387097,0.6451612903225806
W05,RANGE_CONTRACT_1,1,True,30,7,0.4666666666666667,0.14285714285714285,0.3238095238095238,3.266666666666667
W05,RANGE_CONTRACT_1,2,True,33,5,0.42424242424242425,0.4,0.024242424242424232,1.0606060606060606
W05,RANGE_CONTRACT_1,3,True,25,5,0.24,0.4,-0.16000000000000003,0.6
W05,RANGE_CONTRACT_1,4,True,37,4,0.5135135135135135,0.5,0.013513513513513487,1.027027027027027
W05,RANGE_CONTRACT_1,5,True,28,6,0.5,0.16666666666666666,0.33333333333333337,3.0
W05,BODY_CONTRACT_1,0,True,31,4,0.2903225806451613,0.5,-0.2096774193548387,0.5806451612903226
W05,BODY_CONTRACT_1,1,True,30,7,0.4,0.14285714285714285,0.2571428571428572,2.8000000000000003
W05,BODY_CONTRACT_1,2,True,33,5,0.48484848484848486,0.2,0.28484848484848485,2.4242424242424243
W05,BODY_CONTRACT_1,3,True,25,5,0.28,0.2,0.08000000000000002,1.4000000000000001
W05,BODY_CONTRACT_1,4,True,37,4,0.4594594594594595,0.5,-0.040540540540540515,0.918918918918919
W05,BODY_CONTRACT_1,5,True,28,6,0.39285714285714285,0.16666666666666666,0.2261904761904762,2.357142857142857
W05,LOWER_HIGH_AND_CLOSE_1,0,True,31,4,0.25806451612903225,0.0,0.25806451612903225,inf
W05,LOWER_HIGH_AND_CLOSE_1,1,True,30,7,0.16666666666666666,0.0,0.16666666666666666,inf
W05,LOWER_HIGH_AND_CLOSE_1,2,True,33,5,0.12121212121212122,0.2,-0.0787878787878788,0.6060606060606061
W05,LOWER_HIGH_AND_CLOSE_1,3,True,25,5,0.24,0.4,-0.16000000000000003,0.6
W05,LOWER_HIGH_AND_CLOSE_1,4,True,37,4,0.21621621621621623,0.0,0.21621621621621623,inf
W05,LOWER_HIGH_AND_CLOSE_1,5,True,28,6,0.2857142857142857,0.16666666666666666,0.11904761904761904,1.7142857142857142
W05,TWO_LOWER_CLOSES,0,True,31,4,0.06451612903225806,0.0,0.06451612903225806,inf
W05,TWO_LOWER_CLOSES,1,True,30,7,0.03333333333333333,0.0,0.03333333333333333,inf
W05,TWO_LOWER_CLOSES,2,True,33,5,0.12121212121212122,0.2,-0.0787878787878788,0.6060606060606061
W05,TWO_LOWER_CLOSES,3,True,25,5,0.12,0.2,-0.08000000000000002,0.6
W05,TWO_LOWER_CLOSES,4,True,37,4,0.10810810810810811,0.0,0.10810810810810811,inf
W05,TWO_LOWER_CLOSES,5,True,28,6,0.10714285714285714,0.0,0.10714285714285714,inf
W05,TWO_LOWER_HIGHS,0,True,31,4,0.0967741935483871,0.0,0.0967741935483871,inf
W05,TWO_LOWER_HIGHS,1,True,30,7,0.06666666666666667,0.0,0.06666666666666667,inf
W05,TWO_LOWER_HIGHS,2,True,33,5,0.15151515151515152,0.0,0.15151515151515152,inf
W05,TWO_LOWER_HIGHS,3,True,25,5,0.12,0.2,-0.08000000000000002,0.6
W05,TWO_LOWER_HIGHS,4,True,37,4,0.05405405405405406,0.0,0.05405405405405406,inf
W05,TWO_LOWER_HIGHS,5,True,28,6,0.07142857142857142,0.0,0.07142857142857142,inf
W05,TWO_RANGE_CONTRACTIONS,0,True,31,4,0.0967741935483871,0.25,-0.1532258064516129,0.3870967741935484
W05,TWO_RANGE_CONTRACTIONS,1,True,30,7,0.13333333333333333,0.14285714285714285,-0.009523809523809518,0.9333333333333333
W05,TWO_RANGE_CONTRACTIONS,2,True,33,5,0.21212121212121213,0.4,-0.1878787878787879,0.5303030303030303
W05,TWO_RANGE_CONTRACTIONS,3,True,25,5,0.04,0.0,0.04,inf
W05,TWO_RANGE_CONTRACTIONS,4,True,37,4,0.13513513513513514,0.0,0.13513513513513514,inf
W05,TWO_RANGE_CONTRACTIONS,5,True,28,6,0.21428571428571427,0.16666666666666666,0.047619047619047616,1.2857142857142858
W05,TWO_BODY_CONTRACTIONS,0,True,31,4,0.0,0.25,-0.25,0.0
W05,TWO_BODY_CONTRACTIONS,1,True,30,7,0.1,0.0,0.1,inf
W05,TWO_BODY_CONTRACTIONS,2,True,33,5,0.15151515151515152,0.0,0.15151515151515152,inf
W05,TWO_BODY_CONTRACTIONS,3,True,25,5,0.04,0.0,0.04,inf
W05,TWO_BODY_CONTRACTIONS,4,True,37,4,0.10810810810810811,0.0,0.10810810810810811,inf
