slippage_bps_per_fill,n,wins,wr,pf,expectancy,net,max_loss_streak
0,170,104,0.611764705882353,0.7597801000382531,-0.5409082143569494,-91.95439644068139,8
2,170,101,0.5941176470588235,0.6820506830806065,-0.7405828222792468,-125.89907978747195,8
5,170,96,0.5647058823529412,0.5759567166403669,-1.0400578224315553,-176.8098298133644,8
10,170,89,0.5235294117647059,0.42623603238879765,-1.5390847906044367,-261.64441440275425,8
