family,variant,parameter,hour_utc,events,share
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,0,111,0.06686746987951807
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,1,48,0.02891566265060241
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,2,56,0.033734939759036145
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,3,67,0.04036144578313253
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,4,95,0.0572289156626506
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,5,110,0.06626506024096386
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,6,110,0.06626506024096386
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,7,74,0.04457831325301205
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,8,79,0.04759036144578313
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,9,71,0.0427710843373494
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,10,61,0.03674698795180723
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,11,78,0.046987951807228916
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,12,75,0.045180722891566265
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,13,34,0.020481927710843374
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,14,18,0.010843373493975903
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,15,14,0.008433734939759036
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,16,19,0.01144578313253012
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,17,35,0.02108433734939759
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,18,69,0.04156626506024096
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,19,63,0.03795180722891566
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,20,90,0.05421686746987952
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,21,101,0.0608433734939759
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,22,90,0.05421686746987952
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_4,4,23,92,0.05542168674698795
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,0,128,0.08020050125313283
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,1,63,0.039473684210526314
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,2,46,0.02882205513784461
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,3,65,0.040726817042606514
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,4,80,0.05012531328320802
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,5,94,0.05889724310776942
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,6,105,0.06578947368421052
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,7,104,0.06516290726817042
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,8,83,0.05200501253132832
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,9,61,0.03822055137844611
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,10,74,0.046365914786967416
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,11,85,0.05325814536340852
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,12,77,0.04824561403508772
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,13,36,0.022556390977443608
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,14,27,0.016917293233082706
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,15,13,0.008145363408521303
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,16,19,0.011904761904761904
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,17,28,0.017543859649122806
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,18,39,0.02443609022556391
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,19,46,0.02882205513784461
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,20,80,0.05012531328320802
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,21,83,0.05200501253132832
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,22,75,0.046992481203007516
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_6,6,23,85,0.05325814536340852
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,0,119,0.08223911541119558
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,1,65,0.044920525224602624
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,2,38,0.02626123013130615
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,3,54,0.03731859018659295
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,4,72,0.0497581202487906
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,5,77,0.053213545266067724
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,6,105,0.07256392536281962
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,7,101,0.06979958534899793
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,8,78,0.05390463026952315
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,9,60,0.0414651002073255
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,10,55,0.03800967519004837
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,11,76,0.0525224602626123
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,12,66,0.04561161022805805
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,13,47,0.03248099516240498
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,14,26,0.01796821008984105
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,15,15,0.010366275051831375
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,16,13,0.008984105044920525
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,17,20,0.013821700069108501
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,18,29,0.020041465100207326
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,19,41,0.028334485141672427
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,20,60,0.0414651002073255
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,21,83,0.05736005528680028
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,22,72,0.0497581202487906
COMPRESSION_EXPANSION,COMPRESSION_EXPANSION_8,8,23,75,0.051831375259156875
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,0,100,0.035285815102328866
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,1,129,0.04551870148200424
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,2,135,0.04763585038814397
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,3,135,0.04763585038814397
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,4,94,0.033168666196189134
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,5,84,0.029640084685956247
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,6,105,0.03705010585744531
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,7,115,0.040578687367678196
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,8,102,0.03599153140437544
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,9,119,0.04199011997177135
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,10,119,0.04199011997177135
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,11,106,0.0374029640084686
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,12,109,0.038461538461538464
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,13,136,0.04798870853916726
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,14,146,0.051517290049400144
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,15,173,0.06104446012702894
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,16,140,0.04940014114326041
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,17,128,0.04516584333098095
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,18,126,0.04446012702893437
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,19,114,0.04022582921665491
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,20,92,0.032462949894142556
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,21,109,0.038461538461538464
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,22,110,0.03881439661256175
IMPULSE_PULLBACK,IMPULSE_PULLBACK_3,3,23,108,0.038108680310515175
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,0,119,0.04031165311653116
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,1,129,0.04369918699186992
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,2,148,0.05013550135501355
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,3,137,0.046409214092140924
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,4,117,0.039634146341463415
