anchor_min,anchor_utc,ref_min,horizon_min,reference_start_utc,development_positive_probes,development_pass,development_median_pf,development_median_expectancy,development_median_n,development_raw_opportunities_per_week,external_positive_probes,external_enough_n_probes,external_pass,reference_validation_positive_probes,reference_validation_enough_n_probes,reference_validation_pass,supported
570,09:30,120,390,07:30,2,True,1.2748400735468002,0.287518759132508,86.0,0.5492700729927007,2,3,True,3,3,True,True
570,09:30,120,420,07:30,2,True,1.2440017757243524,0.261585593883254,86.0,0.5492700729927007,2,3,True,3,3,True,True
570,09:30,330,360,04:00,3,True,1.4348940618257253,0.5797270035803023,95.0,0.6067518248175182,3,3,True,3,3,True,True
570,09:30,330,390,04:00,3,True,1.49530417870577,0.6316756696848388,97.0,0.6195255474452555,3,3,True,3,3,True,True
570,09:30,330,420,04:00,3,True,1.459681711871002,0.618076425506721,98.0,0.625912408759124,3,3,True,3,3,True,True
960,16:00,240,300,12:00,2,True,1.1531267251589417,0.2600564762219622,59.0,0.37682481751824815,3,3,True,3,3,True,True
960,16:00,240,360,12:00,2,True,1.1755396042890693,0.33634044100782273,60.0,0.38321167883211676,3,3,True,3,3,True,True
960,16:00,240,390,12:00,2,True,1.2850714334620044,0.5506102792585366,62.0,0.395985401459854,3,3,True,3,3,True,True
960,16:00,240,420,12:00,2,True,1.3293972590368852,0.5981912029774068,64.0,0.4087591240875912,3,3,True,3,3,True,True
960,16:00,300,240,11:00,2,True,1.118216502117053,0.21417387108126937,58.0,0.3704379562043795,3,3,True,3,3,True,True
960,16:00,300,300,11:00,2,True,1.2983880895302093,0.5355944499832503,59.0,0.37682481751824815,3,3,True,3,3,True,True
960,16:00,300,360,11:00,2,True,1.1673379667918682,0.3265554425947097,61.0,0.3895985401459854,3,3,True,3,3,True,True
960,16:00,300,390,11:00,2,True,1.2751516870556459,0.5131599591210216,62.0,0.395985401459854,3,3,True,2,3,True,True
960,16:00,300,420,11:00,2,True,1.4067272970865266,0.7087627784799069,64.0,0.4087591240875912,3,3,True,2,3,True,True
960,16:00,330,240,10:30,2,True,1.188152749382103,0.34492968270691177,57.0,0.3640510948905109,3,3,True,3,3,True,True
960,16:00,330,300,10:30,2,True,1.3275396654690945,0.6032739463243272,58.0,0.3704379562043795,2,3,True,3,3,True,True
960,16:00,330,360,10:30,2,True,1.1883559339131509,0.3784963922611804,59.0,0.37682481751824815,3,3,True,3,3,True,True
960,16:00,330,390,10:30,2,True,1.3028584188748753,0.5776078565905937,60.0,0.38321167883211676,2,3,True,3,3,True,True
960,16:00,330,420,10:30,2,True,1.4487811207860188,0.7951318280543767,62.0,0.395985401459854,3,3,True,3,3,True,True
960,16:00,360,300,10:00,2,True,1.2450717084887588,0.45999205732859855,55.0,0.35127737226277367,3,3,True,3,3,True,True
960,16:00,360,360,10:00,2,True,1.1263873915900435,0.2553437279017038,56.0,0.3576642335766423,3,3,True,3,3,True,True
960,16:00,360,390,10:00,2,True,1.1708414661308701,0.33624940433410294,57.0,0.3640510948905109,2,3,True,3,3,True,True
960,16:00,360,420,10:00,2,True,1.328415491095793,0.5697384089052979,60.0,0.38321167883211676,3,3,True,3,3,True,True
