n,fail_n,target_n,time_n,fail_median,target_median,fail_hit,target_hit,gap,ratio,compressed_n,compressed_rate,time_hit,partition,minute_k,feature,threshold,development_gate,partition_oos_gate
300,233,63,4,0.0709555345316918,0.0853080568720344,0.5579399141630901,0.4126984126984127,0.1452415014646774,1.351931330472103,159,0.53,0.75,development,3,latest_range_R,0.0781317957018631,True,
192,133,54,5,0.0556326090306657,0.05992224998678465,0.7293233082706767,0.7037037037037037,0.025619604566972987,1.036406806489909,139,0.7239583333333334,0.8,external,3,latest_range_R,0.0781317957018631,True,False
184,134,48,2,0.073503215598203,0.07853218210361065,0.5597014925373134,0.4791666666666667,0.0805348258706467,1.1680726800778714,99,0.5380434782608695,0.5,reference_validation,3,latest_range_R,0.0781317957018631,True,True
