clock,clock_min,slippage_bps_per_fill,n,wins,wr,pf,expectancy,net
SHORT_0000,0,0,65,43,0.6615384615384615,1.6035577878325449,0.6040032004831328,39.260208031403636
SHORT_0000,0,2,65,43,0.6615384615384615,1.3783389250957383,0.4043648740980709,26.28371681637461
SHORT_0000,0,5,65,41,0.6307692307692307,1.08886685104872,0.10475758087387124,6.8092427568016305
SHORT_0000,0,10,65,35,0.5384615384615384,0.7142498544408142,-0.39498778410042323,-25.67420596652751
SHORT_0300,180,0,67,51,0.7611940298507462,1.3294511764646464,0.4072595169240166,27.28638763390911
SHORT_0300,180,2,67,50,0.746268656716418,1.1615129260370038,0.20754247732289252,13.905345980633799
SHORT_0300,180,5,67,47,0.7014925373134329,0.9327592627480187,-0.09218294478986537,-6.176257300920979
SHORT_0300,180,10,67,38,0.5671641791044776,0.6188631946109487,-0.592125348907914,-39.67239837683024
SHORT_0330,210,0,89,65,0.7303370786516854,1.092517226862038,0.13573291553660258,12.08022948275763
SHORT_0330,210,2,89,64,0.7191011235955056,0.9579151838937703,-0.0640927564315483,-5.704255322407798
SHORT_0330,210,5,89,61,0.6853932584269663,0.7744074257023862,-0.36398120860987826,-32.394327566279166
SHORT_0330,210,10,89,52,0.5842696629213483,0.5186410794770723,-0.8641955470949068,-76.9134036914467
SHORT_0430,270,0,73,54,0.7397260273972602,1.1464922700242814,0.18278229662516834,13.34310765363729
SHORT_0430,270,2,73,54,0.7397260273972602,0.9869067018870012,-0.017024551825843875,-1.2427922832866027
SHORT_0430,270,5,73,48,0.6575342465753424,0.7720075806165819,-0.31688475460376725,-23.13258708607501
SHORT_0430,270,10,73,44,0.6027397260273972,0.4812015758300491,-0.8170519730512014,-59.6447940327377
SHORT_2100,1260,0,69,45,0.6521739130434783,1.5435809265283227,0.6182620648680122,42.660082475892835
SHORT_2100,1260,2,69,44,0.6376811594202898,1.346486368430801,0.4186294431696474,28.88543157870567
SHORT_2100,1260,5,69,39,0.5652173913043478,1.0893312558668908,0.11903071125612008,8.213119076672285
SHORT_2100,1260,10,69,32,0.463768115942029,0.7582884504455458,-0.38070037344051383,-26.268325767395453
