clock_block,selected_fraction,selected_label,dev_fill_n,dev_eventual_break_rate,dev_genuine_l2_rate,external_fill_n,external_eventual_break_rate,reference_validation_fill_n,reference_validation_eventual_break_rate
00-04,0.05,F05,54,0.6851851851851852,0.42592592592592593,31,0.7741935483870968,24,0.6666666666666666
04-08,0.05,F05,52,0.6730769230769231,0.5,47,0.6808510638297872,29,0.7931034482758621
08-12,0.1,F10,85,0.5882352941176471,0.3764705882352941,62,0.6129032258064516,39,0.6666666666666666
12-16,0.05,F05,67,0.6417910447761194,0.5671641791044776,48,0.7291666666666666,25,0.64
16-20,0.05,F05,79,0.7468354430379747,0.4430379746835443,30,0.6666666666666666,37,0.6216216216216216
20-00,0.05,F05,43,0.6744186046511628,0.37209302325581395,32,0.5,23,0.6956521739130435
