partition,date_utc,weekday,day_type,clock_start_hour,clock_block,prev_start,obs_start,obs_end,H,L,range,regime,regime_bar_start,regime_available_ts,status,breakout_side,low_visits,high_visits,k1_opp0,k1_ts,k2_ts,k3_ts
external,2020-01-01,2,WEEKDAY,4,04-08,2020-01-01 00:00:00+00:00,2020-01-01 04:00:00+00:00,2020-01-01 08:00:00+00:00,7239.74,7170.15,69.59000000000015,SIDEWAYS,2020-01-01 00:00:00+00:00,2020-01-01 04:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-01,2,WEEKDAY,8,08-12,2020-01-01 04:00:00+00:00,2020-01-01 08:00:00+00:00,2020-01-01 12:00:00+00:00,7230.0,7193.52,36.47999999999956,SIDEWAYS,2020-01-01 04:00:00+00:00,2020-01-01 08:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-01,2,WEEKDAY,12,12-16,2020-01-01 08:00:00+00:00,2020-01-01 12:00:00+00:00,2020-01-01 16:00:00+00:00,7234.57,7174.0,60.56999999999971,SIDEWAYS,2020-01-01 08:00:00+00:00,2020-01-01 12:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-01,2,WEEKDAY,16,16-20,2020-01-01 12:00:00+00:00,2020-01-01 16:00:00+00:00,2020-01-01 20:00:00+00:00,7260.43,7191.79,68.64000000000033,SIDEWAYS,2020-01-01 12:00:00+00:00,2020-01-01 16:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-01,2,WEEKDAY,20,20-00,2020-01-01 16:00:00+00:00,2020-01-01 20:00:00+00:00,2020-01-02 00:00:00+00:00,7248.0,7210.81,37.1899999999996,SIDEWAYS,2020-01-01 16:00:00+00:00,2020-01-01 20:00:00+00:00,BREAK_LOW,LOW,1.0,0.0,True,2020-01-01 22:15:00+00:00,,
external,2020-01-02,3,WEEKDAY,0,00-04,2020-01-01 20:00:00+00:00,2020-01-02 00:00:00+00:00,2020-01-02 04:00:00+00:00,7242.0,7174.0,68.0,SIDEWAYS,2020-01-01 20:00:00+00:00,2020-01-02 00:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-02,3,WEEKDAY,4,04-08,2020-01-02 00:00:00+00:00,2020-01-02 04:00:00+00:00,2020-01-02 08:00:00+00:00,7209.59,7121.0,88.59000000000015,SIDEWAYS,2020-01-02 00:00:00+00:00,2020-01-02 04:00:00+00:00,BREAK_LOW,LOW,3.0,0.0,True,2020-01-02 04:05:00+00:00,2020-01-02 07:00:00+00:00,2020-01-02 07:10:00+00:00
external,2020-01-02,3,WEEKDAY,8,08-12,2020-01-02 04:00:00+00:00,2020-01-02 08:00:00+00:00,2020-01-02 12:00:00+00:00,7159.3,7101.0,58.30000000000018,SIDEWAYS,2020-01-02 04:00:00+00:00,2020-01-02 08:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-02,3,WEEKDAY,12,12-16,2020-01-02 08:00:00+00:00,2020-01-02 12:00:00+00:00,2020-01-02 16:00:00+00:00,7175.0,7106.75,68.25,SIDEWAYS,2020-01-02 08:00:00+00:00,2020-01-02 12:00:00+00:00,NO_BREAK,,1.0,0.0,True,2020-01-02 13:55:00+00:00,,
external,2020-01-02,3,WEEKDAY,16,16-20,2020-01-02 12:00:00+00:00,2020-01-02 16:00:00+00:00,2020-01-02 20:00:00+00:00,7160.0,7103.0,57.0,SIDEWAYS,2020-01-02 12:00:00+00:00,2020-01-02 16:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-02,3,WEEKDAY,20,20-00,2020-01-02 16:00:00+00:00,2020-01-02 20:00:00+00:00,2020-01-03 00:00:00+00:00,7143.29,6922.0,221.28999999999996,SIDEWAYS,2020-01-02 16:00:00+00:00,2020-01-02 20:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-03,4,WEEKDAY,0,00-04,2020-01-02 20:00:00+00:00,2020-01-03 00:00:00+00:00,2020-01-03 04:00:00+00:00,6982.83,6938.36,44.470000000000255,SIDEWAYS,2020-01-02 20:00:00+00:00,2020-01-03 00:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-03,4,WEEKDAY,4,04-08,2020-01-03 00:00:00+00:00,2020-01-03 04:00:00+00:00,2020-01-03 08:00:00+00:00,6962.8,6863.44,99.36000000000058,SIDEWAYS,2020-01-03 00:00:00+00:00,2020-01-03 04:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-03,4,WEEKDAY,8,08-12,2020-01-03 04:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 12:00:00+00:00,7300.0,6945.84,354.15999999999985,SIDEWAYS,2020-01-03 04:00:00+00:00,2020-01-03 08:00:00+00:00,BREAK_HIGH,HIGH,0.0,2.0,False,,,
external,2020-01-03,4,WEEKDAY,12,12-16,2020-01-03 08:00:00+00:00,2020-01-03 12:00:00+00:00,2020-01-03 16:00:00+00:00,7368.33,7198.0,170.32999999999993,SIDEWAYS,2020-01-03 08:00:00+00:00,2020-01-03 12:00:00+00:00,NO_BREAK,,0.0,1.0,False,,,
external,2020-01-03,4,WEEKDAY,16,16-20,2020-01-03 12:00:00+00:00,2020-01-03 16:00:00+00:00,2020-01-03 20:00:00+00:00,7379.0,7229.0,150.0,SIDEWAYS,2020-01-03 12:00:00+00:00,2020-01-03 16:00:00+00:00,BREAK_HIGH,HIGH,0.0,2.0,False,,,
external,2020-01-03,4,WEEKDAY,20,20-00,2020-01-03 16:00:00+00:00,2020-01-03 20:00:00+00:00,2020-01-04 00:00:00+00:00,7407.28,7276.35,130.92999999999938,SIDEWAYS,2020-01-03 16:00:00+00:00,2020-01-03 20:00:00+00:00,BREAK_LOW,LOW,3.0,0.0,True,2020-01-03 21:55:00+00:00,2020-01-03 22:10:00+00:00,2020-01-03 22:25:00+00:00
external,2020-01-04,5,WEEKEND,0,00-04,2020-01-03 20:00:00+00:00,2020-01-04 00:00:00+00:00,2020-01-04 04:00:00+00:00,7359.0,7255.84,103.15999999999985,SIDEWAYS,2020-01-03 20:00:00+00:00,2020-01-04 00:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-04,5,WEEKEND,4,04-08,2020-01-04 00:00:00+00:00,2020-01-04 04:00:00+00:00,2020-01-04 08:00:00+00:00,7347.02,7279.0,68.02000000000044,SIDEWAYS,2020-01-04 00:00:00+00:00,2020-01-04 04:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-04,5,WEEKEND,8,08-12,2020-01-04 04:00:00+00:00,2020-01-04 08:00:00+00:00,2020-01-04 12:00:00+00:00,7368.47,7310.0,58.470000000000255,SIDEWAYS,2020-01-04 04:00:00+00:00,2020-01-04 08:00:00+00:00,NO_BREAK,,1.0,0.0,True,2020-01-04 11:00:00+00:00,,
external,2020-01-04,5,WEEKEND,12,12-16,2020-01-04 08:00:00+00:00,2020-01-04 12:00:00+00:00,2020-01-04 16:00:00+00:00,7366.0,7295.2,70.80000000000018,SIDEWAYS,2020-01-04 08:00:00+00:00,2020-01-04 12:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-04,5,WEEKEND,16,16-20,2020-01-04 12:00:00+00:00,2020-01-04 16:00:00+00:00,2020-01-04 20:00:00+00:00,7333.54,7286.16,47.38000000000011,SIDEWAYS,2020-01-04 12:00:00+00:00,2020-01-04 16:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-04,5,WEEKEND,20,20-00,2020-01-04 16:00:00+00:00,2020-01-04 20:00:00+00:00,2020-01-05 00:00:00+00:00,7400.0,7269.21,130.78999999999996,SIDEWAYS,2020-01-04 16:00:00+00:00,2020-01-04 20:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-05,6,WEEKEND,0,00-04,2020-01-04 20:00:00+00:00,2020-01-05 00:00:00+00:00,2020-01-05 04:00:00+00:00,7362.87,7307.0,55.86999999999989,SIDEWAYS,2020-01-04 20:00:00+00:00,2020-01-05 00:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-05,6,WEEKEND,4,04-08,2020-01-05 00:00:00+00:00,2020-01-05 04:00:00+00:00,2020-01-05 08:00:00+00:00,7488.0,7350.54,137.46000000000004,SIDEWAYS,2020-01-05 00:00:00+00:00,2020-01-05 04:00:00+00:00,NO_BREAK,,0.0,1.0,False,,,
external,2020-01-05,6,WEEKEND,8,08-12,2020-01-05 04:00:00+00:00,2020-01-05 08:00:00+00:00,2020-01-05 12:00:00+00:00,7495.0,7440.0,55.0,SIDEWAYS,2020-01-05 04:00:00+00:00,2020-01-05 08:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-05,6,WEEKEND,12,12-16,2020-01-05 08:00:00+00:00,2020-01-05 12:00:00+00:00,2020-01-05 16:00:00+00:00,7470.0,7385.76,84.23999999999978,SIDEWAYS,2020-01-05 08:00:00+00:00,2020-01-05 12:00:00+00:00,NO_BREAK,,0.0,1.0,False,,,
external,2020-01-05,6,WEEKEND,16,16-20,2020-01-05 12:00:00+00:00,2020-01-05 16:00:00+00:00,2020-01-05 20:00:00+00:00,7474.21,7414.13,60.07999999999993,SIDEWAYS,2020-01-05 12:00:00+00:00,2020-01-05 16:00:00+00:00,NO_BREAK,,0.0,2.0,False,,,
external,2020-01-05,6,WEEKEND,20,20-00,2020-01-05 16:00:00+00:00,2020-01-05 20:00:00+00:00,2020-01-06 00:00:00+00:00,7478.0,7420.0,58.0,SIDEWAYS,2020-01-05 16:00:00+00:00,2020-01-05 20:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-06,0,WEEKDAY,0,00-04,2020-01-05 20:00:00+00:00,2020-01-06 00:00:00+00:00,2020-01-06 04:00:00+00:00,7441.9,7303.0,138.89999999999964,SIDEWAYS,2020-01-05 20:00:00+00:00,2020-01-06 00:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-06,0,WEEKDAY,4,04-08,2020-01-06 00:00:00+00:00,2020-01-06 04:00:00+00:00,2020-01-06 08:00:00+00:00,7580.08,7345.0,235.07999999999993,SIDEWAYS,2020-01-06 00:00:00+00:00,2020-01-06 04:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-06,0,WEEKDAY,8,08-12,2020-01-06 04:00:00+00:00,2020-01-06 08:00:00+00:00,2020-01-06 12:00:00+00:00,7550.45,7491.59,58.85999999999967,SIDEWAYS,2020-01-06 04:00:00+00:00,2020-01-06 08:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-06,0,WEEKDAY,12,12-16,2020-01-06 08:00:00+00:00,2020-01-06 12:00:00+00:00,2020-01-06 16:00:00+00:00,7576.0,7505.35,70.64999999999964,SIDEWAYS,2020-01-06 08:00:00+00:00,2020-01-06 12:00:00+00:00,NO_BREAK,,1.0,1.0,False,2020-01-06 14:00:00+00:00,,
