partition,origin,feature,resume_n,transition_n,resume_median,transition_median,median_diff,resume_mean,transition_mean,mean_diff,auc_resume_high
external,BULL,directional_evidence_score,104,59,3.0,3.0,0.0,2.9615384615384617,2.9661016949152543,-0.0045632333767926525,0.4977183833116037
external,BULL,aligned_structure_strength,104,59,27.0,43.0,-16.0,26.375,34.67796610169491,-8.302966101694913,0.3402053455019557
external,BULL,opposite_structure_strength,104,59,0.0,7.0,-7.0,2.0096153846153846,6.288135593220339,-4.278520208604954,0.2575782268578879
external,BULL,dir_ema_spread_atr,104,59,0.22126937150293452,0.17739568820527507,0.04387368329765945,0.24218104770265908,0.21465733683213542,0.02752371087052366,0.545632333767927
external,BULL,dir_close_ema20_atr,104,59,-0.24937639473178075,-0.4190528490754596,0.16967645434367884,-0.3329082250793949,-0.4962307056984477,0.1633224806190528,0.6517275097783573
external,BULL,dir_ema7_slope_atr,104,59,-0.17228859225702145,-0.21656159075594344,0.044272998498921995,-0.19169642426068487,-0.23696268084352715,0.04526625658284228,0.6157105606258149
external,BULL,dir_ema20_slope_atr,104,59,-0.026250146813873144,-0.04411082621846757,0.017860679404594425,-0.03504297106098858,-0.05223481112615218,0.017191840065163597,0.6517275097783573
external,BULL,dir_body_atr,104,59,-0.759492773028821,-0.9759220952677481,0.21642932223892708,-0.8233621465677845,-1.0135243300094932,0.19016218344170865,0.6210886571056062
external,BULL,bar_range_atr,104,59,1.2332541528006917,1.4416097662807563,-0.2083556134800646,1.3758306114638335,1.5635702840000827,-0.18773967253624924,0.4170469361147327
external,BULL,prior_directional_age,104,59,8.0,7.0,1.0,14.846153846153847,11.966101694915254,2.8800521512385924,0.5075782268578879
external,BEAR,directional_evidence_score,56,52,3.0,3.0,0.0,3.0,2.980769230769231,0.019230769230769162,0.5096153846153846
external,BEAR,aligned_structure_strength,56,52,9.0,8.5,0.5,7.660714285714286,7.423076923076923,0.23763736263736224,0.507554945054945
external,BEAR,opposite_structure_strength,56,52,42.5,42.0,0.5,32.642857142857146,33.25,-0.6071428571428541,0.495364010989011
external,BEAR,dir_ema_spread_atr,56,52,0.3019733042683659,0.23470954894150878,0.0672637553268571,0.33382077400950966,0.2469498786901901,0.08687089531931955,0.592032967032967
external,BEAR,dir_close_ema20_atr,56,52,-0.14573234010418806,-0.29619449656303243,0.15046215645884436,-0.09062994111156109,-0.3586990513176602,0.26806911020609914,0.6675824175824175
