bps_per_fill,n,wins,wr,pf,expectancy,net
0,139,89,0.6402877697841727,1.69159815640554,0.9376152556630352,130.3285205371619
2,139,86,0.6187050359712231,1.5166613972846819,0.7382504287999448,102.61680960319234
5,139,70,0.5035971223021583,1.2796494475365086,0.4390535900859643,61.02844902194904
10,139,66,0.4748201438848921,0.9670690160412856,-0.060007136217461544,-8.340991934227155
