segment,clock_utc,clock_wib,observations,eligible,mean_votes,selected_trades
2026_PRE_FREEZE_OOS,15:00,22:00,168,12,0.22023809523809523,12
2026_PRE_FREEZE_OOS,15:15,22:15,168,9,0.21428571428571427,3
2026_PRE_FREEZE_OOS,15:30,22:30,167,10,0.19161676646706588,2
2026_PRE_FREEZE_OOS,15:45,22:45,168,13,0.22023809523809523,3
