scope,name,mode,map_bad_total,map_bad_too_late,map_bad_eligible,map_bad_flagged,map_bad_capture_all,map_bad_recall_eligible,map_good_total,map_good_resolved_safe,map_good_eligible,map_good_flagged,map_good_sacrifice_all,map_good_fpr_eligible,map_flagged_n,map_flag_precision_bad,global_bad_total,global_bad_too_late,global_bad_eligible,global_bad_flagged,global_bad_capture_all,global_bad_recall_eligible,global_good_total,global_good_resolved_safe,global_good_eligible,global_good_flagged,global_good_sacrifice_all,global_good_fpr_eligible,global_flagged_n,global_flag_precision_bad,partition,threshold
POOL,development,SAFE,38,3,35,27,0.7105263157894737,0.7714285714285715,159,62,97,7,0.0440251572327044,0.07216494845360824,34,0.7941176470588235,38,3,35,28,0.7368421052631579,0.8,159,62,97,9,0.05660377358490566,0.09278350515463918,37,0.7567567567567568,,
POOL,external,SAFE,23,1,22,4,0.17391304347826086,0.18181818181818182,98,42,56,10,0.10204081632653061,0.17857142857142858,14,0.2857142857142857,23,1,22,9,0.391304347826087,0.4090909090909091,98,42,56,14,0.14285714285714285,0.25,23,0.391304347826087,,
POOL,reference_validation,SAFE,17,1,16,6,0.35294117647058826,0.375,91,30,61,14,0.15384615384615385,0.22950819672131148,20,0.3,17,1,16,8,0.47058823529411764,0.5,91,30,61,15,0.16483516483516483,0.2459016393442623,23,0.34782608695652173,,
POOL,POOLED_REUSED_EXTVAL,SAFE,40,2,38,10,0.25,0.2631578947368421,189,72,117,24,0.12698412698412698,0.20512820512820512,34,0.29411764705882354,40,2,38,17,0.425,0.4473684210526316,189,72,117,29,0.15343915343915343,0.24786324786324787,46,0.3695652173913043,,
POOL,POOLED_MAJOR,SAFE,78,5,73,37,0.47435897435897434,0.5068493150684932,348,134,214,31,0.08908045977011494,0.14485981308411214,68,0.5441176470588235,78,5,73,45,0.5769230769230769,0.6164383561643836,348,134,214,38,0.10919540229885058,0.17757009345794392,83,0.5421686746987951,,
CLOCK,00-04,SAFE,7,0,7,7,1.0,1.0,30,15,15,3,0.1,0.2,10,0.7,7,0,7,6,0.8571428571428571,0.8571428571428571,30,15,15,2,0.06666666666666667,0.13333333333333333,8,0.75,development,0.5332603845054695
CLOCK,00-04,SAFE,2,0,2,0,0.0,0.0,23,10,13,2,0.08695652173913043,0.15384615384615385,2,0.0,2,0,2,0,0.0,0.0,23,10,13,2,0.08695652173913043,0.15384615384615385,2,0.0,external,0.5332603845054695
CLOCK,00-04,SAFE,4,0,4,3,0.75,0.75,23,8,15,6,0.2608695652173913,0.4,9,0.3333333333333333,4,0,4,2,0.5,0.5,23,8,15,5,0.21739130434782608,0.3333333333333333,7,0.2857142857142857,reference_validation,0.5332603845054695
CLOCK,04-08,SAFE,1,0,1,1,1.0,1.0,10,3,7,0,0.0,0.0,1,1.0,1,0,1,1,1.0,1.0,10,3,7,1,0.1,0.14285714285714285,2,0.5,development,0.843718723074864
CLOCK,04-08,SAFE,2,0,2,0,0.0,0.0,18,9,9,0,0.0,0.0,0,,2,0,2,0,0.0,0.0,18,9,9,1,0.05555555555555555,0.1111111111111111,1,0.0,external,0.843718723074864
