structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,year,liquidity_high,liquidity_pivot_i,liquidity_confirm_i,significant_low,significant_low_pivot_i,significant_low_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_low,bars_reclaim_to_bos,displacement_range_units,bear_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_low,outcome,resolution_i_5m,resolution_time,return_to_resolution_min,max_above_zone_width,max_new_low_extension_pct,retrace_fraction_of_raid_leg,origin_distance_from_pre_return_low_fraction
2020-10-05 22:00:00+00:00__H513__L515,519,2020-10-05 22:00:00+00:00,519,2020-10-05 22:00:00+00:00,2020-10-05 23:00:00+00:00,2020,2.6623,513,515,2.6009,515,517,2.6727,0.39063967246364406,0,2.6532,0.03699999999999992,524,2020-10-06 03:00:00+00:00,2020-10-06 04:00:00+00:00,2.5938,2.5929,5,2.132432432432436,0.9398734177215187,0.19189189189190117,523,2020-10-06 02:00:00+00:00,2.6093,2.6339,2.6071,2.6113,2.6071,2.6339,0.7243243243243301,6301,2020-10-06 04:05:00+00:00,5.0,2.6029,2.6074,2.6013,2.6042,0.011194029850753255,2.5929,CONTINUATION,6311,2020-10-06 04:55:00+00:00,50.0,-0.9589552238805935,19.572679239461614,0.18170426065162934,0.17794486215538635
2020-10-16 16:00:00+00:00__H772__L774,777,2020-10-16 16:00:00+00:00,778,2020-10-16 17:00:00+00:00,2020-10-16 18:00:00+00:00,2020,2.1918,772,774,2.1462,774,776,2.2534,2.810475408340163,1,2.1818,0.03445000000000009,781,2020-10-16 20:00:00+00:00,2020-10-16 21:00:00+00:00,2.1429,2.1413,3,3.2075471698113134,0.6860670194003492,0.09579100145137445,779,2020-10-16 18:00:00+00:00,2.1817,2.2093,2.1756,2.1907,2.1756,2.2093,0.9782293178519457,9404,2020-10-16 22:40:00+00:00,100.0,2.163,2.2027,2.163,2.1859,0.8041543026706294,2.1413,CONTINUATION,9419,2020-10-16 23:55:00+00:00,75.0,0.9851632047477957,1.4617288563022615,0.5477252453166813,0.3059768064228371
2020-11-17 00:00:00+00:00__H1523__L1526,1529,2020-11-17 00:00:00+00:00,1530,2020-11-17 01:00:00+00:00,2020-11-17 02:00:00+00:00,2020,2.3069,1523,1525,2.2241,1526,1528,2.3333,1.144392908231806,1,2.2903,0.051449999999999996,1538,2020-11-17 09:00:00+00:00,2020-11-17 10:00:00+00:00,2.2235,2.194,8,2.13411078717201,0.32458697764820094,0.011661807580173643,1537,2020-11-17 08:00:00+00:00,2.2509,2.2741,2.2484,2.271,2.2484,2.2741,0.49951409135081853,18476,2020-11-17 10:40:00+00:00,40.0,2.2451,2.2488,2.2423,2.2485,0.01556420233462887,2.194,CONTINUATION,18512,2020-11-17 13:40:00+00:00,180.0,2.684824902723791,8.792160437556968,0.393395549174445,0.3905240488155078
2020-12-18 09:00:00+00:00__H2275__L2277,2282,2020-12-18 09:00:00+00:00,2284,2020-12-18 11:00:00+00:00,2020-12-18 12:00:00+00:00,2020,1.6844,2275,2277,1.6504,2277,2279,1.7104,1.543576347660891,2,1.6812,0.026600000000000068,2288,2020-12-18 15:00:00+00:00,2020-12-18 16:00:00+00:00,1.6468,1.6405,4,2.390977443609012,0.8730964467005099,0.1353383458646631,2285,2020-12-18 12:00:00+00:00,1.6809,1.6859,1.6607,1.6837,1.6607,1.6859,0.947368421052625,27480,2020-12-18 17:00:00+00:00,60.0,1.652,1.6657,1.6506,1.662,0.19841269841269504,1.6393,INVALIDATED,27489,2020-12-18 17:45:00+00:00,45.0,3.3174603174603368,-0.6893186116025186,0.37130801687763715,0.30098452883263155
2021-02-10 10:00:00+00:00__H3566__L3573,3579,2021-02-10 10:00:00+00:00,3581,2021-02-10 12:00:00+00:00,2021-02-10 13:00:00+00:00,2021,8.0382,3566,3568,8.1061,3573,3575,8.386,4.326839342141264,2,7.9241,0.13300000000000045,3582,2021-02-10 13:00:00+00:00,2021-02-10 14:00:00+00:00,8.0886,7.7896,1,2.2360902255638995,-1.0,0.13157894736842113,3579,2021-02-10 10:00:00+00:00,8.3417,8.386,8.2617,8.3422,8.2617,8.386,0.9345864661654093,43055,2021-02-10 18:55:00+00:00,295.0,8.2252,8.272,8.2113,8.2601,0.08286403861625806,7.6334,INVALIDATED,43069,2021-02-10 20:05:00+00:00,70.0,10.711987127916345,-6.263264076296271,0.848525112941803,0.8348392240233856
2021-02-14 03:00:00+00:00__H3657__L3665,3668,2021-02-14 03:00:00+00:00,3668,2021-02-14 03:00:00+00:00,2021-02-14 04:00:00+00:00,2021,9.1921,3657,3659,8.6022,3665,3667,9.2546,0.6799316804647404,0,8.9514,0.1747500000000004,3676,2021-02-14 11:00:00+00:00,2021-02-14 12:00:00+00:00,8.5941,8.5675,8,3.779685264663801,0.8219461697722554,0.046351931330475785,3672,2021-02-14 07:00:00+00:00,8.6956,8.7499,8.6812,8.7215,8.6812,8.7499,0.3931330472102981,44125,2021-02-14 12:05:00+00:00,5.0,8.6661,8.7499,8.651,8.7026,1.0,8.5675,CONTINUATION,44144,2021-02-14 13:40:00+00:00,95.0,3.6404657933042306,11.444412022176842,0.26546354242468295,0.16547809634696525
2021-04-17 09:00:00+00:00__H5157__L5159,5162,2021-04-17 09:00:00+00:00,5164,2021-04-17 11:00:00+00:00,2021-04-17 12:00:00+00:00,2021,26.1998,5157,5159,25.3391,5159,5161,26.8387,2.438568233345295,2,25.9078,0.4153000000000002,5171,2021-04-17 18:00:00+00:00,2021-04-17 19:00:00+00:00,25.3082,25.24,7,3.6852877437996607,0.23260144309100908,0.07440404526847827,5169,2021-04-17 16:00:00+00:00,25.9386,26.3565,25.66,26.3359,25.66,26.3565,1.677100890922225,62088,2021-04-17 21:00:00+00:00,120.0,25.6392,25.6702,25.619,25.6551,0.014644651830583047,25.2015,CONTINUATION,62115,2021-04-17 23:15:00+00:00,135.0,7.007753050969129,25.056841854651502,0.28628145614463835,0.2800513071097
2021-04-17 10:00:00+00:00__H5145__L5159,5163,2021-04-17 10:00:00+00:00,5164,2021-04-17 11:00:00+00:00,2021-04-17 12:00:00+00:00,2021,26.1245,5145,5147,25.3391,5159,5161,26.8387,2.7338322264540915,1,25.9078,0.4153000000000002,5171,2021-04-17 18:00:00+00:00,2021-04-17 19:00:00+00:00,25.3082,25.24,7,3.6852877437996607,0.23260144309100908,0.07440404526847827,5169,2021-04-17 16:00:00+00:00,25.9386,26.3565,25.66,26.3359,25.66,26.3565,1.677100890922225,62088,2021-04-17 21:00:00+00:00,120.0,25.6392,25.6702,25.619,25.6551,0.014644651830583047,25.2015,CONTINUATION,62115,2021-04-17 23:15:00+00:00,135.0,7.007753050969129,25.056841854651502,0.28628145614463835,0.2800513071097
2021-05-05 19:00:00+00:00__H5595__L5600,5604,2021-05-05 19:00:00+00:00,5605,2021-05-05 20:00:00+00:00,2021-05-05 21:00:00+00:00,2021,45.8675,5595,5597,44.1186,5600,5602,46.0824,0.46852346432659786,1,45.1218,0.890749999999997,5610,2021-05-06 01:00:00+00:00,2021-05-06 02:00:00+00:00,44.0194,43.7644,5,2.3160258209374227,0.6690944403981579,0.11136682570867652,5608,2021-05-05 23:00:00+00:00,44.7527,45.0497,44.5135,45.0381,44.5135,45.0497,0.6019646365422426,67359,2021-05-06 04:15:00+00:00,135.0,44.3846,44.5403,44.3501,44.5273,0.04998135024244954,43.7644,CONTINUATION,67382,2021-05-06 06:10:00+00:00,115.0,-0.3515479298769199,4.967736333641048,0.3347282139775672,0.32316652286453806
2021-05-12 22:00:00+00:00__H5768__L5772,5775,2021-05-12 22:00:00+00:00,5776,2021-05-12 23:00:00+00:00,2021-05-13 00:00:00+00:00,2021,48.2,5768,5770,42.689,5772,5774,49.201,2.0767634854771844,1,43.484,1.347999999999999,5780,2021-05-13 03:00:00+00:00,2021-05-13 04:00:00+00:00,42.66,42.05,4,4.852373887240363,0.2699868938401066,0.02151335311572959,5777,2021-05-13 00:00:00+00:00,43.564,45.49,39.368,44.598,39.368,45.49,4.541543026706234,69372,2021-05-13 04:00:00+00:00,0.0,42.665,42.75,42.566,42.708,0.5524338451486439,42.05,CONTINUATION,69440,2021-05-13 09:40:00+00:00,340.0,-0.08020254818686698,10.984542211652794,0.09788840721577437,-0.37505244021815043
