local_date,partition,london_open_utc,london_end_utc,utc_offset_hours,dst_regime,H,L,R,break_side,breakout_ts,retest_episodes,retest_bucket,first_retest_ts,first_retest_state,first_event,first_event_ts,post_e10,post_e20,post_e30,post_e50,first_e10_ts,first_e20_ts,opposite_boundary_reached,retest_episodes_before_e20,hold_then_e10,hold_then_e20,minutes_open_to_break
2020-02-11,external,2020-02-11 08:00:00+00:00,2020-02-11 13:00:00+00:00,0.0,GMT,25.264,24.25,1.0139999999999993,UP_BREAK,2020-02-11 12:20:00+00:00,1.0,1,2020-02-11 12:25:00+00:00,HOLD_RETEST,BOUNDARY_HOLD_RETEST,2020-02-11 12:25:00+00:00,False,False,False,False,,,False,,False,False,260.0
2020-02-12,external,2020-02-12 08:00:00+00:00,2020-02-12 13:00:00+00:00,0.0,GMT,26.087,25.347,0.7399999999999984,NO_BREAK,,,NA,,NA,NO_BREAK,,False,False,False,False,,,False,,False,False,
2020-02-13,external,2020-02-13 08:00:00+00:00,2020-02-13 13:00:00+00:00,0.0,GMT,27.397,25.733,1.663999999999998,DOWN_BREAK,2020-02-13 08:05:00+00:00,0.0,0,,NO_RETEST,DIRECT_E10,2020-02-13 08:10:00+00:00,True,True,True,True,2020-02-13 08:10:00+00:00,2020-02-13 08:10:00+00:00,False,0.0,False,False,5.0
2020-02-14,external,2020-02-14 08:00:00+00:00,2020-02-14 13:00:00+00:00,0.0,GMT,26.161,25.043,1.118000000000002,NO_BREAK,,,NA,,NA,NO_BREAK,,False,False,False,False,,,False,,False,False,
2020-02-17,external,2020-02-17 08:00:00+00:00,2020-02-17 13:00:00+00:00,0.0,GMT,23.554,22.001,1.5529999999999973,DOWN_BREAK,2020-02-17 11:10:00+00:00,2.0,2,2020-02-17 11:15:00+00:00,HOLD_RETEST,AMBIGUOUS_E10_BOUNDARY_INTERACTION,2020-02-17 11:15:00+00:00,True,True,True,False,2020-02-17 11:15:00+00:00,2020-02-17 11:15:00+00:00,False,0.0,False,False,190.0
2020-02-18,external,2020-02-18 08:00:00+00:00,2020-02-18 13:00:00+00:00,0.0,GMT,24.063,22.827,1.235999999999997,NO_BREAK,,,NA,,NA,NO_BREAK,,False,False,False,False,,,False,,False,False,
2020-02-19,external,2020-02-19 08:00:00+00:00,2020-02-19 13:00:00+00:00,0.0,GMT,24.392,23.8,0.5919999999999987,DOWN_BREAK,2020-02-19 08:05:00+00:00,1.0,1,2020-02-19 08:10:00+00:00,ACCEPT_BACK_INSIDE,ACCEPT_BACK_INSIDE,2020-02-19 08:10:00+00:00,False,False,False,False,,,False,,False,False,5.0
2020-02-20,external,2020-02-20 08:00:00+00:00,2020-02-20 13:00:00+00:00,0.0,GMT,22.723,21.886,0.8369999999999997,DOWN_BREAK,2020-02-20 09:20:00+00:00,1.0,1,2020-02-20 09:25:00+00:00,HOLD_RETEST,BOUNDARY_HOLD_RETEST,2020-02-20 09:25:00+00:00,True,True,True,True,2020-02-20 11:55:00+00:00,2020-02-20 12:25:00+00:00,False,1.0,True,True,80.0
2020-02-21,external,2020-02-21 08:00:00+00:00,2020-02-21 13:00:00+00:00,0.0,GMT,22.933,21.987,0.9460000000000015,DOWN_BREAK,2020-02-21 09:05:00+00:00,2.0,2,2020-02-21 09:10:00+00:00,ACCEPT_BACK_INSIDE,ACCEPT_BACK_INSIDE,2020-02-21 09:10:00+00:00,True,False,False,False,2020-02-21 09:25:00+00:00,,False,,False,False,65.0
2020-02-24,external,2020-02-24 08:00:00+00:00,2020-02-24 13:00:00+00:00,0.0,GMT,23.288,22.192,1.096,NO_BREAK,,,NA,,NA,NO_BREAK,,False,False,False,False,,,False,,False,False,
2020-02-25,external,2020-02-25 08:00:00+00:00,2020-02-25 13:00:00+00:00,0.0,GMT,22.13,20.88,1.25,NO_BREAK,,,NA,,NA,NO_BREAK,,False,False,False,False,,,False,,False,False,
2020-02-26,external,2020-02-26 08:00:00+00:00,2020-02-26 13:00:00+00:00,0.0,GMT,20.547,19.0,1.5470000000000006,DOWN_BREAK,2020-02-26 09:15:00+00:00,2.0,2,2020-02-26 09:30:00+00:00,ACCEPT_BACK_INSIDE,ACCEPT_BACK_INSIDE,2020-02-26 09:30:00+00:00,False,False,False,False,,,False,,False,False,75.0
2020-02-27,external,2020-02-27 08:00:00+00:00,2020-02-27 13:00:00+00:00,0.0,GMT,18.8,17.701,1.0990000000000002,UP_BREAK,2020-02-27 08:35:00+00:00,3.0,3+,2020-02-27 08:40:00+00:00,ACCEPT_BACK_INSIDE,ACCEPT_BACK_INSIDE,2020-02-27 08:40:00+00:00,True,True,True,True,2020-02-27 10:40:00+00:00,2020-02-27 11:05:00+00:00,False,3.0,False,False,35.0
2020-02-28,external,2020-02-28 08:00:00+00:00,2020-02-28 13:00:00+00:00,0.0,GMT,19.755,18.655,1.0999999999999979,DOWN_BREAK,2020-02-28 09:05:00+00:00,1.0,1,2020-02-28 09:10:00+00:00,HOLD_RETEST,AMBIGUOUS_E10_BOUNDARY_INTERACTION,2020-02-28 09:10:00+00:00,True,True,True,True,2020-02-28 09:10:00+00:00,2020-02-28 09:35:00+00:00,False,1.0,False,False,65.0
2020-03-02,external,2020-03-02 08:00:00+00:00,2020-03-02 13:00:00+00:00,0.0,GMT,19.465,18.768,0.6969999999999992,UP_BREAK,2020-03-02 08:55:00+00:00,4.0,3+,2020-03-02 09:00:00+00:00,ACCEPT_BACK_INSIDE,ACCEPT_BACK_INSIDE,2020-03-02 09:00:00+00:00,True,True,False,False,2020-03-02 09:35:00+00:00,2020-03-02 10:15:00+00:00,False,3.0,False,False,55.0
2020-03-03,external,2020-03-03 08:00:00+00:00,2020-03-03 13:00:00+00:00,0.0,GMT,19.905,19.543,0.3620000000000019,UP_BREAK,2020-03-03 10:25:00+00:00,3.0,3+,2020-03-03 10:35:00+00:00,HOLD_RETEST,DIRECT_E10,2020-03-03 10:30:00+00:00,True,True,True,True,2020-03-03 10:30:00+00:00,2020-03-03 10:30:00+00:00,False,0.0,False,False,145.0
2020-03-04,external,2020-03-04 08:00:00+00:00,2020-03-04 13:00:00+00:00,0.0,GMT,20.273,19.622,0.6509999999999998,NO_BREAK,,,NA,,NA,NO_BREAK,,False,False,False,False,,,False,,False,False,
2020-03-05,external,2020-03-05 08:00:00+00:00,2020-03-05 13:00:00+00:00,0.0,GMT,20.919,19.965,0.9540000000000006,UP_BREAK,2020-03-05 09:25:00+00:00,1.0,1,2020-03-05 09:30:00+00:00,ACCEPT_BACK_INSIDE,ACCEPT_BACK_INSIDE,2020-03-05 09:30:00+00:00,True,True,True,True,2020-03-05 09:35:00+00:00,2020-03-05 09:50:00+00:00,False,1.0,False,False,85.0
2020-03-06,external,2020-03-06 08:00:00+00:00,2020-03-06 13:00:00+00:00,0.0,GMT,21.447,20.692,0.754999999999999,UP_BREAK,2020-03-06 10:25:00+00:00,2.0,2,2020-03-06 10:30:00+00:00,ACCEPT_BACK_INSIDE,AMBIGUOUS_E10_BOUNDARY_INTERACTION,2020-03-06 10:30:00+00:00,True,True,True,False,2020-03-06 10:30:00+00:00,2020-03-06 10:30:00+00:00,False,0.0,False,False,145.0
