partition,cohort,stage_index,stage,seeds,n72,positive_ret72_rate,median_ret72,median_mfe72,median_mae72,mfe3_72h_rate,mfe5_72h_rate,n168,median_ret168,median_mfe168,mfe8_168h_rate
external,ALL,0,S0_5M,5505,5505,0.5671207992733879,0.00796499924449634,0.0388800101141884,-0.033600020048492385,0.6076294277929155,0.4063578564940963,5505,0.015717551370944438,0.06671201391811787,0.41435059037238875
external,ALL,1,S1_15M,0,0,,,,,,,0,,,
external,ALL,2,S2_1H,0,0,,,,,,,0,,,
external,ALL,3,S3_4H,0,0,,,,,,,0,,,
external,ALL,4,S4_1D,0,0,,,,,,,0,,,
external,FRESH,0,S0_5M,1267,1267,0.5564325177584846,0.007964151198448066,0.03988941056328388,-0.039400979897905475,0.6203630623520127,0.4151539068666141,1267,0.01614302039448967,0.06294252819932589,0.38595106550907654
external,FRESH,1,S1_15M,0,0,,,,,,,0,,,
external,FRESH,2,S2_1H,0,0,,,,,,,0,,,
external,FRESH,3,S3_4H,0,0,,,,,,,0,,,
external,FRESH,4,S4_1D,0,0,,,,,,,0,,,
development,ALL,0,S0_5M,7974,7974,0.5239528467519439,0.0016924686361704522,0.027596683931255583,-0.02597461382592281,0.463380988211688,0.27213443691998995,7974,0.003249828225830753,0.045023637174545716,0.28342111863556557
development,ALL,1,S1_15M,0,0,,,,,,,0,,,
development,ALL,2,S2_1H,0,0,,,,,,,0,,,
development,ALL,3,S3_4H,0,0,,,,,,,0,,,
development,ALL,4,S4_1D,0,0,,,,,,,0,,,
development,FRESH,0,S0_5M,2394,2394,0.5158730158730159,0.0011640710146924027,0.02698689305611568,-0.026079097177233057,0.4423558897243108,0.26399331662489556,2394,0.003032191181763566,0.04501922183092555,0.2844611528822055
development,FRESH,1,S1_15M,0,0,,,,,,,0,,,
development,FRESH,2,S2_1H,0,0,,,,,,,0,,,
development,FRESH,3,S3_4H,0,0,,,,,,,0,,,
development,FRESH,4,S4_1D,0,0,,,,,,,0,,,
reference_validation,ALL,0,S0_5M,4017,4017,0.4976350510331093,-0.0001506920404972245,0.022579495022471585,-0.022284903528372313,0.3719193427931292,0.1486183719193428,4017,-0.000682993462776782,0.03355106480723635,0.12870301219815783
reference_validation,ALL,1,S1_15M,0,0,,,,,,,0,,,
reference_validation,ALL,2,S2_1H,0,0,,,,,,,0,,,
reference_validation,ALL,3,S3_4H,0,0,,,,,,,0,,,
reference_validation,ALL,4,S4_1D,0,0,,,,,,,0,,,
reference_validation,FRESH,0,S0_5M,1339,1339,0.5504107542942495,0.0037596454458306283,0.024913879007998352,-0.023330829901905825,0.40179238237490666,0.17998506348020912,1339,0.0036833592969338635,0.03844131738445711,0.1650485436893204
reference_validation,FRESH,1,S1_15M,0,0,,,,,,,0,,,
reference_validation,FRESH,2,S2_1H,0,0,,,,,,,0,,,
reference_validation,FRESH,3,S3_4H,0,0,,,,,,,0,,,
reference_validation,FRESH,4,S4_1D,0,0,,,,,,,0,,,
august,ALL,0,S0_5M,155,124,0.5967741935483871,0.008726572142897293,0.01643869440012513,-0.011170197028594564,0.14516129032258066,0.0967741935483871,93,-0.0009636996117222685,0.01939674083359444,0.07526881720430108
august,ALL,1,S1_15M,0,0,,,,,,,0,,,
august,ALL,2,S2_1H,0,0,,,,,,,0,,,
august,ALL,3,S3_4H,0,0,,,,,,,0,,,
august,ALL,4,S4_1D,0,0,,,,,,,0,,,
august,FRESH,0,S0_5M,51,47,0.5531914893617021,0.00863542364308767,0.016106364821694363,-0.013038671930138968,0.0851063829787234,0.02127659574468085,31,0.014466631287740617,0.021455015904816133,0.16129032258064516
august,FRESH,1,S1_15M,0,0,,,,,,,0,,,
august,FRESH,2,S2_1H,0,0,,,,,,,0,,,
august,FRESH,3,S3_4H,0,0,,,,,,,0,,,
august,FRESH,4,S4_1D,0,0,,,,,,,0,,,
