partition,execution_utc,field,calculated,expected,pass
external,05:00,n,29.0,29.0,True
external,05:00,wins,17.0,17.0,True
external,05:00,wr,0.5862068965517241,0.5862068965517241,True
external,05:00,pf,2.158915379929707,2.158915379929707,True
external,05:00,expectancy,1.5828393884138132,1.5828393884138132,True
external,05:00,net,45.90234226400058,45.90234226400058,True
external,09:00,n,51.0,51.0,True
external,09:00,wins,33.0,33.0,True
external,09:00,wr,0.6470588235294118,0.6470588235294118,True
external,09:00,pf,1.1721919649542443,1.1721919649542443,True
external,09:00,expectancy,0.49523367308875194,0.49523367308875194,True
external,09:00,net,25.25691732752635,25.25691732752635,True
external,10:00,n,38.0,38.0,True
external,10:00,wins,27.0,27.0,True
external,10:00,wr,0.7105263157894737,0.7105263157894737,True
external,10:00,pf,1.4978460290886193,1.4978460290886193,True
external,10:00,expectancy,1.2660058278500483,1.2660058278500483,True
external,10:00,net,48.108221458301834,48.108221458301834,True
external,16:00,n,49.0,49.0,True
external,16:00,wins,30.0,30.0,True
external,16:00,wr,0.6122448979591837,0.6122448979591837,True
external,16:00,pf,1.6453786481457868,1.6453786481457868,True
external,16:00,expectancy,1.2118715660847894,1.2118715660847894,True
external,16:00,net,59.381706738154676,59.381706738154676,True
development,05:00,n,52.0,52.0,True
development,05:00,wins,33.0,33.0,True
development,05:00,wr,0.6346153846153846,0.6346153846153846,True
development,05:00,pf,1.6713613477894227,1.6713613477894227,True
development,05:00,expectancy,0.861201971435477,0.861201971435477,True
development,05:00,net,44.782502514644804,44.782502514644804,True
development,09:00,n,89.0,89.0,True
development,09:00,wins,56.0,56.0,True
development,09:00,wr,0.6292134831460674,0.6292134831460674,True
development,09:00,pf,1.3769846212659103,1.3769846212659103,True
development,09:00,expectancy,0.5934780411542144,0.5934780411542144,True
development,09:00,net,52.81954566272508,52.81954566272508,True
development,10:00,n,97.0,97.0,True
development,10:00,wins,60.0,60.0,True
development,10:00,wr,0.6185567010309279,0.6185567010309279,True
development,10:00,pf,1.1626984620556278,1.1626984620556278,True
development,10:00,expectancy,0.2714443739473077,0.2714443739473077,True
development,10:00,net,26.330104272888846,26.330104272888846,True
development,16:00,n,50.0,50.0,True
development,16:00,wins,28.0,28.0,True
development,16:00,wr,0.56,0.56,True
development,16:00,pf,0.8860182269496798,0.8860182269496798,True
development,16:00,expectancy,-0.34899639511085534,-0.34899639511085534,True
development,16:00,net,-17.449819755542766,-17.449819755542766,True
reference_validation,05:00,n,24.0,24.0,True
reference_validation,05:00,wins,15.0,15.0,True
reference_validation,05:00,wr,0.625,0.625,True
reference_validation,05:00,pf,1.2855029341195545,1.2855029341195545,True
reference_validation,05:00,expectancy,0.46906654275957266,0.46906654275957266,True
reference_validation,05:00,net,11.257597026229744,11.257597026229744,True
reference_validation,09:00,n,31.0,31.0,True
reference_validation,09:00,wins,23.0,23.0,True
reference_validation,09:00,wr,0.7419354838709677,0.7419354838709677,True
reference_validation,09:00,pf,1.755567239017798,1.755567239017798,True
reference_validation,09:00,expectancy,0.9733970255278455,0.9733970255278455,True
reference_validation,09:00,net,30.17530779136321,30.17530779136321,True
reference_validation,10:00,n,41.0,41.0,True
reference_validation,10:00,wins,28.0,28.0,True
reference_validation,10:00,wr,0.6829268292682927,0.6829268292682927,True
reference_validation,10:00,pf,1.994275924285748,1.994275924285748,True
reference_validation,10:00,expectancy,1.4851883416151301,1.4851883416151301,True
reference_validation,10:00,net,60.89272200622034,60.89272200622034,True
reference_validation,16:00,n,24.0,24.0,True
reference_validation,16:00,wins,14.0,14.0,True
reference_validation,16:00,wr,0.5833333333333334,0.5833333333333334,True
reference_validation,16:00,pf,1.4010272664192651,1.4010272664192651,True
reference_validation,16:00,expectancy,0.886947629107811,0.886947629107811,True
reference_validation,16:00,net,21.286743098587465,21.286743098587465,True
