partition,zone,candidates,accepted,blocked,retention,n,wins,wr,pf,expectancy,net,max_ls
external,ETH_0500,36,36,0,1.0,36,20,0.5555555555555556,2.1141078403021596,1.6697188122444675,60.10987724080083,4
external,ETH_0900,56,48,8,0.8571428571428571,48,29,0.6041666666666666,1.072833403005808,0.22443168421669854,10.77272084240153,6
external,ETH_1000,38,22,16,0.5789473684210527,22,16,0.7272727272727273,3.260505393908983,3.047924502136684,67.05433904700705,2
external,ETH_1600,60,60,0,1.0,60,33,0.55,1.5479439586758035,1.0331162531486207,61.986975188917235,6
development,ETH_0500,58,57,1,0.9827586206896551,57,32,0.5614035087719298,1.3653708640308369,0.541954090805438,30.89138317590997,4
development,ETH_0900,96,86,10,0.8958333333333334,86,56,0.6511627906976745,1.4308366797376806,0.6028896906118283,51.848513392617235,4
development,ETH_1000,97,52,45,0.5360824742268041,52,29,0.5576923076923077,1.1188741730353935,0.19003547439398616,9.88184466848728,5
development,ETH_1600,61,61,0,1.0,61,38,0.6229508196721312,1.356477333965431,0.5839264992646819,35.61951645514559,4
reference_validation,ETH_0500,28,28,0,1.0,28,18,0.6428571428571429,1.518192077656603,0.7232687380670448,20.251524665877255,2
reference_validation,ETH_0900,35,32,3,0.9142857142857143,32,20,0.625,1.4180545568265477,0.5963970082782787,19.084704264904918,3
reference_validation,ETH_1000,41,23,18,0.5609756097560976,23,10,0.43478260869565216,0.8138465320589251,-0.46837014058377746,-10.772513233426881,7
reference_validation,ETH_1600,39,39,0,1.0,39,22,0.5641025641025641,1.069794119840298,0.15842370705854592,6.178524575283291,4
POOLED_MAJOR,ETH_0500,122,121,1,0.9918032786885246,121,70,0.5785123966942148,1.6264850343616832,0.9194445048147771,111.25278508258803,4
POOLED_MAJOR,ETH_0900,187,166,21,0.8877005347593583,166,105,0.6325301204819277,1.2602895118037791,0.49220444879472103,81.70593849992369,6
POOLED_MAJOR,ETH_1000,176,97,79,0.5511363636363636,97,55,0.5670103092783505,1.3876905668233255,0.6820996956914172,66.16367048206746,7
POOLED_MAJOR,ETH_1600,160,160,0,1.0,160,93,0.58125,1.34414634423244,0.6486563513709129,103.78501621934606,6
