character_rule,pair_state,lookback_min,hold_min,trades,net_wins,net_losses,win_rate,gross_pnl,fees,net_pnl,expectancy,net_per_100,pf,max_dd,max_loss_streak,max_win_streak,H1_trades,H1_wr,H1_net,H1_exp,H1_pf,H2_trades,H2_wr,H2_net,H2_exp,H2_pf,min_half_exp,evaluable_anchors,positive_anchors,discovery_supportive,discovery_strict
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,60,120,99,54,45,0.5454545454545454,66.15495169366679,74.25,-8.095048306333211,-0.08176816471043648,-8.176816471043647,0.9677873912921495,107.76910074787378,7,12,48,0.6666666666666666,36.537576040516925,0.7611995008441026,1.309787915701918,51,0.43137254901960786,-44.63262434685014,-0.8751494969970617,0.6653141563050142,-0.8751494969970617,4,2,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,60,240,99,53,46,0.5353535353535354,58.27727602309906,74.25,-15.972723976900935,-0.16134064623132258,-16.134064623132257,0.9587837448349761,175.10658513285102,6,7,48,0.5416666666666666,-78.57958408893467,-1.6370746685194721,0.6273559948806766,51,0.5294117647058824,62.6068601120337,1.2275854923928176,1.3543834151860712,-1.6370746685194721,4,2,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,60,360,99,53,46,0.5353535353535354,-13.971335525758064,74.25,-88.22133552575808,-0.8911246012702836,-89.11246012702836,0.8221257389340667,222.99623542454302,9,11,48,0.5208333333333334,-133.45136071709936,-2.7802366816062367,0.47799463086424726,51,0.5490196078431373,45.23002519134131,0.886863239045908,1.1882039560509035,-2.7802366816062367,4,1,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,60,480,99,54,45,0.5454545454545454,71.59245753620388,74.25,-2.657542463796114,-0.026843863270667817,-2.6843863270667816,0.9944243127618049,147.9617701183566,6,7,48,0.5208333333333334,-50.76839814934377,-1.0576749614446619,0.7590735011858383,51,0.5686274509803921,48.11085568554764,0.9433501114813263,1.1809298056231101,-1.0576749614446619,4,2,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,120,120,93,52,41,0.5591397849462365,58.02254678380221,69.75,-11.727453216197798,-0.12610164748599784,-12.610164748599784,0.9544302503358726,98.66321454297145,6,10,43,0.6744186046511628,80.8156426159719,1.8794335492086487,1.9317466659531977,50,0.46,-92.54309583216971,-1.8508619166433942,0.4575945113926511,-1.8508619166433942,4,2,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,120,240,93,48,45,0.5161290322580645,-78.70278108864414,69.75,-148.45278108864412,-1.596266463318754,-159.6266463318754,0.674255913793375,232.30524671414537,6,11,43,0.5116279069767442,-124.61951037327553,-2.89812814821571,0.5057798571139503,50,0.52,-23.833270715368684,-0.4766654143073737,0.88292952330924,-2.89812814821571,4,1,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,120,360,93,47,46,0.5053763440860215,-164.5586175656002,69.75,-234.30861756560023,-2.519447500705379,-251.9447500705379,0.6036139299197124,316.1893353963312,6,12,43,0.46511627906976744,-223.97751846955617,-5.208779499292004,0.30341443413928015,50,0.54,-10.331099096044078,-0.20662198192088155,0.9616764704631997,-5.208779499292004,4,0,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,120,480,93,48,45,0.5161290322580645,-87.41448393077042,69.75,-157.16448393077042,-1.6899406874276388,-168.9940687427639,0.7351587981441138,249.36915369250096,6,12,43,0.46511627906976744,-139.26859912644352,-3.2388046308475236,0.4995198725576512,50,0.56,-17.895884804326844,-0.3579176960865369,0.9432163550307027,-3.2388046308475236,4,0,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,180,120,100,61,39,0.61,129.20120651864505,75.0,54.201206518645094,0.542012065186451,54.201206518645094,1.2761552453931047,69.60399151578369,5,10,48,0.6666666666666666,79.29076118005688,1.6518908579178515,1.9141196660458415,52,0.5576923076923077,-25.08955466141178,-0.4824914357963804,0.7709359953910044,-0.4824914357963804,4,3,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,180,240,100,60,40,0.6,191.02467501829327,75.0,116.02467501829327,1.1602467501829326,116.02467501829325,1.426783415092737,112.1151510086122,5,21,48,0.4791666666666667,-52.01093026396285,-1.0835610471658927,0.7218648357726504,52,0.7115384615384616,168.0356052822561,3.2314539477356945,2.9801582330165757,-1.0835610471658927,4,3,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,180,360,100,62,38,0.62,28.540134956879417,75.0,-46.459865043120615,-0.46459865043120613,-46.459865043120615,0.9084006072389001,216.52470658113148,5,23,48,0.5208333333333334,-183.0958335041659,-3.81449653133679,0.4296366795598299,52,0.7115384615384616,136.6359684610453,2.6276147780970254,1.733848461516687,-3.81449653133679,4,1,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,180,480,100,61,39,0.61,-1.5933034037136644,75.0,-76.59330340371366,-0.7659330340371366,-76.59330340371366,0.8597842923624335,235.24312040128262,5,23,48,0.5,-174.92838565109358,-3.644341367731116,0.4488204147985915,52,0.7115384615384616,98.33508224737992,1.8910592739880754,1.429631415951825,-3.644341367731116,4,1,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,240,120,88,57,31,0.6477272727272727,211.9883423993922,66.0,145.9883423993922,1.6589584363567296,165.89584363567295,1.903609042724389,64.4443985896693,5,11,47,0.7446808510638298,169.98578199902937,3.616718765936795,3.4451593251201036,41,0.5365853658536586,-23.99743959963716,-0.5853034048691991,0.7392775552634145,-0.5853034048691991,4,4,False,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,240,240,88,51,37,0.5795454545454546,98.50197838851602,66.0,32.50197838851601,0.36934066350586375,36.93406635058638,1.1082384857488534,112.76071152727474,5,13,47,0.5531914893617021,10.345226828821945,0.22011120912387117,1.063988229344983,41,0.6097560975609756,22.15675155969406,0.5404085746266845,1.1598527498590177,0.22011120912387117,4,4,True,False
DRIVE_DOWN__EFF_HIGH__EXT_HIGH,EFF_HIGH__EXT_HIGH,240,360,88,49,39,0.5568181818181818,-39.524516654890334,66.0,-105.52451665489033,-1.199142234714663,-119.9142234714663,0.7713528142651713,175.55440129477236,5,14,47,0.5319148936170213,-103.99149123440517,-2.2125849198809613,0.6423329509332517,41,0.5853658536585366,-1.5330254204851332,-0.037390863914271544,0.9910227260159942,-2.2125849198809613,4,1,False,False
