family,feature,b1_gap,b1_effect_IQR,b2_gap,b2_effect_IQR,b3_gap,b3_effect_IQR,b4_gap,b4_effect_IQR,b5_gap,b5_effect_IQR,b6_gap,b6_effect_IQR,dev_win_n,dev_fail_n,dev_win_median,dev_fail_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_gap,external_effect_IQR,reference_gap,reference_effect_IQR,replicated_directional,strong_replicated
LATE,market_last120_breadth,-2.0,1.0,1.0,0.5,1.0,0.5,0.5,0.25,-0.5,0.3333333333333333,0.0,0.0,242,359,2.0,1.0,1.0,0.5,6,3,-1.0,0.5,1.0,0.5,False,False
PREFILL,btc_prefill_return_pct,-0.0003088191567012233,0.04865282519004811,-0.002100264993874612,0.255206353649215,0.0004656377884783014,0.05776501543822011,-0.0017332871507316217,0.3488785867988271,-0.00153089511700788,0.2164359772878979,-0.0034277528434494275,0.3570480397167976,203,314,0.001981919912832142,0.0037468701361442758,-0.001764950223312134,0.2398620488819369,6,5,0.0012151532436511792,0.10982736175143022,0.00015047037684345899,0.02180441854434703,False,False
PREFILL,market_prefill_mean_return_pct,-0.0002815960990407429,0.04175430326494412,-0.0009920072126731738,0.10511920921710535,0.0017820381134567298,0.19327437871151606,-0.0009083278887560553,0.16029084465250035,-4.380478362342455e-05,0.0067552363141992824,-0.002689702929007165,0.28660659136125405,203,314,0.0029459356766196043,0.003973055032497841,-0.0010271193558782366,0.13437092341360754,6,5,0.0007085966128457799,0.0550582699168209,-0.0008878171979284644,0.11735617992764764,False,False
REF6,btc_ref6_range_pct,-0.006159554841607344,0.3889681868239819,-0.0036915887256920264,0.25203442992356284,-0.0030698442770936783,0.28116173035996467,0.0012117159964277029,0.12782220706404088,-0.005466266736504296,0.38923240033985956,-0.0021741433459703183,0.21199397811879828,242,359,0.015242304033769263,0.016773016504719886,-0.0015307124709506223,0.11244630453240445,6,5,-0.002779245708425856,0.13851084164141175,-0.0010908996283105713,0.09120182683509247,False,False
REF6,eth_ref6_range_pct,-0.0031970244767250793,0.18754990960734724,0.0007307241053267875,0.03494674693082604,-0.000797703995940478,0.07225266398459514,0.0013888454095807874,0.15116697359804535,-0.005099094818091239,0.3621978784578685,-0.00047041333634220694,0.04112044572612125,242,359,0.01822330713053616,0.01957058138622944,-0.0013472742556932815,0.07828866212959018,6,4,-0.005056374506776609,0.18537249199014033,-0.0009003562075817553,0.05786241884892233,False,False
REF6,btc_ref6_close_location,-0.01623054143949587,0.04545516651604445,0.12029325154524828,0.3282276076672669,0.0455791275987365,0.11484991439281123,-0.05208067762245516,0.12116414813286099,0.0764524796860887,0.19467548421103661,-0.06180136960969673,0.12890317607131965,242,359,0.6302154356122383,0.6014961585119306,0.02871927710030764,0.06961417600093739,6,3,-0.03710595907335634,0.08847012956924492,0.027916988196335812,0.060445575515165315,False,False
PREFILL,btc_prefill_close_vs_refH_pct,-0.0011458101656676711,0.1703868148941411,-0.0009384703237753644,0.12521005383332734,0.001103801156410067,0.15257958187069035,-0.0011600787130894297,0.2120065282775687,0.00023475473576306527,0.03094980102225728,-0.0015298655694977459,0.25652363966189623,203,314,-0.00260695768038699,-0.0021541437532148766,-0.0004528139271721132,0.0646954222120041,6,4,-0.0017388924812655748,0.10898137423905008,-4.1199269429359475e-07,8.575969772057706e-05,False,False
REF6,eth_ref6_close_location,-0.05135617984976104,0.11720352777892012,0.04980584149836076,0.11307110767042242,0.13210623900863383,0.3421322973268075,0.03070411444439547,0.08783597786320921,-0.07338457260797981,0.2158610686507621,0.025398854199392806,0.04969497338597184,242,359,0.611255654761903,0.5856353591160226,0.02562029564588042,0.06345176116106006,6,4,-0.012586643585028923,0.02955010319400121,-0.04391742008439736,0.10278907180826054,False,False
LATE,eth_last120_return_pct,-0.005392447009319845,0.3926101988965407,0.002716100856894721,0.23356955215725494,0.0025714166370082725,0.3711587430949728,0.0008695406714406273,0.13988509986736494,-0.0007368895547903431,0.09001188015992595,-0.0005548709042619837,0.04903805281528365,242,359,0.0012359114398490245,0.0007018217372787294,0.0005340897025702951,0.06063205376281705,6,3,-0.0031042052723715408,0.1795711969029522,0.0014381616667236141,0.12146304123909678,False,False
LATE,btc_last60_return_pct,-0.0022041485222346058,0.27011813488223785,0.0011002371591510851,0.2397774292951677,-0.00043755418511504107,0.0930603878919064,0.0018279345109675216,0.5268380196231103,-0.0019445541666581745,0.2817284443462489,0.000344501962872501,0.04015590638431154,242,359,0.0011744638899917614,0.0008349486940137929,0.00033951519597796853,0.05661917880454074,6,3,0.00043974344643571417,0.05320360682973364,7.085912635262925e-05,0.011843561728918865,False,False
