feature,lag_min,partition,bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
oi_chg_15m,15,development,LOW,23365,0.4252942435266424,0.43736357800128395,-0.012069334474641535,0.13635780012839718,0.000984378343676439,0.0006525903627141449,0.010845688130974862,-0.010915810735313003
oi_chg_15m,15,development,HIGH,23366,0.42467688093811523,0.4441068218779423,-0.019429940939827084,0.13048874432936747,0.0007275528545750235,6.461602201457417e-05,0.010669172605377142,-0.011013959818782504
oi_chg_15m,15,validation_2025,LOW,11352,0.40318886539816773,0.4381606765327696,-0.03497181113460185,0.15776955602537,0.0008809020436927414,0.00019762520514099435,0.009597675195027189,-0.010217941217406434
oi_chg_15m,15,validation_2025,HIGH,10449,0.4189874629151115,0.42377260981912146,-0.00478514690400994,0.15637860082304528,0.0008613264427217916,0.0002725538293815166,0.009940035654475654,-0.00994838806193421
oi_chg_15m,15,validation_2026,LOW,6889,0.32689795325881843,0.3512846566990855,-0.024386703440267055,0.32123675424589926,0.0005806357961968355,0.0001479837217903679,0.0073117231294175244,-0.007681365576102439
oi_chg_15m,15,validation_2026,HIGH,5947,0.342525643181436,0.362199428283168,-0.019673785101731955,0.29460232049772994,0.0006726080376660501,-0.00012020675561952299,0.007432818753573489,-0.007904162035321738
oi_chg_15m,30,development,LOW,23364,0.42569765451121383,0.43781030645437424,-0.012112651943160413,0.13567882211950008,0.0008132169149118302,0.0005597328270073865,0.010813684926118783,-0.010910866439783895
oi_chg_15m,30,development,HIGH,23366,0.4244628948044167,0.44089702987246426,-0.016434135068047584,0.1337413335615852,0.0008987417615338526,9.927005862009342e-05,0.010658032700423092,-0.01094512941019038
oi_chg_15m,30,validation_2025,LOW,11353,0.4087025455826654,0.43195631110719634,-0.023253765524530956,0.15828415396811416,0.0010569893420241346,0.00023687327279908743,0.009715883998233421,-0.010148656375071341
oi_chg_15m,30,validation_2025,HIGH,10449,0.4112355249306154,0.4305675184228156,-0.019331993492200217,0.15733563020384725,0.0008613264427217916,0.0002752849198921492,0.009805363533853084,-0.010043160690571096
oi_chg_15m,30,validation_2026,LOW,6889,0.32660763536071996,0.34751052402380606,-0.020902888663086094,0.3254463637683263,0.00043547684714762664,0.0002753303964757592,0.007249802994483856,-0.007543456871105136
oi_chg_15m,30,validation_2026,HIGH,5947,0.342861947200269,0.35883638809483775,-0.01597444089456873,0.29746090465781067,0.0008407600470825626,-0.00022719527433823217,0.007507782457425449,-0.00805125097394166
oi_chg_15m,60,development,LOW,23363,0.4247314129178616,0.43714420237127083,-0.012412789453409234,0.13722552754355177,0.0008988571673158413,0.0005433392994118602,0.010726564290625573,-0.010825362277335548
oi_chg_15m,60,development,HIGH,23366,0.4298125481468801,0.4383291962680818,-0.008516648121201731,0.13121629718394248,0.000641958401095609,0.00012627473824056157,0.010810609312063124,-0.010916318205314357
oi_chg_15m,60,validation_2025,LOW,11354,0.406905055487053,0.4335036110621807,-0.02659855557512769,0.15897481063942223,0.0006165228113440197,0.00014936610516658178,0.009588112981258723,-0.010186652145229791
oi_chg_15m,60,validation_2025,HIGH,10449,0.4153507512680639,0.42233706574791846,-0.0069863144798545385,0.16125945066513542,0.0010527323188821898,0.0003743715905446532,0.009808267760168299,-0.00984122818527755
oi_chg_15m,60,validation_2026,LOW,6889,0.32965597329075336,0.3383655102337059,-0.008709536942952567,0.3312527217302947,0.0007257947452460444,0.00013071895424854318,0.00723327305605781,-0.007432751297782092
oi_chg_15m,60,validation_2026,HIGH,5946,0.34090144635048775,0.3595694584594685,-0.01866801210898078,0.29902455432223346,0.0005045408678102926,-0.00015020823269668027,0.007497806116628869,-0.0080645289019734
taker_imb_15m,15,development,LOW,23390,0.41077383497221037,0.41988029072253097,-0.009106455750320597,0.16861906797776827,0.0007268063274903805,0.0005560935406785372,0.00990152746942008,-0.010001785642620886
taker_imb_15m,15,development,HIGH,23391,0.4027189944850584,0.4186225471335129,-0.0159035526484545,0.17814544055405926,0.0005130178273695011,0.00016182975509759778,0.009509888220120555,-0.009800622528813085
taker_imb_15m,15,validation_2025,LOW,13354,0.39224202486146476,0.41028905196944737,-0.018047027107982616,0.19649543208027556,0.0009734910888123409,0.00018436485142780956,0.00892846204883102,-0.009257715019889812
taker_imb_15m,15,validation_2025,HIGH,12872,0.387041640770665,0.41096954630205096,-0.023927905531385962,0.20152268489745184,0.0004661280298321939,0.0,0.00877097350322531,-0.009281860197022374
taker_imb_15m,15,validation_2026,LOW,9690,0.29081527347781216,0.31496388028895766,-0.0241486068111455,0.3936016511867905,0.0006191950464396285,9.673052328385001e-05,0.006398699950803,-0.006772356978169025
